eng_Latn,mar_Deva
"My grandfather died in the second world war.
","दुसऱ्या जागतिक महायुद्धादरम्यान तिच्या वडिलांचे निधन झाले.
"
"My grandfather died in world war II.
","दुसऱ्या जागतिक महायुद्धादरम्यान तिच्या वडिलांचे निधन झाले.
"
"My grandfather died of diabetes.
","दादांचा मधुमेह चिघळला.
"
"My grandfather died on my 4th Birthday.
","माझी आजी माझ्या ४थ्या वाढदिवसाआधी वारली.
"
"My grandfather gave me a lesson.
","माझ्या वडिलांनी मला एक शिकवण दिली.
"
"My grandfather goes to the park every morning.
","माझ्या बाबांची रोज सकाळी बागेमध्ये चक्कर असे.
"
"My grandfather had 11 children.
","माझ्या वडिलांना ११ भावंडे होती.
"
"My grandfather had a shoe repair shop.
","त्याच्या वडिलांचे चप्पल दुरुस्ती करण्याचे दुकान होते.
"
"My grandfather had been a small entrepreneur.
","त्याचे वडील छोटे उद्योजक होते.
"
"My grandfather had class.
","माझ्या वडिलांचे क्लासेस होते.
"
"My grandfather had diabetes for a long time.
","माझ्या मित्राच्या वडिलांना दीर्घकाळपासून मधुमेह आहे.
"
"My grandfather had married again.
","बापाने पुन्हा लग्न केले.
"
"My grandfather had said.
","माझा दादा म्हणत होता.
"
"My grandfather had three sisters.
","माझ्या वडीलांना तीन बहिणी आहेत.
"
"My grandfather had tuberculosis.
","माझ्या पप्पाला टिबी हा आजार झाला होता.
"
"My grandfather had two heart attacks.
","माझ्या वडिलांना दोन मोठे हार्ट-एटॅक येऊन गेले होते.
"
"My grandfather has always been special to me.
","दादा माझ्यासाठी नेहमीच खास आहे.
"
"My grandfather in America.
","माझा दादा अमेरिकेत अस्तो.
"
"My grandfather is 93 years old.
","माझी आई 93 वर्षांची आहे.
"
"My grandfather is a civil engineer, not an architectural designer.
","माझे वडील सिव्हिल इंजिनियर होते, आर्किटेक्ट नव्हते.
"
"My grandfather is a farmer. (4)
","माझा बाप शेतकरी (4)
"
"My grandfather is a small farmer.
","माझे बाबा एक लहान शेतकरी आहेत.
"
"My grandfather is doing well.
","दादा चांगलं काम करतात.
"
"My grandfather is having diabetes.
","माझ्या वडिलांना मधुमेह आहे.
"
"My grandfather is living in town.
","माझे मामा शहर मध्ये राहतात.
"
"My grandfather is older than you.
","तुमचा दादा तुमच्याहून वयाने मोठा आहे.
"
"My grandfather is older than your mother.
","तुमचा दादा तुमच्याहून वयाने मोठा आहे.
"
"My grandfather is simple.
","माझा दादा. . तसा साधाच.
"
"My grandfather is the sarpanch of the village.
","त्याचे वडील म्हणजे गावाचे सरपंच.
"
"My grandfather lives in Delhi.
","माझा मोठा भाऊ दिल्लीत राहतो.
"
"My grandfather looked at me.
","दादांनी माझ्याकडे बघितले.
"
"My grandfather once said to me.
",""","""" एकदा दादाने मला सांगितलं होतं.""
"
"My grandfather once told me.
",""","""" एकदा दादाने मला सांगितलं होतं.""
"
"My grandfather owns a gun.
","बापाकडे एक बंदूक आहे.
"
"My grandfather paused for a little.
","दादा थोडावेळ शांत झाला.
"
"My grandfather purchased it in the 1950's.
","माझ्या वडिलांनी तो १९३० साली गिरगावातून विकत घेतला होता.
"
"My grandfather realized that.
","दादाजीने हे लक्षात घेतले.
"
"My grandfather retired from the Navy.
","माझे वडील नौदलातून निवृत्त झाले होते.
"
"My grandfather retired from the army as a colonel.
","माझे वडील सर्विसेस मधून कर्नल म्हणून निवृत्त झाले.
"
"My grandfather said...
","दादा म्हणाले. .
"
"My grandfather says.
","दादा म्हणतात.
"
"My grandfather stared at me.
","दादांनी माझ्याकडे बघितले.
"
"My grandfather suffered from Alzheimer's and Parkinson's diseases.
","माझा भाऊपण मधुमेयाने आणि parkinson disease मुळे अपंगावस्तेत होता.
"
"My grandfather taught her.
","पापानी तिला शिकवले.
"
"My grandfather taught me football.
","माझ्या वडिलांनी मला फुटबॉल शिकवले.
"
"My grandfather then called me over to him.
","त्यानंतर दादांनी मला फोन करून बोलावलं.
"
"My grandfather used to drink quite a lot.
","बहुधा माझे वडील खूप प्यायचे.
"
"My grandfather used to say that often.
",". असं दादा अनेकदा म्हणत असत.
"
"My grandfather used to say.
","माझा दादा म्हणत होता.
"
"My grandfather used to teach me music.
","माझ्या वडिलांनी मला संगीत शिकवण्यासाठी गुरुजींना नेमलं.
"
"My grandfather walks around the park every morning.
","माझ्या बाबांची रोज सकाळी बागेमध्ये चक्कर असे.
"
"My grandfather was 13 years old.
","माझी मोठी बहीण 13 वर्षांची होती.
"
"My grandfather was Russian.
","त्याचे वडील हे रशियन होते.
"
"My grandfather was a Russian.
","त्याचे वडील हे रशियन होते.
"
"My grandfather was a big officer of Railway.
","त्याचे वडील रेल्वेमधे खूप मोठे ऑफ़िसर होते.
"
"My grandfather was a book lover.
","त्यांचे वडील पुस्तकप्रेमी होते.
"
"My grandfather was a building contractor.
","माझे वडील बिल्डिंग कॉन्ट्रॅक्टर होते.
"
"My grandfather was a commercial artist.
","माझे वडील एक व्यावसायिक कलाकार होता.
"
"My grandfather was a doctor in the British army.
","त्यांचे वडील ब्रिटिश सैन्यात वैद्यकीय संशोधक होते.
"
"My grandfather was a major in the Indian army.
","त्याचे वडील भारतीय सेनेत मेजर होते.
"
"My grandfather was a member for many years.
","माझे वडिल गेली अनेक वर्षे त्याचे सभासद आहेत.
"
"My grandfather was a movie producer.
","माझे वडील एक चित्रपट निर्माते होते.
"
"My grandfather was a musician.
","माझे वडील संगीतकार होते.
"
"My grandfather was a poet.
","माझे वडील कवी होते.
"
"My grandfather was a poet...
","दादा कवी होते. . त्यांच्या
"
"My grandfather was a police officer for 30 years.
","माझे वडील पस्तीस वर्षं पोलीस दलात कार्यरत होते.
"
"My grandfather was a provincial governor.
","त्यांचे वडील प्रांतीय गव्हर्नर होते.
"
"My grandfather was a real man.
","माझे दादा खऱ्या अर्थाने बाप माणूस होते.
"
"My grandfather was a top player.
","माझे नाना उत्कृष्ट खेळाडू होते.
"
"My grandfather was a very good footballer.
","माझे नाना उत्कृष्ट खेळाडू होते.
"
"My grandfather was against it.
","माझे वडील त्याविरोधात होते.
"
"My grandfather was also in the medical field.
","माझे वडीलही वैद्यकीय क्षेत्रात कार्यरत होते.
"
"My grandfather was an Ayurvedic doctor.
","माझ्या आजीचे वडील वैद्य (आयुर्वेदिक डॉक्टर) होते.
"
"My grandfather was an architectural engineer.
","त्याचे वडील हे आर्किटेक्चर इंजीनियर होते.
"
"My grandfather was arrested.
","दादा पकडले गेले.
"
"My grandfather was at the bank.
","माझे मामा बँकेत होते.
"
"My grandfather was born in 1894.
","बोस यांचा जन्म 1894 मध्ये झाला होता.
"
"My grandfather was both father and mother to me.
","'बाबाच माझ्यासाठी आई आणि वडील असे दोन्हीही होते.
"
"My grandfather was called.
","दादाला फोन केला.
"
"My grandfather was captured.
","दादा पकडले गेले.
"
"My grandfather was caught.
","दादा पकडले गेले.
"
"My grandfather was closely associated with Mahatama Gandhi and Pandit Nehru.
","रामजी कमानी यांची महात्मा गांधी आणि पंडीत नेहरू यांच्याशी जवळीक होती.
"
"My grandfather was first generation.
","त्याचे वडील पहिल्या पिढीतले होते.
"
"My grandfather was in forest department.
","माझे वडील वन विभागात कारकून होते.
"
"My grandfather was king.
","जनक तर राजा होते.
"
"My grandfather was no exception.
","माझे दादा ही ह्याला अपवाद नव्हते.
"
"My grandfather was not a large man.
","माझे वडील कोणते मोठे नेते नव्हते.
"
"My grandfather was poor.
","माझे वडील गरीब होते.
"
"My grandfather was silenced.
","दादा गप्प झाला.
"
"My grandfather was the first... read more
","आई वडील हे आपले प्रथम . . . Read more
"
"My grandfather was the oldest among his siblings.
","माझे वडील भावंडांमध्ये सर्वात थोरले होते.
"
"My grandfather was the oldest of the brothers.
","माझे वडील भावंडांमध्ये सर्वात थोरले होते.
"
"My grandfather was the only one who worked.
","त्यात काम करणारे एकटे माझे वडील होते.
"
"My grandfather was the opposite.
","दादांचे उलटे होते.
"
"My grandfather was the sarpanch of the village.
","त्याचे वडील म्हणजे गावाचे सरपंच.
"
"My grandfather wasn't a nice man.
","माझं नवरा चांगला माणूस नव्हता.
"
"My grandfather wasn't too happy about it either.
","दादाही यासाठी फारसे उत्सुक नव्हते.
"
"My grandfather went to the park.
","दादा बागेत फिरायला जात असे.
"
"My grandfather worked as a mechanic.
","त्यांचे वडील एक मेकॅनिक म्हणून काम केले.
"
"My grandfather worked as a truck driver.
","त्यांचे वडील एक ट्रक चालक म्हणून काम केले.
"
"My grandfather worked in the theater.
","माझे वडील थिएटरवर काम करायचे.
"
"My grandfather worked in the woods.
","माझे वडील जंगलखात्यात काम करायचे.
"
"My grandfather works very well.
","दादा चांगलं काम करतात.
"
"My grandfather wrote in a very unusual way.
","माझ्या वडिलांनी अतर्क्य पद्धतीने तो लिहून ठेवला होता.
"
"My grandfather's father worked on the railways.
","अण्णांचे वडील रेल्वेमध्ये कामाला होते.
"
"My grandfather's garden
","दादाजी का बगीचा
"
"My grandfather's given
","माझ्या आज्जी ने दिलेली आहे
"
"My grandfather's heart exploded.
","दादाचे ह्रदय दुभंग झाले.
"
"My grandfather's house wasn't anything out of the ordinary.
","माझ्या आज्जी घरच्या देऊळाला यातलं काहीच नव्हतं.
"
"My grandfather's library consisted of ten thousand books.
","त्यांच्या वडिलांचा दहा हजार पुस्तकांचा संग्रह होता.
"
"My grandfather's name is Krishnamani.
","माझ्या वडिलांचं नाव कृष्ण आहे.
"
"My grandfather's name was Bob.
","माझे वडील काय, त्याचे नाव बॉब आहे.
"
"My grandfather's school
","दादाची शाळा
"
"My grandfathers were the same.
","दादांचे तसेच होते.
"
"My grandmother was 10 years older than my grandfather.
","नाना माझ्या पेक्षा वयाने 10 एक वर्ष मोठा .
"
"My great grandfather was Prime Minister.
","माझे वडील पंतप्रधान होते.
"
"My great grandfather was no exception.
","माझे दादा ही ह्याला अपवाद नव्हते.
"
"My great grandfather worked for them.
","त्यांच्यासाठी दादांनी पुष्कळ काम केलं.
"
"My great grandfather wrote several books.
","दादांनी अनेक प्रकारचं लेखन केलेलं आहे.
"
"My mother and grandfather were both teachers.
","माझे आई आणि वडील दोघही शिक्षक होते.
"
"My mother was my grandfather's only daughter.
","आई ही तिच्या वडिलांची एकुलती एक मुलगी होती.
"
"My paternal grandfather died fighting in the Great Patriotic War.
","त्यांचे वडील ग्रेट देशभक्तीपर युद्ध दरम्यान मृत्यू झाला.
"
"My wife's grandfather passed away in 2008.
","पीडित महिलेच्या पतीचे 2008 मध्ये निधन झाले होते.
"
"Not for the grandfather.
","दादाचे नाही.
"
"Not her grandfather.
","दादाचे नाही.
"
"Not his grandfather.
","दादाचे नाही.
"
"Not my grandfather.
","दादाचे नाही.
"
"Now you are a grandfather.
","आता तू दादा झालास.
"
"Now you're a grandfather.
","आता तू दादा झालास.
"
"Occasionally, I go to my grandfather's house.
","कधी कधी दादाच्या घरी जातो.
"
"One day I told him what his grandfather had told me.
","एक दिवस मी विजूला, वडील जे बोलतात ते सांगितले.
"
"One day his granddaughter called her grandfather on the phone.
","मग एक दिवशी ह्यानेच दादांना फोन लावला,फोनवर वहिनी होत्या.
"
"Our family consisted of grandfather, parents, and three children.
","आई, वडील आणि तीन मुली असा हा परिवार होता.
"
"Our grandfather had five sons.
","आमच्या पणजोबांना 5 मुले होती.
"
"Photo taken by the grandfather.
","फोटो नाय बुवा काढले.
"
"Ram's grandfather asked.
","' रामाच्या मुलाने विचारलं.
"
"Same with father and grandfather.
","दादा आणि वहिनीशी तसच.
"
"She came back home and told her grandfather.
","घरी येऊन पारूला आन दादांना तसं सांगितलं.
"
"She didn't call her grandfather.
","त्यानं मामाला फोन केला नाही.
"
"She had to get to her grandfather.
","तिला तिच्या दादाकडे जायचं असायचं.
"
"She had to go see her grandfather.
","तिला तिच्या दादाकडे जायचं असायचं.
"
"She has all the qualities of her great grandfather.
","त्याच्याकडे महान वडिलांचे सर्व गुण आहेत.
"
"She liked her grandfather.
","तिच्या बाबाला फार आवडलेलं .
"
"She wanted to visit her grandfather.
","तिला तिच्या दादाकडे जायचं असायचं.
"
"She was expecting her grandfather to come.
","ते दादांच्या येण्याची वाट पाहत असत.
"
"She'd go see her grandfather.
","तिला तिच्या दादाकडे जायचं असायचं.
"
"She's not got a grandfather.
","तिच्याजवळ दादा नाही.
"
"That's something my grandfather said years ago.
","बऱ्याच वर्षापूर्वी माझ्या वडिलांनी सांगितलेला हा प्रसंग / गोष्ट आहे.
"
"The boy doesn't believe his grandfather.
","दादा आपल्या थोरल्या मुलावर विश्वास ठेवत नसत.
"
"The child asks his grandfather for advice.
","मुलगा वडिलांना रेसरकार मागतो.
"
"The child's grandfather immediately brought him to the hospital.
","मुलाच्या वडिलांनी त्याला तातडीने रुग्णालयात दाखल केले.
"
"The father and grandfather
","बाबा आणि दादाने
"
"The father and the grandfather have been arrested.
","बुक्या आणि दादा या दोघांना अटक करण्यात आली आहे.
"
"The grandfather asked a lot of questions.
","दादांना खूप प्रश्न विचारायचा.
"
"The grandfather asked.
","' दादांनी विचारलं.
"
"The grandfather came to him.
","दादा त्याच्याकडे आले.
"
"The grandfather gave directions.
","दादांनी मार्गदर्शनात सांगितले होते.
"
"The grandfather gave the boy $5.
","मुलाच्या वडिलांनी पाच डॉलर जास्त दिले.
"
"The grandfather looked at me.
","दादांनी माझ्याकडे बघितले.
"
"The grandfather says.
","दादा म्हणतात.
"
"The grandfather was arrested.
","दादा पकडले गेले.
"
"The grandfather was there.
","दादा तिथे आले होते.
"
"The grandfather was weak.
","दादा सान्गत होता.
"
"The memories of my grandfather are always with me.
","त्या वडीलांच्या आठवणी कायम माझ्या सोबत आहेत.
"
"The next day the boy's grandfather died.
","दुसऱ्याच दिवशी या मुलीचे वडील मरण पावले.
"
"The problem is grandfather.
",". प्रश्न दादाचाच आहे.
"
"The second reason is because of his grandfather.
","दुसरं कारण म्हणजे आज्जी.
"
"The store was started by his grandfather.
","तिच्या वडिलांनी सुरू केलेलं दुकान.
"
"The story of the island begins from the year 1807, when Giuseppe Bertoleoni, grandfather of the current King Antonio, also known as Tonio, arrived on the island fleeing Italy.
","या बेटाची कहाणी 1807 पासून सुरू होते, जेव्हा सध्याचा राजा Antonio उर्फ टोनियोचे खापर पणजोबा Giuseppe Bertoleoni इटलीतून पळून या बेटावर येऊन पोहोचले.
"
"Their grandfather played first-class cricket.
","त्याचे वडील हे प्रथम श्रेणी क्रिकेटमध्ये खेळले अाहेत.
"
"Their grandfather was also a Police Officer.
","त्यांचे वडील देखील पोलीस अधिकारी होते.
"
"Their grandfather was also a police officer.
","त्यांचे वडील देखील पोलीस अधिकारी होते.
"
"Then, his grandfather had an accident.
","मग दादाचा अपघात झाला.
"
"There is no grandfather here.
","इथे कुणी दादा नाही.
"
"There is no grandfather in.
","इथे कुणी दादा नाही.
"
"There were two grandfathers.
","एक दोन दादाही आले.
"
"They are proud of their grandfather's artwork.
","त्यांच्या वडिलांच्या कलेचा त्यांना अभिमान आहे.
"
"They went into grandfather's bedroom.
","दादांच्या खोलीत गेले होते.
"
"This is my connection with my grandfather.
","माझा दादांशी आलेला संपर्क इतकाच.
"
"This is my grandfather!
","असा आहे माझा दादा !
"
"This is the story my grandfather told.
","माझ्या दादांनी सांगितलेली हि उपोषण कथा आहे.
"
"This turn of the grandfather's life has been greatly appreciated on the future of the grandfathers and the whole of Maharashtra.
","दादांच्या आयुष्यातील हे वळण दादांच्या आणि एकूणच महाराष्ट्राच्या भविष्यावर फार मोठे उपकार करून गेले.
"
"This was by my mother, and my grandfather.
","तो माझी आई आणि आजी यांनी केले.
"
"This was told to by my grandfather many years ago.
","बऱ्याच वर्षापूर्वी माझ्या वडिलांनी सांगितलेला हा प्रसंग / गोष्ट आहे.
"
"This wasn't someone else's grandfather; this
","एक या ःपृँयांच्या बापाच नाह; ती
"
"To repay her grandfather's debt.
","दादाचं कर्ज फेडायासाठी.
"
"Today is also my grandfather's birthday.
","आज त्याच दादांचा स्मृतिदिन आहे.
"
"Today, my grandfather is 96 years old.
","दादाजींचे वय आज ९६ आहे.
"
"Trump's grandfather, Friedrich Trump, was a German immigrant.
","- डोनाल्ड ट्रम्प यांचे वडिलांचे वडील फ्रेड्रिक ट्रम्प हे मूळचे जर्मन नागरिक होते.
"
"Unfortunately his grandfather also died 3 years later.
","दुर्दैवाने 3 वर्षापूर्वी वडिलांचेही निधन झाले.
"
"We call them grandfathers.
","त्यांना आम्ही दादा म्हणायचोे.
"
"We were brought up quite a lot by my grandfather.
","दादांनी आम्हाला खूप छान वाढवलं.
"
"Who's the grandfather?
","दादी कोण आहे?
"
"With the grandfather...
","दादा यांच्या सोबत. . .
"
"You are the grandfather now.
","आता तू दादा झालास.
"
"You now are a great grandfather.
","आता मोठे दादासाहेब झालात तुम्ही.
"
"You're a grandfather now.
","आता तू दादा झालास.
"
"Your grandfather's heart was broken.
","दादाचे ह्रदय दुभंग झाले.
"
"back into grandfather's face.
","परत वडिलांच्या चेहऱ्यावर.
"
"don't you go for grandfather?
","तुला मामाकडे जाता नाही आलं?
"
"father and grandfather had worked.
","पिता आणि मोठा भाऊ नोकरी मिळाली.
"
"father and grandfather were engineers.
","आई आणि बाबा मुले अभियंते होते.
"
"friend of my grandfather's.
","दादाचा मित्र.
"
"friend of my grandfather.
","दादाचा मित्र.
"
"grandfather (3)
","चाचा भतीजी (3)
"
"grandfather died in the Great Patriotic War.
","त्यांचे वडील ग्रेट देशभक्तीपर युद्ध दरम्यान मृत्यू झाला.
"
"grandfather had asked.
","नातीने विचारले.
"
"grandfather in his works.
","दादा त्यांच्या कामात.
"
"grandfather was one of them.
","दादाही त्यांपैकीच एक.
"
"grandfather worked for them.
","त्यांच्यासाठी दादांनी पुष्कळ काम केलं.
"
"grandfather's advice
","दादांचा अफलातून सल्ला
"
"grandfather, he said.
","दादा म्हणाले.
"
"grandfather, what should I do?
","दादा - काय करायचो मी?
"
"his grandfather died in 1907,
","1907 मध्ये त्याचे वडील मरण पावले.
"
"his grandfather was a sharecropper.
","त्यांचे वडिल शेयरक्रॉपर होते.
"
"his grandfather's
","त्यांची दादा ॥
"
"i have a lot of respect for my grandfather.
","दादाचा मी मनापासून आदर करतो.
"
"i'm his grandfather
","मी अन माझ्या दादाने
"
"in my grandfather's
","माझ्या दादा च्या देहात
"
"learned from his grandfather.
","दादांकडून शिकायला मिळते.
"
"me and my grandfather
","दादा आणि मी
"
"meet his grandfather.
","दादाला भेटायला.
"
"my grandfather says.
","दादा म्हणतात.
"
"my grandfather says:
","दादा म्हणतात ,
"
"my grandfather used to say.
","माझा दादा म्हणत होता.
"
"my grandfather was a police officer.
","माझे मामा पोलिस कर्मचारी होते.
"
"my grandfather would want me
","दादा मला हवा
"
"my grandfather's family!
","आम्हा ताई दादांचा परिवार !
"
"my grandfather's question.
","बुवाचा प्रश्न.
"
"my grandfather.
","माझा दादा .
"
"not his grandfather.
","दादाचे नाही.
"
"some of my grandfather's books.
","दादांच्या काही पुस्तकांची मुखपृष्ठे.
"
"tell their grandfather.
","दादाला सांगा.
"
"the grandfathers name.
","दादांच्या नावाचा .
"
"voted husband, father, grandfather,
","पती, मुलगा, वडील, दीराचं ऐकून मतदान
"
"went to grandfather's house.
","दादाच्या घरी पोहचलो.
"
"went to his grandfather.
","भाऊ दादांकडे गेला.
"
"your grandfather was wont to say.
","तुमचे दाजी सांगत होते.
"
"Kareena Kapoor's newborn baby’s first pictures have recently gone viral on social media courtesy of grandfather Randhir Kapoor.
","काही दिवसांपूर्वीच करिनाचे वडील रणधीर कपूर यांच्या अकाऊंटवरुन एका बाळाचा फोटो व्हायरल झाला होता.
"
"His grandfather immediately informed the police.
","त्याच्या वडिलांनी तातडीने पोलिसांना माहिती दिली.
"
"He was saved by his grandfather then.
","त्यावेळी त्याच्या वडिलाने त्याला वाचवले.
"
"At about that time his grandfather’s friend sexually abused him.
","त्यावेळी तिच्या मावशीच्या पतीने तिच्यासोबत लैंगिक अत्याचार केले.
"
"Currently I’m staying at my grandfather’s place.
","सध्या मी चेंबूरमद्धे माझ्या वडिलांच्या घरात राहतो.
"
"Police also say her grandfather and father were also involved.
","या प्रकरणात पोलिसही आपल्या वडिलांना सामील झाले आहेत, असा आरोपही तरुणीने केला आहे.
"
"At the time of his birth, his father, Shah Jahan, was then the Subahdar governor of Gujarat, and his grandfather, Jehangirwas the Mughal Emperor.
","औरंगजेबाच्या जन्माच्या वेळी त्याचे वडील शहाजहान गुजरातचे राज्यपाल होते.
"
"Kumar’s grandfather had three brothers.
","कादर खान ह्यांना तीन भाऊ होते.
"
"In a trembling voice, he asked, “Are you my grandfather?
","त्याने थरथरत्या आवाजात विचारलं, “वहिनी, तुम्ही?
"
"At this point, I was living in my grandparents’ one-bedroom house alongside my grandmother, grandfather, father, aunt and cousin.
","त्यावेळी दहा बाय दहाच्या खोलीत मी, माझी आई, माझी पणजी, माझी बहीण व भाऊ एवढी लोक रहात होतो.
"
"Once everybody including father-mother, uncle-aunt, grandfather, grandmother, and cousins used to live jointly.
","पूर्वी आईवडील, भाऊ, बहीण, काका, काकू या सगळ्यांचं कुटुंब असायचं.
"
"A loving husband, devoted father and grandfather, he loved being with family and friends.
","एक कुटुंबवत्सल, मित्र-सहकारी-वडीलधारे आणि आवडत्या माणसांवर भरभरून प्रेम करणारा.
"
"Both his father and grandfather were skilled artists.
","आई-वडील दोघेही कलावंत होते.
"
"A similar thing happened with Tucker’s grandfather.
","काहीसा असाच प्रकार टकर यांच्याबरोबर सुद्धा झाला.
"
"’ But my grandfather wasn’t concerned about that.
","पण दादांनी त्याच्याकडे लक्षच दिले नाही.
"
"Meanwhile, Sonam Kapoor and Ranvir Singh are also relatives as Anil Kapoor’s mother-in-law and Ranvir’s grandfather are siblings.
","रणवीर सिंग आणि सोनम कपूर: बॉलीवूड चे अभिनेते अनिल कपूर यांची मुलगी सोनम कपूर व बॉलीवूड चे खूपच उत्साही अभिनेते रणवीर सिंग हे दोघे एकमेकांचे चुलत भाऊ बहीण आहेत.
"
"Shah Rukh Khan's youngest child, AbRam is ‘convinced’ that megastar Amitabh Bachchan is his grandfather.
","बिग बींनी शेअर केलं आहे की, शाहरूखचा लहान मुलगा अबराम याला पूर्णपणे असं वाटतं की, मी शाहरूखचे वडिल आहे.
"
"There were grandfathers of two children also along with them.
","या गावगुंडांसोबत दोन अल्पवयीन मुलंसुद्धा होती.
"
"Particularly my grandfather was very much in love with me.
","विशेषतः पप्पा माझे खूप लाड करायचे.
"
"I have learnt a lot from my grandfather.
","बाबांकडून आम्ही बहिणी खूप काही शिकलो.
"
"And what of your grandfather?
","आणि काय चाललंय तुझ्या बाबांचं?
"
"He has been responsible for his father’s death and his grandfather’s.
","त्याने आपल्या सासू आणि पत्नीला आपल्या मृत्यूस जबाबदार धरलंय.
"
"At the age of 15 John’s grandfather passed away.
","त्यांच्या वयाच्या १५ व्या वर्षी त्यांचे वडील वारले.
"
"His mother had died later and he had been raised by his grandfather.
","नंतर त्यांची आजी वारली आणि नंतर त्यांच्या मावशीने त्यांचा सांभाळ केला.
"
"Both his father and grandfather were professional musicians.
","त्यांचे वडील आणि काका देखील शास्त्रीय संगीतात प्रवीण होते.
"
"A family is a father and a mother, as well as grandfather and a grandmother.
","कुटुंबात आई तसेच एक भाऊ आणि एक बहिण तसेच काका आणि त्यांचा परिवार आहे.
"
"Both his father and grandfather were organists and composers.
","त्यांचे आई आणि वडील दोघेही गायक आणि अभिनेते होते.
"
"As did my mother and maternal grandfather.
","अगदी माझी आई आणि आज्जी पण.
"
"A father of three girls and grandfather of seven children.
","तो सात मुले आणि तीन मुली आनंदी पिता होता.
"
"And that was my grandfather.
","आणि ते म्हणजे माझे बाबा होते.
"
"‘Is that your grandfather?’ he asked, pointing at the photograph.
","' वडिलांच्या फोटोकडे बोट दाखवीत तिने विचारले.
"
"Pawar was accompanied by his parents, grandfather and two younger siblings, along with members of his extended family.
","आई-वडील व लहान भावाबरोबर दोन काका आणि त्यांचे कुटुंबीय एकत्र राहात होते.
"
"My father learnt it from my grandfather.
","हा आपल्या वडिलांजवळच ही कळा शिकला.
"
"There is a grandfather in the village.
","जगन आबांची वट आहे गावात.
"
"Both his father and grandfather were naval officers.
","त्यांचे वडील आणि काका दोन्ही सैनिक होते.
"
"Both his father and grandfather were U.S. Navy admirals.
","त्यांचे वडील सुद्धा अमेरिकन नौदल अधिकारी होते.
"
"A son, a brother, a husband, a father, a grandfather.
","वडिल, नातवंडे, बहीण, भाऊ, बहिणीची अपत्ये, भावाची अपत्ये, मुलीची नातवंडे, भावाचा मुलगा, बहिणीचा मुलगा.
"
"A story by a grandfather…
","कहाणी दमलेल्या बापाची. . .
"
"At the age of fifteen he started helping his grandfather with family building projects.
","वयाच्या पंचविसाव्या वर्षापासूनच त्यांनी वडिलांना त्यांच्या व्यवसायात मदत करण्यास सुरुवात केली होती.
"
"My grandfather was the sarpanch of the village.
","त्यांचे वडील गावचे सरपंच होते.
"
"He has been responsible for his father’s death and his grandfather’s.
","आपल्या वडील आणि भावाच्या मृत्यूला तो आईलाच जबाबदार ठरवायचा.
"
"But he’s my grandfather.
","पण तो मुर्ख माझा बाप आहे.
"
"His mother, Benazir Bhutto and maternal grandfather Zulfikar Ali Bhutto, were both Prime Ministers of Pakistan.
","त्यांच्या आई बेनजीर भुट्टो या पाकिस्तानच्या पंतप्रधान होत्या, तर वडील असिफ अली झरदारी हे पाकिस्तानचे राष्ट्रपती होते.
"
"Her grandfather was a school teacher and her father a doctor.
","त्याचे वडील शिक्षक असून चुलते डॉक्टर आहेत.
"
"Shah Nawaz Khan, a son of Kahuta, Pakistan, was Shahrukh Khan’s maternal grandfather.
","नूर जहां ही शाहरुख खानच्या वडिलांच्या चुलत भावाची मुलगी होती.
"
"Her grandfather was a school teacher and her father a doctor.
","तिचे वडील डॉक्टर असतात तर तीही सर्जन व्हायचं शिक्षण घेत असते.
"
"That’s my grandfather.
","ते माझ्या पित्यासमान आहे.
"
"A couple of years ago my grandfather passed away.
","दोन वर्षापुर्वी माझ्या वडिलांचे निधन झाले.
"
"According to a complaint by the girl's grandfather, the boy, who lives in the neighbourhood, allegedly raped the girl when she was alone in the house.
","मुलीच्या वडिलांनी दिलेल्या तक्रारीनुसार घरात राहाणाऱ्या चुलत भावानेच मुलीवर सतत अत्याचार केला होता.
"
"A grandfather, he is married and has three children.
","नौशाद विवाहीत असून तीन मुलांचा बाप होता.
"
"Her grandfather was a school teacher and her father a doctor.
","त्यांचे वडिलांचे वडील डॉक्टर तर आईचे वडील मिशनरी आणि प्राच्यविद्येचे अभ्यासक होते.
"
"His grandfather was like a dad to him.
","त्याची चण एकदम त्याच्या बापासारखी होती.
"
"He is named after his grandfather Raj Kapoor, whose real name was Ranbir Raj Kapoor.
","त्याचं नाव रणबीर राज कपूर.
"
"My grandfather was a lawyer.
","काका वकील होते.
"
"His father, his uncle, his grandfather, and his grandmother were all lawyers.
","त्यांचे अाजोबा, वडील, भाऊ, बहीण, मुलगा हे सर्व वकील अाहेत.
"
"My grandfather was the sarpanch of the village.
","त्यांचे वडील गावाचे सरपंच होते.
"
"His father and grandfather practised it too.
","त्याचा बाप व आजा सुद्धा शिप्याचा धंदाच करीत असत.
"
"He had played the role of a grandfather to Pooja Hegde in the movie.
","त्यांनी या चित्रपटात पूजाच्या आई-वडिलांची भूमिका साकारली होती.
"
"A few months ago my grandfather on my mother’s side passed.
","काही महिन्यांपूर्वी माझ्या आजीचं निधन झालं.
"
"My grandfather supported us.
","वडिलांचा आम्हाला आधार होता.
"
"And who was this grandfather?
","तसेच हा दादा कोण आहे?
"
"Both men are grandfathers.
","हे दोघेही नवराबायको आहेत.
"
"After my grandfather died my mother was all alone with me.
","वडिलांच्या मृत्यूनंतर आई माझ्याजवळच राहिली होती.
"
