eng_Latn,tel_Telu
"The incident occurred on Monday, days after Vikram Joshi had filed a complaint with Vijay Nagar Police Station stating that some men were harassing his niece.
","తన మేనకోడలిని కొందరు వ్యక్తులు వేధిస్తున్నారంటూ విక్రమ్ జోషి విజయ్నగర్ పోలీస్స్టేషన్లో ఫిర్యాదు చేసిన కొద్ది రోజుల తర్వాత సోమవారం ఈ ఘటన చోటు చేసుకుంది.
"
"The incident occurred on Monday, days after journalist Joshi had filed a complaint with Vijay Nagar Police Station, stating that some men were harassing his niece.
","తన మేనకోడలిని కొందరు వ్యక్తులు వేధిస్తున్నారంటూ విక్రమ్ జోషి విజయ్నగర్ పోలీస్స్టేషన్లో ఫిర్యాదు చేసిన కొద్ది రోజుల తర్వాత సోమవారం ఈ ఘటన చోటు చేసుకుంది.
"
"The most important people in my life are my mom and dad, my sister and my niece.
","నా వ్యక్తిత్వానికి ప్రధాన వ్యక్తులు అమ్మమ్మ, మేనత్త, అమ్మా నాన్నగార్లు.
"
"The sad thing is, she is my mother, my sisters, my aunts, and my nieces.
","విచారకరమైన విషయం ఏమిటంటే, ఆమె నా తల్లి, నా సోదరీమణులు, నా అత్తమామలు మరియు నా మేనకోడళ్ళు.
"
"This includes grandchildren who are old enough for the responsibility, cousins, nieces, nephews, and members of an organization that was dear to the person's heart.
","ఈ బాధ్యత, దాయాదులు, మేనళ్ళు, మేనల్లుళ్ళు మరియు వ్యక్తి యొక్క హృదయం ప్రియమైన ఒక సంస్థ యొక్క సభ్యులకు తగినంత వయస్సు ఉన్న మనుమడులను కలిగి ఉన్నారు.
"
"This list of extended Chinese family relationships covers family members of the same generation or younger - cousins, bothers and sisters-in-law, and nieces and nephews.
","విస్తరించిన చైనీస్ కుటుంబం సంబంధాల ఈ జాబితా అదే తరం లేదా యువ - దాయాదులు, ఇబ్బందులు మరియు సోదరీమణులు, మరియు మేనళ్ళు మరియు మేనల్లుళ్ళు యొక్క కుటుంబ సభ్యులను వర్తిస్తుంది.
"
"This time, it's my niece!
","ఈసారి కొంటెనవ్వు నాది!
"
"^ In 1902, he met his future wife Eleanor Roosevelt , Theodore's niece, at a White House reception (they had previously met as children, but this was their first serious encounter).
","1902లో ఆయన భవిష్యత్ భార్య, థియోడోర్ సోదరుని కుమార్తె ఎలియనోర్ రూజ్వెల్ట్ను ఒక వైట్హోస్ కార్యక్రమంలో కలుసుకున్నారు, (బాల్యంలో కూడా వీరు కలుసుకున్నప్పటికీ, వీరిద్దరికి ఇది మొదటి ముఖ్యమైన కలయిక).
"
"Based on the deceased woman’s niece Richa, police registered a case of murder under Section 302 of the Indian Penal Code (IPC).
","భారతీయ శిక్షాస్మృతి (ఐపిసి) సెక్షన్ 302 (హత్య) కింద మహిళపై పోలీసులు కేసు నమోదు చేశారు.
"
"US Vice President Kamala Harris's niece Meena Harris also showed her support.
","ఇక అమెరికా ఉపాధ్యక్షురాలు కమలా హారీస్‌ బంధువు మీనా హారీస్ కూడా దిశా అరెస్ట్‌ను ఖండించారు.
"
"Veronica is the daughter of YS Sudheekar Reddy and niece of late Chief Minister YS Rajasekhar Reddy.
","రాజశేఖర్ రెడ్డి తమ్మడైన సుధీకర్ రెడ్డి కూతురు విరానిక రెడ్డి.
"
"KCR is Chief Minister, his son and nephew are Ministers, his daughter is Lok Sabha member and his niece is Rajya Sabha member,” she said.
","కేసీఆర్‌‌ సీఎం అయ్యారని. . కొడుకు, అల్లుడు మంత్రులు, బిడ్డ ఎంపీ అయ్యారన్నారు.
"
"Aamir Khan along with his wife Kiran Rao, son Azad Rao Khan and daughter Ira Khan attended his niece Zayn. . . . .
","ఈ కార్యక్రమానికి అమీర్ ఖాన్ భార్య కిరణ్ రావు తన కుమారుడు ఆజాద్ రావ్ ఖాన్ తో వచ్చింది.
"
"Jayalalithaa’s bungalow to be handed over to her niece and nephew, rules Madras High Court
","జయలలిత నివాసాన్ని ఆమె మేనకోడలికి అప్పగించండి: మద్రాస్ హైకోర్టు కీలక తీర్పు
"
"Their list included relatives of Sasikala's nephew Vivek Jayaraman - the chief of Jaya TV - her niece Krishnapriya, her brother Dhivakaran, husband Jayaraman and nephew TTV Dhinakaran, the sidelined AIADMK leader currently fighting for control of the party.
","శశికళ సోదరుడు దివాకరన్, టీటీవీ దినకరన్, టీటీవీ భాస్కరన్, జయా టీవీ ఎండీ వివేక్, క్రిష్ణప్రియ ఎవరికి వారు తామే జయలలిత, శశికళ వారసులు అంటూ ప్రకటించుకోవడం వారి కుటుంబ సభ్యుల్లో చిచ్చురేపింది.
"
"Niharika, niece of Megastar Chiranjeevi and daughter of actor-producer Naga Babu, got engaged to Chaitanya on August 13 at a plush hotel in Hyderabad.
","కాగా ఆగష్టు 13న మెగా బ్రదర్ నాగబాబు కూతురు నిహారిక నిశ్చితార్ధం హైదరాబాద్‌లోని ట్రైడెంట్ హోట‌ల్‌లో జరిగిన విషయం తెలిసిందే.
"
"Justice N Seshasayee passed the order on writ petitions filed by Jayalalithaa’s niece and nephew, J Deepa and J Deepak, against the acquisition.
","రాష్ట్ర ప్రభుత్వ నిర్ణయాన్ని సవాలు చేస్తూ జయలలిత మేన కోడలు దీప, మేనల్లుడు దీపక్‌ వేసిన రిట్‌ పిటిషన్‌పై జస్టిస్‌ ఎన్‌ శేషసాయి నేతృత్వంలోని ధర్మాసనం ఈ మేరకు తీర్పు చెప్పింది.
"
"Salman has also expressed his joy over the birth of his niece.
","మేనల్లుడు పుట్టినందుకు సల్మాన్ సంతోషంలో మునిగిపోయాడు.
"
"Vikram Joshi's brother Aniket Joshi said the UP journalist had recently submitted a written complaint in Vijay Nagar police station in which he alleged that some men had misbehaved with his niece.
","దీనిపై విక్రమ్ జోషి సోదరుడు అనికేట్ జోషి మాట్లాడుతూ. . తన సోదరుడు ఇటీవల విజయ్ నగర్ పోలీస్ స్టేషన్లో లిఖితపూర్వక ఫిర్యాదును సమర్పించారని, ఇందులో కొంతమంది అబ్బాయిలు తన మేనకోడలితో అసభ్యంగా ప్రవర్తించారని ఆరోపించారు.
"
"He married his wife's niece.
","అతనికి మేనమామ కూతురుతో వివాహమైంది.
"
"Aunts, Uncles, cousins, brothers, sisters, and nieces were there.
","తాతయ్యలు, అక్కలు, బావలు, అన్నలు, వదినెలు , బాబాయలు, పిన్నులు ఇలా ఎంతో మంది ఉండేవారు.
"
"A couple of days ago, star Tollywood director Rajamouli’s son Karthikeya got engaged to Pooja Prasad, niece of senior hero Jagapathi Babu.
","ప్రముఖ దర్శకుడు రాజమౌళి తనయుడు కార్తికేయ, జగపతిబాబు సోదరుని కుమార్తె పూజా ప్రసాద్‌ వివాహం రాజస్థాన్‌లో బాలీవుడ్‌ టు టాలీవుడ్‌ సినీ ప్రముఖులు మధ్య ఘనంగా జరిగిన సంగతి తెలిసిందే.
"
"One of them was his niece’s girls, and two of them were mother’s girls.
","వారిలో ఒకరు పెళ్ళికుమూర్త తల్లి, రెండవ ఆమె పెళ్ళి కూతురి అక్క.
"
"Meena Harris, who is Kamala Harris's niece, posted the short clip on Instagram and it has gone viral on social media.
","ఇందుకు సంబంధించిన వీడియోను కమలా హారిస్‌ సోదరి కుమార్తె మీనా హారిస్ ట్విటర్‌లో షేర్ చేశారు.
"
"Aishwarya Rajesh is actor Rajesh’s daughter and comedian Srilakshmi’s niece.
","నటుడు రాజేష్ కూతురే ఈ ఐశ్వర్య రాజేష్.
"
"Rishi's funeral was attended by his wife Neetu Kapoor, son Ranbir Kapoor and his girlfriend Alia Bhatt, brother Randhir Kapoor, niece Kareena Kapoor Khan and her husband Saif Ali Khan, Abhishek Bachchan and a few others.
","ఆయన అంత్యక్రియలు కుమారుడు రణబీర్ - భార్య నీతూ సింగ్ - రణధీర్ కపూర్ - రాజీవ్ కపూర్ - సైఫ్ అలీఖాన్ - కరీనా కపూర్ - అభిషేక్ బచ్చన్ - ఆలియా భట్ లు దగ్గరుండి జరిపించారు.
"
"She is a niece.
","ఆమె సేరు. దుర్గమ్మ. ఆమె గుండమ్మ కోడలికి మేనత్త.
"
"Are you his niece?
","మీకేనా అది అక్క కూతురు?
"
"""""""Congrats on the new niece!""
","""""""కొత్త దంపతులకు స్వాగతం చెప్తున్నానండీ!""
"
"She is his niece.
","అతని మేనమామ కూతురే.
"
"He married his wife's niece.
","తన చెల్లెలినే అతను వివాహం చేసుకున్నాడు.
"
"He said the investigations revealed that Jayaram’s niece Shikha Chowdary had no role in the murder.
","అయితే జయరాం హత్యలో శిఖా చౌదరి పాత్ర ఉన్నట్లు తమ దర్యాప్తులో తేలలేదని తెలిపారు.
"
"Another niece got married.
","మరో అక్కకు పెళ్లి కుదిరింది.
"
"Sounding a word of caution to Meena Harris, the niece of the US Vice President has been asked by a White House team not to use her aunt Kamala Harris’ name to boost her personal brand.
","వైస్ ప్రెసిడెంట్‌గా అత్యున్నత హోదాలో వున్న కమలా హారిస్‌ పేరుని, పరపతిని వ్యక్తిగత ప్రతిష్టను పెంచుకోవడానికి వాడొద్దంటూ వైట్ హౌస్ మీనాను హెచ్చరించింది.
"
"Also many nieces and nephews.
","అంతేకాకుండా చాలా మంది మనమలు, మనవరాళ్లు ఉన్నారు.
"
"Also, several nieces and nephews.
","అంతేకాకుండా చాలా మంది మనమలు, మనవరాళ్లు ఉన్నారు.
"
