eng_text,tgt_lang,tgt_lang_text,eng_reln,gemma_3_12b
"I remembered my uncle.
",mal_Mlym,"എനിക്കു എന്റെ അമ്മാവനെ ഓർമ്മ വന്നു.
",uncle,B
"I said to my uncle.
",mal_Mlym,"ഞാൻ എന്റെ അങ്കിളിനോട് പറഞ്ഞു.
",uncle,X
"I saw my uncle last night.
",mal_Mlym,"ഞാൻ വൈകിട്ട് അമ്മാവനേ കണ്ടു.
",uncle,B
"I saw my uncle.
",mal_Mlym,"ഞാൻ അമ്മാവനെ കണ്ടു.
",uncle,B
"I saw your uncle.
",mal_Mlym,"ഞാൻ അമ്മാവനെ കണ്ടു.
",uncle,B
"I see my uncle.
",mal_Mlym,"ഞാൻ അമ്മാവനെ കണ്ടു.
",uncle,B
"I stay at my uncle's house.
",mal_Mlym,"ഞാൻ അമ്മാവന്റെ വീട്ടിലാ നിൽക്കുന്നത്.
",uncle,B
"I thought about my uncle.
",mal_Mlym,"ഞാനും എന്റെ അമ്മായിയപ്പനെ കുറിച്ച് ചിന്തിച്ചു.
",uncle,B
"I thought of my uncle.
",mal_Mlym,"ഞാൻ അമ്മാവനോടു ആലോചിച്ചു.
",uncle,B
"I told my father and uncle to provide a toilet.
",mal_Mlym,"ഞാൻ അച്ഛനോടും അമ്മാവനോടും എനിക്ക് ഒരു ശൌചാലയം വേണമെന്നു പറഞ്ഞു.
",uncle,B
"I told my uncle.
",mal_Mlym,"ഞാൻ എന്റെ അങ്കിളിനോട് പറഞ്ഞു.
",uncle,B
"I used to send her Rs 500 as and when possible using an uncle's account.
",mal_Mlym,"അമ്മാവന്റെ അക്കൌണ്ട് ഉപയോഗിച്ച് സാധ്യമാകുമ്പോഴെല്ലാം ഞാൻ അമ്മക്ക് 500 രൂപ അയയ്ക്കാറുണ്ടായിരുന്നു.
",uncle,B
"I wanna go there next month with my uncle and her son.
",mal_Mlym,"ഞാനും നിരക്ഷരനും പിന്നെ എൻറെ വകയിലെ അമ്മാവനും കൂടി അടുത്തമാസം അവിടെ പോകാൻ പോകുന്നു.
",uncle,B
"I want to see my uncle.
",mal_Mlym,". എനിക്ക് എന്റെ അമ്മായിയപ്പനെ ശരിക്കൊന്നു കാണണം.
",uncle,B
"I was living with my uncle.
",mal_Mlym,"അമ്മാവനൊപ്പമായിരുന്നു എന്റെ താമസം.
",uncle,B
"I was there with my uncle.
",mal_Mlym,"അമ്മാവനൊപ്പമായിരുന്നു അവിടെ എന്റെ താമസം.
",uncle,B
"I was thinking about my uncle.
",mal_Mlym,"ഞാനും എന്റെ അമ്മായിയപ്പനെ കുറിച്ച് ചിന്തിച്ചു.
",uncle,B
"I went over to my uncle.
",mal_Mlym,"ഞാൻ അമ്മാവന്റെ അടുത്തേക്ക് നടന്നു.
",uncle,B
"I went to my uncle.
",mal_Mlym,"ഞാൻ അമ്മാവന്റെ അടുത്തേക്ക് നടന്നു.
",uncle,B
"I will never forget the love and affection given to me by uncle.
",mal_Mlym,"ഒരിറ്റു സ്നേഹം തന്ന ആ ചേട്ടനെയും അണ്ണാന്മാരെയും ഞാൻ ഒരിക്കലും മറക്കില്ല.
",uncle,B
"I will stay at my uncles house.
",mal_Mlym,"ഞാൻ എന്റെ അങ്കിളിന്റെ വീട്ടിലാ നിൽകുന്നെ.
",uncle,B
"I will tell my uncle.
",mal_Mlym,"ഞാൻ അമ്മാവനോട് പറഞ്ഞോളാം.
",uncle,B
"I will tell you uncle.
",mal_Mlym,"ഞാൻ അമ്മാവനോട് പറഞ്ഞോളാം.
",uncle,B
"I'll talk to uncle.
",mal_Mlym,". . ഞാൻ അമ്മാവനോട് സംസാരിക്കാം.
",uncle,B
"I'll tell my uncle.
",mal_Mlym,"ഞാൻ അമ്മാവനോട് പറഞ്ഞോളാം.
",uncle,B
"I'm an uncle now!
",mal_Mlym,"ഞാനിപ്പോ സിംഗിളാണ് !
",uncle,X
"I'm at my uncle's house right now.
",mal_Mlym,"ഞാനിപ്പോ ഉപ്പുതറ എന്റെ അമ്മാച്ചന്റെ വീട്ടിൽ ആണ്.
",uncle,X
"I'm happy being an uncle.
",mal_Mlym,"ഞാനൊരു അങ്കിൾ ആയതിന്റെ സന്തോഷത്തിലാണ്.
",uncle,X
"I'm happy to be uncle.
",mal_Mlym,"ഞാനൊരു അങ്കിൾ ആയതിന്റെ സന്തോഷത്തിലാണ്.
",uncle,X
"I'm not your uncle.
",mal_Mlym,"ഒന്നില്ലെങ്കിലും ഞാൻ നിന്റെ അമ്മാവന്റെ മകനല്ല.
",uncle,X
"I'm remembering my uncle.
",mal_Mlym,"എനിക്കു എന്റെ അമ്മാവനെ ഓർമ്മ വന്നു.
",uncle,X
"I'm reminded of my uncle.
",mal_Mlym,"എനിക്കു എന്റെ അമ്മാവനെ ഓർമ്മ വന്നു.
",uncle,X
"I'm staying at my uncle's house.
",mal_Mlym,"ഞാൻ അമ്മാവന്റെ വീട്ടിലാ നിൽക്കുന്നത്.
",uncle,X
"I've called uncle.
",mal_Mlym,"ഞാൻ അങ്കിൾ നെ വിളിച്ചു.
",uncle,X
"I've got 3 uncles.
",mal_Mlym,"മൂന്ന് അമ്മാവന്മാരാണ് എനിക്ക്.
",uncle,X
"I've got an uncle.
",mal_Mlym,"എനിക്ക് ഒരു അങ്കിൾ ഉണ്ട്.
",uncle,B
"I've got four uncles.
",mal_Mlym,"എനിക്ക് നാല് അമ്മാവന്മാരുണ്ട്.
",uncle,B
"I've got two uncles, John and Evan.
",mal_Mlym,"എനിക്ക് സുഹൃത്തുക്കള്ളയി രണ്ടു പേരുണ്ട് ജോൺ ഉം, വിനു ഉം.
",uncle,X
"I've written about my uncle before.
",mal_Mlym,"മാമനെ കുറിച്ച് മുൻപ് ഞാൻ എഴുതിയിട്ടുണ്ട്.
",uncle,B
"I've written about uncle before.
",mal_Mlym,"മാമനെ കുറിച്ച് മുൻപ് ഞാൻ എഴുതിയിട്ടുണ്ട്.
",uncle,B
"Iago Aspas upon his arrival in Vigo met a great disappointment as he together with his parents and uncle who accompanied him were told that the football test were only for children born in the year 1986.
",mal_Mlym,"ഐഗോ Aspas Vigo ൽ എത്തിയപ്പോൾ വലിയ ഒരു നിരാശയും കൂടിക്കൂടി വന്നു, അവൻ തന്റെ മാതാപിതാക്കളോടൊപ്പം അമ്മാവനും കൂടെ ഫുട്ബോൾ ടെസ്റ്റ് XIX ൽ ജനിച്ച കുട്ടികൾക്ക് മാത്രം എന്നു പറഞ്ഞു.
",uncle,B
"If the other judges were present, Brijgopal Harkrishan Loya would not have been mentioned as 'Brijmohan' Loya by Rathi, who claims Loya was a relative of his uncle.
",mal_Mlym,"മറ്റ് ന്യായാധിപന്മാർ ഹാജരായിരുന്നെങ്കിൽ ബ്രിജ്ഗോപാൽ ഹർകിഷൻ സിംഗ് ലോയയെ, ലോയ തന്റെ അമ്മാവന്റെ ബന്ധുവാണെന്ന് അവകാശപ്പെടുന്ന റാത്തി 'ബ്രിജ്മോഹൻ ലോയ' എന്നു പറയുമായിരുന്നില്ല.
",uncle,B
"In 1507, he returned to Florence to engage in a legal battle against his brothers for their uncle Francesco's inheritance.
",mal_Mlym,"പിന്നെ 1507-ൽ അദ്ദേഹം വീണ്ടും ഫ്ലോറൻസിലേക്ക് പോകുകയും,അച്ഛന്റെ എസ്റ്റേറ്റിന്റെ കാര്യത്തിൽ സഹോദരനുമായുള്ള പ്രശ്നത്തിൽ ഒത്തുതീർപ്പുണ്ടാക്കാൻ ശ്രമിക്കുകയും ചെയ്തു.
",uncle,X
"In 1775 Barton accompanied his uncle, David Rittenhouse, to survey the western boundary of Pennsylvania.
",mal_Mlym,"1785ൽ തന്റെ അമ്മാവനായ ഡേവിഡ് റിറ്റൻഹൌസിനോടു ചേർന്ന് പെൻസിൽവാനിയായുടെ പടിഞ്ഞാറൻ പ്രാന്തപ്രദേശങ്ങൾ സർവ്വെ ചെയ്യാനായി തിരിച്ചു.
",uncle,B
"In 1879, he started working in his uncle's drugstore in A blackjack bargainer review, and on August 30, 1881, at the age of 19, Porter was licensed as a pharmacist.
",mal_Mlym,"1879 ൽ അദ്ദേഹം ഗ്രീൻസ്ബോറോയിലെ അമ്മാവന്റെ മരുന്നുകടയിൽ ജോലി ചെയ്യാൻ തുടങ്ങിയ അദ്ദേഹത്തിന് 1881 ഓഗസ്റ്റ് 30 ന് 19 ആം വയസ്സിൽ ഒരു ഫാർമസിസ്റ്റായി ലൈസൻസ് ലഭിച്ചു.
",uncle,B
"In 1879, he started working in his uncle's drugstore in Greensboro, and on August 30, 1881, at the age of 19, Porter was licensed as a pharmacist.
",mal_Mlym,"1879 ൽ അദ്ദേഹം ഗ്രീൻസ്ബോറോയിലെ അമ്മാവന്റെ മരുന്നുകടയിൽ ജോലി ചെയ്യാൻ തുടങ്ങിയ അദ്ദേഹത്തിന് 1881 ഓഗസ്റ്റ് 30 ന് 19 ആം വയസ്സിൽ ഒരു ഫാർമസിസ്റ്റായി ലൈസൻസ് ലഭിച്ചു.
",uncle,B
"In 1879, he started working in his uncle's drugstore in Greensboro, and on August 30, 1881, at the age of nineteen, Porter was licensed as a pharmacist .
",mal_Mlym,"1879 ൽ അദ്ദേഹം ഗ്രീൻസ്ബോറോയിലെ അമ്മാവന്റെ മരുന്നുകടയിൽ ജോലി ചെയ്യാൻ തുടങ്ങിയ അദ്ദേഹത്തിന് 1881 ഓഗസ്റ്റ് 30 ന് 19 ആം വയസ്സിൽ ഒരു ഫാർമസിസ്റ്റായി ലൈസൻസ് ലഭിച്ചു.
",uncle,B
"In 1879, he started working in his uncle's drugstore in Greensboro, and on August 30, 1881, at the age of nineteen, Porter was licensed as a pharmacist.
",mal_Mlym,"1879 ൽ അദ്ദേഹം ഗ്രീൻസ്ബോറോയിലെ അമ്മാവന്റെ മരുന്നുകടയിൽ ജോലി ചെയ്യാൻ തുടങ്ങിയ അദ്ദേഹത്തിന് 1881 ഓഗസ്റ്റ് 30 ന് 19 ആം വയസ്സിൽ ഒരു ഫാർമസിസ്റ്റായി ലൈസൻസ് ലഭിച്ചു.
",uncle,B
"In 1920-21, captained by his uncle George Whatman, Bradman acted as scorer for the native Bowral team.
",mal_Mlym,"1920-21 കാലഘട്ടത്തിൽ ബ്രാഡ്മാന്റെ അമ്മാവനായ ജോർജ്ജ് വാട്ട്മാൻ നായകനായ തന്റെ നാട്ടിലുള്ള ബ്രൌൾ ടീമിന്റെ ഒരു മികച്ച സ്കോറർ ആയിരുന്നു.
",uncle,B
"In 1922 Weiss left Europe for the Middle East for what was supposed to be a short visit to an uncle in Jerusalem.
",mal_Mlym,"ജറൂസലമിലുള്ള തന്റെ അമ്മാവനെ സന്ദർശിക്കുന്നതിനായി യൂറോപ്പിൽ നിന്നും 1922ൽ വെയ്സ് മിഡ്ൽ ഈസ്റ്റിലേക്കു യാത്ര തിരിച്ചു.
",uncle,B
"In 619, Muhammad's wife Khadija and his uncle Abu Talib both died.
",mal_Mlym,"619 ൽ മുഹമ്മദിന്റെ ഭാര്യ ഖാദിജ മരിച്ചു, തുടർന്ന് 620 ൽ മുഹമ്മദിന് സംരക്ഷകനും അമ്മാവനായ അബു താലിബിനെയും നഷ്ടപ്പെട്ടു.
",uncle,B
"In 619, Muhammad's wife Khadijah died, and then Muhammad also lost his protector and uncle , Abu Talib in 620.
",mal_Mlym,"619 ൽ മുഹമ്മദിന്റെ ഭാര്യ ഖാദിജ മരിച്ചു, തുടർന്ന് 620 ൽ മുഹമ്മദിന് സംരക്ഷകനും അമ്മാവനായ അബു താലിബിനെയും നഷ്ടപ്പെട്ടു.
",uncle,B
"In 619, both Muhammad's wife Khadijah and his uncle Abu Talib died.
",mal_Mlym,"619 ൽ മുഹമ്മദിന്റെ ഭാര്യ ഖാദിജ മരിച്ചു, തുടർന്ന് 620 ൽ മുഹമ്മദിന് സംരക്ഷകനും അമ്മാവനായ അബു താലിബിനെയും നഷ്ടപ്പെട്ടു.
",uncle,B
"In Utah, we initially lived in a tiny mobile home in a college town called Logan after moving out of my uncle's.
",mal_Mlym,"യൂട്ടായിൽ, ആരംഭകാലത്ത് അങ്കിളിന്റെ അടുത്തു നിന്ന് മാറിയ ശേഷം കോളേജ് പട്ടണമായ ലോഗാനിലെ ഒരു ചെറിയ വീട്ടിലാണ് ഞങ്ങൾ താമസിച്ചത്.
",uncle,B
"In an effort to support his wish to become a pastor, his family sent him to Amsterdam in May 1877 where he lived with his uncle Jan van Gogh, a rear admiral in the navy.
",mal_Mlym,"ഒരു പുരോഹിതാനാകാനുള്ള കഠിനദ്ധ്വാനത്തിനെ പ്രോത്സാഹിപ്പിക്കുന്നതിനായി, വാൻ ഗോഗിന്റെ കുടുംബം, അദ്ദേഹത്തെ 1877-ൽ ആംസ്റ്റർഡാമിലേക്ക് വൈദ്യശാസ്ത്രപഠനത്തിനായി അയച്ചു, അവിടെവച്ചാണ് വാൻ ഗോഗ് നാവലിൽ വൈസ് അഡ്മിറലായിരുന്ന തന്റെ ജാൻ വാൻ ഗോഗ് അമ്മാവനുമായി ഒരുമിച്ച് താമസിച്ചത്.
",uncle,B
"In front of the uncle's house was a great elm tree.
",mal_Mlym,"വീടിന്റെ തൊട്ടു മുമ്പിലെ പറമ്പ് വലിയ അമ്മാവന്റേതായിരുന്നു.
",uncle,B
"In their uncle's house ...
",mal_Mlym,"അമ്മാവന്റെ വീട്ടിലേക്ക്. . .
",uncle,B
"Instead of going to see his friends or sticking with PS (PlayStation), Lenglet would prefer to be in the garden with his father and uncle.
",mal_Mlym,"സുഹൃത്തുക്കളെ കാണാൻ പോകുന്നതിനോ പിഎസുമായി (പ്ലേസ്റ്റേഷൻ) പറ്റിനിൽക്കുന്നതിനോ പകരം, അച്ഛനും അമ്മാവനോടൊപ്പം പൂന്തോട്ടത്തിൽ ഇരിക്കാൻ ലെങ്ലെറ്റ് ആഗ്രഹിക്കുന്നു.
",uncle,B
"It has an uncle.
",mal_Mlym,"അതിന് അമ്മാവനുണ്ട്.
",uncle,B
"It is my uncle's daughter.
",mal_Mlym,"അത് എന്റെ അങ്കിളിന്റെ മകൾ ആണ്.
",uncle,X
"It isn't necessary to blame your uncle.
",mal_Mlym,"അമ്മാവന്റെ കുറ്റം പറഞ്ഞിട്ട് കാര്യമില്ല.
",uncle,X
"It was 9:30 when I reached my uncle's home.
",mal_Mlym,"ഉച്ച കഴിഞ്ഞ് 2,30 തായപ്പോഴാണ് ഞാൻ അമ്മാവന്റെ വീട്ടിൽ എത്തിയത്.
",uncle,B
"It was all the uncle's doing.
",mal_Mlym,"എല്ലാം നടത്തിയത് അമ്മാവനായിരുന്നു.
",uncle,B
"It was her uncle's home.
",mal_Mlym,"അത് അമ്മാവന്റെ വീടായിരുന്നു.
",uncle,B
"It was her uncle.
",mal_Mlym,"അവളുടെ അങ്കിൾ ആയിരുന്നു.
",uncle,X
"It was his uncle's house.
",mal_Mlym,"അത് അമ്മാവന്റെ വീടായിരുന്നു.
",uncle,B
"It was my uncle who took me there.
",mal_Mlym,"അമ്മാവനാണ് എന്നെ അങ്ങോട്ട് കൊണ്ടുപോയത്.
",uncle,B
"It's my uncle.
",mal_Mlym,". അതു അമ്മാവാ ഞാൻ.
",uncle,B
"It's with my uncle now.
",mal_Mlym,"ഇപ്പൊൾ അമ്മാവനൊപ്പമാണ് .
",uncle,B
"It's your uncle!
",mal_Mlym,"ഇത് നിന്റെ അങ്കിളാടാ!
",uncle,B
"Jacob was a servant in the house of his uncle, Laban.
",mal_Mlym,"പൂർവ്വപിതാവായ യാക്കോബ് തന്റെ അമ്മാവനായ ലാബാന് സേവനം ചെയ്ത് ജീവിക്കുകയായിരുന്നു.
",uncle,B
"Jacob worked for his uncle another seven years.
",mal_Mlym,"ഏഴുവർഷംകൂടി യാക്കോബ് അമ്മാവനുവേണ്ടി പണിയെടുത്തു.
",uncle,B
"Jacob worked for twenty years for his uncle.
",mal_Mlym,"ഏഴുവർഷംകൂടി യാക്കോബ് അമ്മാവനുവേണ്ടി പണിയെടുത്തു.
",uncle,B
"Jagan Reddy's uncle, former MP YS Vivekananda Reddy, was found murdered at his home in Kadapa a little before elections in the state.
",mal_Mlym,"വൈ. എസ്. വിവേകാനന്ദ റെഡ്ഡിയെ സംസ്ഥാന തിരഞ്ഞെടുപ്പിന് തൊട്ടുമുമ്പ് കടപ്പയിലെ വീട്ടിൽ വച്ച് കൊല്ലപ്പെട്ട നിലയിൽ കണ്ടെത്തിയിരുന്നു.
",uncle,B
"Jonathan David's mum's funeral was made on December 14, 2019, with his uncles, aunties, sister, dad and other relatives in attendance.
",mal_Mlym,"ജോനാഥൻ ഡേവിഡിന്റെ മമ്മിന്റെ ശവസംസ്കാരം 14 ഡിസംബർ 2019 ന് അമ്മാവന്മാർ, അമ്മായിമാർ, സഹോദരി, അച്ഛൻ, മറ്റ് ബന്ധുക്കൾ എന്നിവർ പങ്കെടുത്തു.
",uncle,B
"Just like my uncle.
",mal_Mlym,". എന്റെ ചാച്ചയെ പോലെ തന്നെ.
",uncle,B
"Kamala's uncle Balachandran holds a PhD in Economics and Computer Science from the University of Wisconsin.
",mal_Mlym,"കമലയുടെ അമ്മാവനായ ബാലചന്ദ്രൻ വിസ്കോൻസിൻ യൂണിവേഴ്സിറ്റിയിൽ നിന്ന് ഇക്കണോമിക്സിലും കമ്പ്യൂട്ടർ സയൻസിലും പിഎച്ച്ഡി എടുത്തു.
",uncle,B
"K利20:20 And if a man shall lie with his uncle's wife, he hath uncovered his uncle's nakedness: they shall bear their sin; they shall die childless.
",mal_Mlym,"20: ഒരു പുരുഷൻ ഇളയപ്പന്റെ ഭാര്യയോടുകൂടെ ശയിച്ചാൽ അവൻ ഇളയപ്പന്റെ നഗ്നത അനാവൃതമാക്കി; അവർ തങ്ങളുടെ പാപം വഹിക്കും; അവർ സന്തതിയില്ലാത്തവരായി മരിക്കേണം.
",uncle,B
"LEV 20:20 If a man lies with his uncle's wife, he has uncovered his uncle's nakedness: they shall bear their sin; they shall die childless.
",mal_Mlym,"20: ഒരു പുരുഷൻ ഇളയപ്പന്റെ ഭാര്യയോടുകൂടെ ശയിച്ചാൽ അവൻ ഇളയപ്പന്റെ നഗ്നത അനാവൃതമാക്കി; അവർ തങ്ങളുടെ പാപം വഹിക്കും; അവർ സന്തതിയില്ലാത്തവരായി മരിക്കേണം.
",uncle,B
"Later on he lived with his uncle.
",mal_Mlym,"പിന്നീട് അമ്മാവന്മാരുടെ കൂടെയാണ് ജീവിച്ചത്.
",uncle,B
"Later they joined their uncle St. Boniface and their sister St. Walburga in the work of converting the Germans.
",mal_Mlym,"പിന്നീട് അവർ അവരുടെ അമ്മാവനായ ബോനിഫസും, സഹോദരി വാൾബുർഗും ചേർന്ന് ജെർമ്മൻകാരെ ക്രിസ്തുവിനെ പ്രഘോഷിക്കുന്ന പ്രവർത്തനങ്ങളിൽ സഹായിക്കുവാനായി ഒപ്പം കൂടി.
",uncle,B
"Later, when he joined school, his uncle picked 9 March 1950 as his date of birth.
",mal_Mlym,"സ്കൂളിൽ ചേർക്കുമ്പോൾ അമ്മാവനാണ് 1950 മാർച്ച് 9 എന്ന് ചേർത്തത്.
",uncle,B
"Le:20:20: And if a man shall lie with his uncle's wife, he hath uncovered his uncle's nakedness: they shall bear their sin; they shall die childless.
",mal_Mlym,"20: ഒരു പുരുഷൻ ഇളയപ്പന്റെ ഭാര്യയോടുകൂടെ ശയിച്ചാൽ അവൻ ഇളയപ്പന്റെ നഗ്നത അനാവൃതമാക്കി; അവർ തങ്ങളുടെ പാപം വഹിക്കും; അവർ സന്തതിയില്ലാത്തവരായി മരിക്കേണം.
",uncle,B
"Mary Trump writes that she didn't consider her uncle's run for president severely at to start with.
",mal_Mlym,"തന്റെ അങ്കിൾ യു എസ് പ്രസിഡന്റ് സ്ഥാനത്തിനായി മത്സരിക്കുന്നത് താനൊരിക്കലും കാര്യമായി പരിഗണിച്ചിരുന്നില്ലെന്നും മേരി ട്രംപ് പറയുന്നു.
",uncle,B
"Mathew was Roy's uncle.
",mal_Mlym,"റോയി തോമസിന്റെ അമ്മാവനായിരുന്നു മാത്യു.
",uncle,B
"Mathew was the uncle of Jolly's first husband Roy Thomas.
",mal_Mlym,"ജോളിയുടെ ആദ്യഭർത്താവ് റോയി തോമസിന്റെ അമ്മാവനായിരുന്നു മാത്യു.
",uncle,B
"Me & my uncle lyrics
",mal_Mlym,"ഞാനും എന്റെ അളിയനും കൂടി lyrics
",uncle,B
"Me and my uncle took a little break.
",mal_Mlym,"ഞാനും ആന്റിയും ഒരു ചെറിയ ബ്രേക്ക് എടുത്തു.
",uncle,B
"Me and uncle stayed there.
",mal_Mlym,"അമ്മായിയും ഞാനും അവിടെ തന്നെ നിന്നു.
",uncle,X
"Me: No, uncle, it's not like that.
",mal_Mlym,"ഞാൻ: അയ്യേ. . . അങ്ങനെ ഒന്നും ഇല്ല ആന്റി.
",uncle,X
"Mom and sister went to maternal uncle's house.'
",mal_Mlym,"'ബാപ്പയും ഉമ്മേം മുത്തുടത്തുള്ള അമ്മായിന്റെ വീട്ടിൽ പോയതാ.
",uncle,B
"Mother walked one side of the track and uncle on the other.
",mal_Mlym,"അമ്മ ഒരു വശത്തു കൂടെയും ചെറിയമ്മ മറ്റേ ഭാഗത്തു കൂടെയും ഓടി.
",uncle,B
"Muhammad was eight when his grandfather died, and he was taken into the care of his uncle Abu Talib.
",mal_Mlym,"എട്ടു വയസ്സു വരെ മുത്തച്ചന്റെ സംരക്ഷണയിലും അദ്ദേഹം മരിച്ചതിനു ശേഷം പിതാവിന്റെ സഹോദരനായിരുന്ന അബു താലിബിന്റെ സംരക്ഷണയിലുമായിരുന്നു മുഹമ്മെദ്.
",uncle,B
"Muhammad's wife Khadijah and uncle Abu Talib both died in 619, ...
",mal_Mlym,"619 ൽ മുഹമ്മദിന്റെ ഭാര്യ ഖാദിജ മരിച്ചു, തുടർന്ന് 620 ൽ മുഹമ്മദിന് സംരക്ഷകനും അമ്മാവനായ അബു താലിബിനെയും നഷ്ടപ്പെട്ടു.
",uncle,B
"Mustang (2015) - story of five orphaned teenage Turkish girls who live with their grandmother and uncles.
",mal_Mlym,"Mustang (2015) അമ്മൂമ്മയോടൊപ്പം ജീവിക്കുന്ന അനാഥരായ അഞ്ചു സഹോദരിമാരുടെ കഥയാണ് സിനിമ.
",uncle,X
"My aunt and uncle are watching us.
",mal_Mlym,"കുഞ്ഞമ്മയും അമ്മാവനുമൊക്കെ ഞങ്ങളെ നോക്കുന്നുണ്ട്.
",uncle,B
"My dad and uncle are yoga teachers.
",mal_Mlym,"എന്റെ അപ്പൂപ്പനും പിതാവും യോഗ പരിശീലകരാണ്.
",uncle,B
"My dad and uncle both had played, and loved the game.
",mal_Mlym,"എന്റെ അച്ഛനും അമ്മാവന്മാർക്കും ഒക്കെ ക്രിക്കറ്റിൽ കമ്പോണ്ടായിരുന്നു, അങ്ങനെയാ എനിക്കും കളി ഇഷ്ടായെ.
",uncle,B
"My dad and uncle weren't super close.
",mal_Mlym,"അച്ഛനും അമ്മായിയും തമ്മിൽ അത്ര ചേർച്ചയിൽ ആയിരുന്നില്ല.
",uncle,B
"My distant uncle's wife died five years ago.
",mal_Mlym,"എൻറെ അംഗപരിമിതയായ ഇളയ സ ഹോദരിയുടെ ഭർത്താവ് അഞ്ചുവർഷം മുന്പ് മരിച്ചുപോയി.
",uncle,X
"My father and uncle were killed.
",mal_Mlym,"അമ്മാവനും മകനും കൊല്ലപ്പെട്ടു.
",uncle,M
"My father, and uncle were both alcoholics.
",mal_Mlym,"എന്റെ അപ്പനും അങ്കിളും, രണ്ടും നല്ല കുടിയന്മാരാണ്.
",uncle,X
"My father, my uncle.
",mal_Mlym,"എന്റെ അച്ഛന്റെ, നിന്റെ അമ്മാവന്റെ.
",uncle,B
"My father; my uncle.
",mal_Mlym,"എന്റെ അച്ഛന്റെ, നിന്റെ അമ്മാവന്റെ.
",uncle,B
"My mom and uncle.
",mal_Mlym,"എൻറെ അമ്മയും പിന്നെ എൻറെ uncleum.
",uncle,X
"My mom had two uncles.
",mal_Mlym,"എന്നാൽ രണ്ട് അമ്മാവന്മാരുണ്ടായിരുന്നു അമ്മയ്ക്ക്.
",uncle,B
"My mother and my uncle.
",mal_Mlym,"എൻറെ അമ്മയും പിന്നെ എൻറെ uncleum.
",uncle,X
"My mother spoke to my uncle on the phone.
",mal_Mlym,"ഞാൻ അങ്കിളിനോടു ഫോണിൽ സംസാരിക്കുന്നത് അമ്മ കേൾക്കുന്നുണ്ടായിരുന്നു.
",uncle,X
"My reporter sat in front of me and talked to the boy's uncle from his mobile.
",mal_Mlym,"എന്റെ റിപ്പോർട്ടർ എന്റെ മുന്നിൽ ഇരുന്നു ഇയാളുടെ അമ്മാവനോട് മൊബൈലിൽ സംസാരിച്ചു.
",uncle,X
"My sincere condolences on your uncle's death.
",mal_Mlym,"നിങ്ങളുടെ അമ്മായിയുടെ വിയോഗത്തിൽ എന്റെ ഹൃദയംഗമമായ അനുശോചനം
",uncle,X
"My son's uncle.
",mal_Mlym,"എന്റെ അമ്മാവന്റെ മകനാണ്.
",uncle,X
"My uncle Dave was one.
",mal_Mlym,"'Uncle Dave' അത്തരത്തിലൊന്നായിരുന്നു.
",uncle,X
"My uncle also helped me.
",mal_Mlym,"ആന്റിയും എന്നെ സഹായിച്ചു.
",uncle,X
"My uncle and I almost came at the same time.
",mal_Mlym,"ഒടുക്കം എനിക്കും ചേച്ചിക്കും ഏതാണ്ട് ഒരേ സമയം തന്നെയാണ് വന്നത്.
",uncle,X
"My uncle and his family live there now.
",mal_Mlym,"ഇപ്പോൾ അവിടെ ഇളയ അമ്മാവനും കുടുംബവും താമസിക്കുന്നു.
",uncle,X
"My uncle asked me the same.
",mal_Mlym,"അമ്മാവനും ഇത് തന്നെ ചോദിച്ചു.
",uncle,B
"My uncle asked me.
",mal_Mlym,"അങ്കിൾ എന്നോട് ചോദിച്ചു.
",uncle,X
"My uncle bought the car in 2000.
",mal_Mlym,"എന്റെ മമ്മി ഒരു വണ്ടി വാങ്ങുന്നത് 2000 ലാണ്.
",uncle,X
"My uncle brought me here.
",mal_Mlym,"അമ്മാവനാണ് എന്നെ അങ്ങോട്ട് കൊണ്ടുപോയത്.
",uncle,B
"My uncle called me on a Wednesday morning.
",mal_Mlym,"ഞായറാഴ്ച രാവിലെ അമ്മായി തന്നെ ആണ് എന്നെ ഫോണിൽ വിളിച്ചത് .
",uncle,X
"My uncle came out.
",mal_Mlym,"Uncle പുറത്തോട്ടു വന്നു.
",uncle,X
"My uncle didn't see the game.
",mal_Mlym,"അച്ചൻ കളി കണ്ടിരുന്നില്ല.
",uncle,M
"My uncle died in 2000.
",mal_Mlym,"എന്റെ ഏട്ടൻ മരിക്കുന്നത് 2000ൽ ആണ്.
",uncle,X
"My uncle died instantly.
",mal_Mlym,"എന്റ്റെ അങ്കിൾ അച്ചൻ പെട്ടന്നു മരണപ്പെട്ടു.
",uncle,X
"My uncle died soon after.
",mal_Mlym,"എന്റ്റെ അങ്കിൾ അച്ചൻ പെട്ടന്നു മരണപ്പെട്ടു.
",uncle,X
"My uncle died too.
",mal_Mlym,"അമ്മാവനും മരിച്ചു.
",uncle,B
"My uncle doesn't live near us.
",mal_Mlym,"അച്ചുമ്മാൻ ഞങ്ങളുടെ അടുത്തൊന്നുമല്ല താമസിക്കുന്നത്.
",uncle,B
"My uncle drove the car.
",mal_Mlym,"അമ്മാവനാണ് കാർ ഓടിച്ചിരുന്നത്.
",uncle,B
"My uncle fell and broke his hip last month.
",mal_Mlym,"അപ്പച്ചനാണേൽ കഴിഞ്ഞമാസം പ്ലാവേന്ന് വീണ് നട്ടെല്ലു പൊട്ടിക്കെടക്കുവാ.
",uncle,M
