eng_Latn,hin_Deva
"When the child’s parents returned home, the aunt told them about the incident.
","बच्ची के पिता जब घर आये तो उसने घटना की जानकारी उन्हें दी ।
"
"Freedom fighter, writer, translator, editor. . sister, wife, mother, aunt, grandmother, friend, confidant - you were so many things and more.
","आप एक स्वतंत्रता सेनानी, लेखिका, अनुवादक और संपादक होने के अलावा एक मां, बहन, पत्नी, नानी और दोस्त भी थीं.
"
"The victim and her lawyer were critically injured and two of her aunts were killed in the accident.
","दुर्घटना में पीड़िता और उसका वकील गंभीर रूप से घायल हो गए थे और पीड़िता की दो रिश्तेदारों की मौत हो गई
"
"Both aunts were killed in the accident.
","इस हादसे में दोनों सगी बहनों की मौत हो गई।
"
"His grandmother Vijayraje Scindia was among the founder members of the BJP and his aunts Vasundhara Raje and Yashodhara Raje are also in the party.
","ज्योतिरादित्य सिंधिया की दादी व ग्वालियर की राजमाता विजया राजे सिंधिया जनसंघ की सक्रिय सदस्य होने के साथ-साथ भाजपा की संस्थापकों में शामिल रही थीं।
"
"And my aunts too.
","और मेरी सास भी.
"
"The girl was living with her aunt after her mother’s death.
","किशोरी की मां का निधन होने के बाद वह अपने चाचा के यहां रहती है।
"
"But I understand what your aunt said.
","लेकिन मुझे आपकी बात समझ आ गयी है।
"
"""Lingaram and his aunt have bleak chances of coming out on bail in the near future since the two acts they have been booked under provide unbridled power to the state to linger a trial,"" said Ramesh Varlyani, an advocate here.
","स्थानीय अधिवक्ता रमेश वरलियानी ने कहा, ''लिंगाराम और सोढ़ी के निकट भविष्य में जेल से बाहर आने की सम्भावना न के बराबर है, क्योंकि जिन धाराओं के तहत उनके खिलाफ कार्रवाई की गई है, उनमें से दो धाराएं राज्य सरकार को सुनवाई को लटकाए रखने का निरंकुश अधिकार देती हैं।
"
"“This one is my aunt’s house.
","यह तो मेरे सेठ का ही घर हैं ।
"
"According to police, the girl's aunt and her boyfriend were arrested in this connection.
","पुलिस ने खुलासा करते हुए इस मामले में महिला की बेटी और उसके प्रेमी को गिरफ्तार किया है।
"
"Azmi is sister-in-law to actor Tanvi Azmi, Saiyami’s paternal aunt.
","सैय्यामी खेर अभिनेत्री तन्वी आजमी की भतीजी हैं।
"
"The girl was living with her aunt after her mother’s death.
","मां की मौत के बाद बच्ची ननिहाल में रह रही थी।
"
"Both my mother and aunt loved movies.
","फिल्मों का मुझे और दादा दोनों को शौक रहा है।
"
"According to police, the girl's aunt and her boyfriend were arrested in this connection.
","पुलिस के अनुसार युवती और उसके फ्रेंड को आरोपियों ने घेर लिया था।
"
"Among the accused who have been arrested by the Sringeri police is her aunt who had pushed her into prostitution, a senior police officer told PTI.
","एक वरिष्ठ पुलिस अधिकारी ने बताया कि श्रृंगेरी पुलिस ने जिन आरोपियों को गिरफ्तार किया है, उनमें लड़की की एक रिश्तेदार भी शामिल है, जिसने उसे वेश्यावृत्ति में धकेल दिया था।
"
"A wry smile broke on my aunt's face.
","बहू के मायूस मुंह पर मुस्कुराहट आ गई।
"
"The aunt had no answer.
","दीदी के पास जवाब नहीं था।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","सबा अली खान ने हाल ही में अपनी भतीजी सारा अली खान (Sara Ali Khan) के बचपन की एक तस्वीर शेयर की है, जो खूब वायरल हो रही है.
"
"He lives with his aunt’s family.
","अपने दादाजी के साथ जॉइंट फैमिली में रहता है।
"
"In this picture, Aaradhya is accompanied by parents Aishwarya and Abhishek, grandparents Amitabh Bachchan and Jaya and aunt Shweta.
","इस तस्वीर में अभिषेक ,ऐश्वर्या उनकी बेटी आराध्या और माता पिता अमिताभ और जया तथा बहन श्वेता नंदा दिख रहे हैं ।
"
"Meanwhile, Arhaan's maternal aunt and Malaika's sister Amrita Arora also shared some photographs on Instagram to wish the birthday boy on his special day.
","इस खास मौके पर मलाइका अरोड़ा ने अपने आधिकारिक इंस्टाग्राम पर अपने बेटे की एक तस्वीर शेयर कर उन्हें बर्थडे की शुभकामनाएं दी हैं।
"
"Sonam Kapoor has posted a sweet birthday wish for aunt Maheep Kapoor, who is married to her youngest uncle Sanjay Kapoor.
","मेहंदी के बाद सोनम के चाचा संजय कपूर ने एक पोस्ट शेयर किया था जिसमें वे सोनम की शादी की खुशियां मना रहे थे।
"
"I myself lived in a joint family with my grandparents, parents, uncle, aunt and my cousin.
","मैं अपने मम्मी, पापा और बड़े मम्मी, पापा, अंकल, आंटी और बड़े भैया, भाभी के साथ रहता हूँ.
"
"Actress Soha Ali Khan, who is the paternal aunt of Taimur Ali Khan, says the son of Saif Ali Khan and Kareena Kapoor Khan is very caring towards her daughter Inaaya Naumi Kemmu.
","सैफ अली खान की बहन एक्ट्रेस सोहा अली खान अपने भाई सैफ और भाभी करीना के होने वाले बच्चे को लेकर बहुत उत्साहित हैं।
"
"Your mother, sister, wife, grandmother, aunts, friends.
","तुम्हारी मां, बहन, पत्नी, दादी, आंटी, फ्रेंड्स सभी इसमें शामिल हैं।
"
"Sanjay Kapoor's wife Maheep is also Sonam Kapoor's aunt and Shanaya Kapoor's mother.
","अनिल कपूर की पत्नी सुनीता और संजय कपूर की पत्नी महीप की जेठानी थीं श्रीदेवी।
"
"A case was registered against two accused of involvement in the matter, including the girl's aunt.
","घटित प्रकरण से महिला सहित दो आरोपियों के खिलाफ प्रकरण दर्ज किया गया है।
"
"Then a girl called a woman aunt.
","तभी एक लड़की ने एक महिला काे आंटी जी कह दिया।
"
"In this picture, Aaradhya is accompanied by parents Aishwarya and Abhishek, grandparents Amitabh Bachchan and Jaya and aunt Shweta.
","इस तस्वीर में अभिषेक, ऐश्वर्या उनकी बेटी आराध्या और माता पिता अमिताभ और जया तथा बहन श्वेता नंदा दिख रहे हैं.
"
"The woman’s two aunts were killed in the accident and her family had alleged foul play.
","दुर्घटना में महिला की दो रिश्तेदार मारी गयी और उसके परिवार ने इसमें षड्यंत्र होने के आरोप लगाये थे.
"
"In a first information report (FIR), Darvesh Yadav’s nephew Sunny named Manish Sharma, his wife Vandana and another lawyer Vineet Gulecha for the murder of his aunt.
","दरवेश यादव के भतीजे सनी द्वारा कराई गई एफआईआर के मुताबिक हत्याकांड में मुख्य आरोपी मनीष शर्मा के साथ उसकी पत्नी वंदना और एक अन्य वकील गुलेच्छा विनीत शामिल थे।
"
"Police also has arrested girl’s aunt and her boyfriend.
","पुलिस ने बच्ची की फुफेरी बहन और उसके प्रेमी को भी गिरफ्तार किया है।
"
"Two of her aunts died in the incident.
","घटना में दो जुड़वा बहनों समेत उनके दादा की मौत हो गई।
"
"Meanwhile, Arhaan's maternal aunt and Malaika's sister Amrita Arora also shared some photographs on Instagram to wish the birthday boy on his special day.
","अरहान के बर्थडे की इन फोटो को सोशलमीडिया साइट्स पर भी मलाइका की बहन अमृता ने शेयर किया है.
"
"Meanwhile, Arhaan's maternal aunt and Malaika's sister Amrita Arora also shared some photographs on Instagram to wish the birthday boy on his special day.
","लेकिन इसी बीच अऱबाज खान ने इस वीकेंड पर मलाइका अरोड़ा की बहन अमृता अरोरा को इंस्टाग्राम पर बर्थडे विश किया।
"
"Suresh Raina had reached out to UP CM Yogi Adityanath requesting for an Oxygen Cylinder for his aunt.
","कुछ न बन पाने पर सुरेश रैना ने यूपी सरकार सीएम योगी आदित्यनाथ को ट्वीट कर आंटी के पास ऑक्सीजन सिलेंडर पहुंचाने की गुहार लगाई।
"
"Among them will be his mother, two siblings and an aunt.
","इसमें मां, बहन और दो भांजे शामिल हैं।
"
"Father, mother - uncle, aunt
","मां, पिता, भाई की जुबानी-
"
"The woman’s two aunts were also killed in the accident.
","टीना बाई के दो बकरा बकरी भी इस हादसे में मर गए हैं।
"
"""If he has represented anything personal about my aunt, I would not allow this and would file defamation case, in the event of 'Queen' going ahead without our permission.
","उन्होंने कहा, ""यदि उन्होंने (मेनन ने) अम्मा के निजी जीवन से जुड़ी किसी भी बात को उजागर किया, तो मैं इसकी इजाजत नहीं दूंगा और 'क्वीन' हमारी सहमति के बिना जारी रही तो मैं उनपर मानहानी का केस करूंगा।
"
"His grandmother Vijayraje Scindia was among the founder members of the BJP and his aunts Vasundhara Raje and Yashodhara Raje are also in the party.
","सिंधिया से पहले उनके राजघराने से उनकी दादी राजमाता विजयाराजे सिंधिया भाजपा के संस्थापक सदस्यों में शामिल है।
"
"that includes such relatives as parents, married children and their offspring, aunts, uncles, and cousins.
","जिसमें माता-पिता, भाई-बहिन भतीजे-भतीजी एवं पुत्र-पुत्री आदि होते हैं।
"
"""We will wait for the body to be sent back,"" one of Tasleen's aunts said, adding that a decision would then have to be taken regarding her future.
","तसलीन की आंटी का कहना है कि हम शव वापस भेजे जाने का इंतजार करेंगे, उसके बाद तसलीन के भविष्य पर कोई फैसला लेंगे.
"
"The overspeeding truck had hit the vehicle which had caused the death of two aunts of the victim, while the victim and her lawyer sustained grievous injuries.
","पीड़िता की कार को एक तेज रफ्तार ट्रक ने टक्कर मार दिया था, जिसमें उसके दो रिश्तेदारों की मौत हो गई थी और उनका वकील गंभीर रूप से घायल हो गया था।
"
"The girl did not have parents and was living with her uncle and aunt.
","युवती के मां-बाप नहीं हैं और वह अपने ताऊ के पास ही रहती थी.
"
"The aunt had no answer.
","आभा ने कोई उत्तर नहीं दिया।
"
"All my siblings, an aunt, cousins, nieces, and nephews and some friends were there.
","इसमें भाभी, भतीजी, भाई व भतीजे और दोस्त थे।
"
"Kareena’s aunt Reema Jain and her sons Armaan and Aadar Jain were also present on the occasion.
","रीना के जन्मदिन के मौके पर आमिर खान और रीना के दोनों बच्चे ईरा और जुनैद खान भी मौजूद थे।
"
"Both aunts were killed in the accident.
","इस हादसे में दोनों भाई-बहन की मौत गई थी।
"
"Earlier, a Congress leader and MP candidate had equated PM Modi’s and UP CM Yogi Adityanath’s aunt, mother and sister to stray cattle .
","उससे पहले एक कॉन्ग्रेस नेता ने प्रधानमंत्री मोदी और यूपी के सीएम योगी आदित्यनाथ की माँ, बहन की तुलना आवारा पशुओं से की थी।
"
"Sagar SP Amit Sanghi said the police would make girl’s aunt also an accused in the case over her role in abetment of the crime.
","सागर के एसपी अमित संघी ने कहा कि इस मामले में पुलिस बच्ची की आंटी को भी आरोपी बनाएगी.
"
"I am your aunt.
","मैं तुम्हारा पूत्र हूं।
"
"After her mother died, she went to live with her aunt.
","माता-पिता का देहांत होने के बाद ये मामा के पास रहने चला गया था।
"
"'Pishi' is the Bengali word used for paternal aunt.
","' 'पिशी' बंगाली शब्द है जिसका इस्तेमाल पितृपक्ष के लिए किया जाता है.
"
"The girl was living with her aunt after her mother’s death.
","माता के निधन के बाद वह अपनी दादी के पास रहते थे।
"
"He stayed there a short time with his brother-in-law Conradi and sister Emilie and then made a detour to Frankfurt to see his aunt, his father’s sister.
","वहां वे अपनी बहन एमिली और बहनोई कोच्रादी के साथ ठहरे और फिर अपनी बूमभा से मिलने फ्रैकफ़र्त गए।
"
"According to statement, my (another man) father’s sister means another man’s aunt and he(man) is the son of another man’s aunt mean man is the cousin of another man.
","औरत के कथनानुसार, इसके (पुरुष के) भाई का पिताजी यानी पुरुष का पिताजी मेरे दादाजी का इकलौता पुत्र है, यानी कि पुरुष का पिता ही औरत के भी पिता हैं।
"
"The girl was living with her aunt after her mother’s death.
","मां की मौत के बाद नानी के पास रहती थी बच्ची
"
"Angelina Jolie's aunt dies from breast cancer
","जोली की आंटी की ब्रेस्ट कैंसर से मौत
"
"Close relatives mean the patient’s father, mother, siblings, uncle, aunt.
","नजदीकी रिश्तेदार का मतलब पिता, माता, भाई, बहन, दादा, दादी, पोता और पोती से है।
"
"It comprises a mother, a father and an aunt.
","इसमें पिता, पुत्र और पौत्र शामिल हैं।
"
"Parents, siblings, uncle (paternal), aunt (paternal), uncle (maternal) and husband-wife have been defined as close relatives.
","करीबी रिश्तेदारों में माता-पिता, पति या पत्नी, भाई-बहन, पति या पत्नी के भाई-बहन आदि गिने जाते हैं।
"
"Congratulations to the new Mom & Dad, and new Grandma and Grandpa, and the aunts!
","मम्मी, पापा, दादा-दादी, नाना-नानी को मैरी क्रिसमस और हैप्पी न्यू ईयर!
"
"A HUGE THANK YOU to my parents, brother, sister in-law and aunt for their helping hands!!
","मेरी बहन, पिता और दोस्‍तों ने को धन्‍यवाद जिन्‍होंने मेरा खूब साथ दिया।
"
"Her aunt is seriously injured.
","दादी गंभीर घायल हैं।
"
"After all I am his aunt.
","आखिर मैं तो उनकी बिटिया ही हूं।
"
"The girl has been sent to her aunt’s house.
","युवती को उसके चाचा के साथ घर भेज दिया है।
"
"He was accompanied by his entire family including parents Dilip and Vasu, his younger brother and sister, grandparents, uncles and aunts and a retinue of little cousins.
","उनके माता-पिता दिलीप और वासु, छोटे भाई-बहन, दादा-दादी और कुछ रिश्तेदार भी थे.
"
"Raj Kapoor's wife Krishna Raj Kapoor, cousins Karisma, Kareena, aunt Neetu Singh and uncles Rishi, Randhir and Rajiv Kapoor along with Armaan's parents came over at the music launch concert of the film to show support.
","म्यूजिक लॉन्चिंग इवेंट में कपूर फैमिली से अरमान के अंकल ऋषि कपूर, रणधीर कपूर, राजीव कपूर, आंटी नीतू सिंह, कजिन सिस्टर करिश्मा कपूर भी शामिल हुई थीं।
"
"And my mom is there, my dad, my aunt, my uncle, my sister.
","और मेरे घर में मेरे सिवा, मेरे मम्मी, पापा, दादी, भाभी और भैया है.
"
"Mahrams include parents, brothers, sisters, grandparents, uncles, aunts, nephews and nieces.
","मृतकों में दादा, पौती, पौत्र, पुत्रवधू, भतीजी, भाई व मां-बेटी शामिल हैं।
"
"Three children and their aunt died.
","तीन मजूदर और बालक चोटिल हो गये।
"
"The brother of the victim, her mother and aunt also reached the spot.
","पीड़िता की बहन भाई और मां भी पहुंचीं
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","इस खास मौके पर एक्ट्रेस सारा अली खान ( Sara Ali Khan ) ने अपनी बचपन की एक क्यूट तस्वीर शेयर की।
"
"“The patient’s two maternal aunts were also diagnosed with Androgen Insensitivity Syndrome in the past,” the oncologist said.
","' ऑन्कोलॉजिस्ट ने कहा कि मरीज की दो मौसियों को भी अतीत में एंड्रोजन असंवेदनशीलता सिंड्रोम का पता चला था.
"
"My mother, my father, my uncles and aunts, everyone in the family was in hatting.
","मेरी माँ, मेरे दादा, मेरी दादी, मेरे आंटी, अंकल, चचेरे भाई-बहन पूरा परिवार रजानीति में था।
"
"Two of her aunts died in the incident.
","इसमें दबकर दो बहनों की मौत हो गयी।
"
"These include brothers, sisters, nephews, uncles, aunts.
","इनमें उनकी मां, भाई, भाभी और भतीजी शामिल हैं।
"
"Her aunt is seriously injured.
","बहू गंभीर रूप से जख्‍मी है।
"
"The new rules do not consider grandparents, grandchildren, aunts, uncles, nieces, nephews, cousins, brothers-laws and sisters-in-law, fiancees or other extended family members to be close relationships, the news agency reported.
","नई गाइडलाइन के मुताबिक ग्रैंडपेरेंट्स, ग्रैंड चिल्ड्रेन, आंटी, अंकल, भतीजा-भतीजी, चचेरे भाई-बहन, साला-साली, मंगेतर और दूसरे फैमिली मेंबर्स को नजदीकी रिश्तेदार में शामिल नहीं किया गया है.
"
"ALL of my family lives here – mom, dad, sister, aunts, uncles, grandparents – you name it, they’re here.
","मेरा परिवार, माँ, पिता, दादी सभी यहीं रहते हैं।
"
"In the purported audio clip, the girl tells her aunt that on one occasion her father took her in his car on the pretext of buying her a mobile phone and raped her.
","ऑडियो क्लिप में कथित तौर पर सुनाई दे रहा है कि लड़की अपनी महिला रिश्तेदार को बताती है कि पिता मोबाइल फोन खरीदने का बहाना कर उसे कार से ले गया और उसके साथ दुष्कर्म किया.
"
"A son or daughter, a cousin, an aunt, uncle, or parent.
","किसी का पिता, किसी का दादा, किसी का भाई, माँ, काकी या बहन।
"
"A family member is a parent, grandparent, sibling, aunt or uncle.
","किसी के लिए भाई, बहन, भतीजा, चाचा और पिता ही परिवार हैं.
"
"As well as my aunt (Mom’s sister) and uncle.
","मेरी मां और भाई भी।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","सबा अली खान ने कई बार अपनी भतीजी और एक्ट्रेस सारा अली खान (Sara Ali Khan) के बचपन की तस्वीरें शेयर की हैं.
"
"The couple got married at Sonam's aunt Kavita Singh's bungalow, Rockdale, in Bandra, Mumbai while the Sangeet ceremony was held at Sonam's Sunteck Island Apartment.
","सोनम कपूर की शादी उनकी मासी कविता कपूर के घर बैंड स्टैंड बांद्रा स्थित बंगले सनटेक सिग्नेचर आइलैंड में हुई है।
"
"In Kolhapur, Parth’s maternal aunt Vijaya Patil, said, “Parth is a sensitive young man but I am sure he will forget everything.
","कोल्हापुर में पार्थ के मामा विजया पाटिल ने कहा, “पार्थ एक संवेदनशील युवक है, लेकिन मुझे यकीन है कि वह सब कुछ भूल जाएगा।
"
"And my aunt as well.
","और मेरी सास भी.
"
"The girl has been sent to her aunt’s house.
","लड़की अपने मामा के घर गई हुई है।
"
"“My mother, aunt and my cousin sister were also there with me.
","मेरी बहन, मृत्युंजय की मां ओर मेरी भोजाई भी साथ गयीं ।
"
"Former president Asif Ali Zardari, chairman of the Pakistan People’s Party Bilawal Bhutto-Zardari, his aunt Faryal Talpur, former chief minister Qaim Ali Shah, provincial minister Anwar Siyal and others are among as many as 172 accused in the fake accounts case.
","फर्जी खाता मामले में संयुक्त जांच दल की ओर से तैयार सूची में पाकिस्तान पीपुल्स पार्टी के अध्यक्ष बिलावल भुट्टो तथा पीपीपी के सह अध्यक्ष आशिफ अली जरदारी तथा सिंध के मुख्यमंत्री कइम अली शाह और समाज के विभिन्न वर्गाें के शीर्ष लाेगों समेत 172 लोगों के नाम शामिल हैं जिनके विदेश दौरों पर पाबंदी लगा दी गई है।
"
"The aunt had no answer.
","चडढा ने कोई जवाब नहीं दिया।
"
"I desire you to write a letter to your aunt.
","में चाहता हूँ कि तुम पूतमचाद राकाको पत्र लिखो।
"
"Danny’s aunt lives there.
","वहां डेनियल की मां रहती हैं।
"
"Jang Song Thaek was married to Kim Jong Un's aunt, Kim Kyong-hui, the younger sister of his father Kim Jong Il.
","चांग की शादी किम जोंग के पिता की बहन से हुई थी।
"
"In Tamil ‘chithi’ means aunt.
","मराठी में 'चिंच' का मतलब 'इमली' होता है।
"
"In this picture, Aaradhya is accompanied by parents Aishwarya and Abhishek, grandparents Amitabh Bachchan and Jaya and aunt Shweta.
","इस तस्वीर में अभिषेक, ऐश्वर्या और आराध्या के साथ अमिताभ बच्चन भी है।
"
"After the girl’s parents got wind of the incident, the aunt lodged a complaint with the police.
","घटना की जानकारी मिलने के बाद बच्ची के माता-पिता ने पुलिस से मामले की शिकायत दर्ज कराई।
"
"As are my father, my aunt, and my brother.
","जैसे मेरे पड़दादा, दादा जी और पिता जी ने किया.
"
"His grandmother Vijayraje Scindia was among the founder members of the BJP and his aunts Vasundhara Raje and Yashodhara Raje are also in the party.
","उनकी दादी विजयाराजे सिंधिया तो जनसंघ की नेता रहने के साथ ही भाजपा की संस्थापक सदस्य भी थीं।
"
"After the merger, it was announced that steps would be taken to expel jailed AIADMK general secretary and Mr Dhinakaran's aunt VK Sasikala from the party.
","विलय के बाद घोषणा की गई थी कि जेल गईं अन्नाद्रमुक की महासचिव और दिनाकरण की रिश्तेदार वी.के. शशिकला को पार्टी से निकालने के लिए कदम उठाए जाएंगे।
"
"He was accompanied by wife Madhavi, parents Chandrasekhar and Bhagyalakshmi and uncle Shivaswamy and aunt Usha.
","पति पावस चौधरी, बेटी मानविका और सास शैल चौधरी भी उनका सहयोग करती हैं।
"
"But “close family” does not include grandparents, grandchildren, aunts, uncles, nieces, nephews, cousins, brothers-in-laws and sisters-in-law, fiances and any other “extended” family members, the guidelines say.
","इसके अनुसार, ग्रैंडपेरेंट्स, ग्रैंड चिल्ड्रेन, आंटी, अंकल, भतीजा-भतीजी, चचेरे भाई-बहन, साला-साली, मंगेतर और दूसरे पारिवारिक सदस्‍य को को करीबी रिश्तेदार में शामिल नहीं किया गया है।
"
"Accompanying me were my mother, and aunt and uncle.
","मेरे साथ मैं, मेरी मां और मेरा भाई था।
"
"Two of the victim’s aunts were killed, while she and her lawyer were critically injured in the accident.
","हादसे में दो महिलाओं की जान चली गई, जबकि रेप पीड़िता और वकील बुरी तरह जख्मी हुए थे।
"
"Karisma Kapoor shared an intimate family picture with Rishi Kapoor, aunt Neetu Kapoor and sister Kareena Kapoor on Instagram.
","आपको बता दें कि बहू नीतू के अलावा पोती करीना कपूर, करिश्मा कपूर और रिद्धिमा कपूर ने भी दादा राज कपूर को याद इंस्टाग्राम पर फोटोज शेयर की।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","इसी सिलसिले में बॉलीवुड अभिनेत्री सारा अली खान (Sara Ali Khan) ने सोशल मीडिया पर एक पुरानी तस्वीर को साझा करते हुए अपनी नानी मां को शुक्रिया कहा है.
"
"Bollywood actor Sonam Kapoor got married to her boyfriend Anand Ahuja at a fun-filled wedding at her aunt's house in Mumbai.
","बॉलीवुड अभिनेत्री सोनम कपूर ने अपने बॉयफ्रेंड आंनद आहूजा के साथ शादी कर अपना घर बसा लिया है.
"
"Nikhil Bhambri is in complete awe of his aunt Nikki Walia, the renowned TV actress who is known for her lead role in ‘Astitva – Ek Prem Kahani’.
","निखिल भांबरी अपनी आंटी निक्की वालिया से पूरी तरह से प्रभावित हैं, जो कि प्रसिद्ध टीवी अभिनेत्री हैं, जिन्हें 'अस्तित्व - एक प्रेम कहानी' में उनकी मुख्य भूमिका के लिए जाना जाता है।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","सारा अली खान ने सोशल मीडिया पर अपनी बचपन की फोटो शेयर की है।
"
"As Sara Ali Khan turned 26 today (August 12), her aunt Saba Ali Khan is leaving no stone unturned to make her feel special.
","सारा अली खान आज (12 अगस्त को) अपना 26वां बर्थडे सेलिब्रेट कर रही हैं।
"
"I'd also like to thank my grandparents, aunts, uncles and cousins for the constant love and support.
","में अपने माता-पिता एव भइया-भाभी तथा बहनो का भी आभारी हूँ, जिनका आशीवाद और स्नेह हमेशा भेरे साथ रहा।
"
"It comprises a mother, a father and an aunt.
","जिसमे मां, बेटी और बेटा शामिल है.
"
"Sachin Tendulkar shared throwback pictures of his mother and aunt saying, ""Mothers are the ones who pray for you no matter how old you get.
","सचिन ने अपनी मां और आंटी की पुरानी तस्वीर पोस्ट कर कहा, ""मां वो है जो आपके लिए हमेशा प्रार्थन करती है।
"
"""Among others, Sara's aunt Saba Ali Khan commented on the post and wrote: """"Mashallah.""""""
","""दूसरों के बीच, सारा की आंटी सबा अली खान ने पोस्ट पर टिप्पणी की और लिखा: """"माशाल्लाह""""""
"
"Hazrat Zainab (God is well-pleaszd with her) is the daughter of Umaima bint Abdul Muttalib and ‘the cousin of the Holy Prophet (daughter of the fraternal aunt of the Holy Prophet).
","हज़रत जैनब (रज़ि.) उम्मुल मोमिनीन हज़रत उम्मे सलमा (रज़ि.) की बेटी हैं।
"
"Priyanka Chopra once hid her boyfriend in her closet, aunt complained to her mother
","प्रियंका चोपड़ा ने अलमारी में छुपाया अपना बॉयफ्रेंड, जब आंटी ने पकड़ा तो मच गया हंगामा
"
"My father, mother, uncle, aunt, my elder sister.
","बाबा, बापू, चाचा, दीदी, भैया, अन्ना ।
"
"“I live with my aunt’s family.
","‘‘मैं भी अपने मम्मीपापा के साथ रहती हूं.
"
"The woman’s two aunts were killed in the accident and her family had alleged foul play.
","दुर्घटना में महिला की दो रिश्तेदार मारी गईं और उसके परिवार ने इसमें षड्यंत्र होने के आरोप लगाए थे.
"
"The aunt had no answer.
","आंटी के पास कोई जवाब नहीं था.
"
"The victim’s mother and aunt were also called to the spot later in the day.
","बाद में पीड़िता के नाना एवं नानी को मौके पर बुलाया गया।
"
"“I went to meet Kailash with my aunt.
","मैं अपनी आंटी के साथ कैलाश से मिलने पहुंचा.
"
"Freedom fighter, writer, translator, editor. . sister, wife, mother, aunt, grandmother, friend, confidant - you were so many things and more.
","स्वतंत्रता सेनानी, लेखिका, अनुवादक, संपादक... बहन, पत्नी, मां, अंटी, नानी, दोस्त और विश्वासपात्र- आप इनके अलावा कई बहुत अच्छी चीजों से बनी थीं।
"
"The brother of the victim, her mother and aunt also reached the spot.
","मृतका की मां और भाई मौके पर पहुंचे।
"
"Youth charged with killing aunt
","भाभी को जलाकर मारने के दोषी युवक को उम्रकैद
"
"Ranveer is the son of Sonam’s aunt.
","रणवीर सोनम की मासी के बेटे हैं।
"
"It comprises a mother, a father and an aunt.
","इसमें माता-पिता, भाई-बहन, पुत्र-पुत्री शामिल हैं।
"
"The boy’s aunt lives in Canada.
","बेटी शबनम कनाडा में रहती है।
"
"I am your aunt.
","मैं आपका पूत्र हूँ।
"
"Anderson lives with his aunt and grandparents.
","एंडरसन अपनी आंटी और अंकल के साथ यहां रहता था.
"
"She is the niece of veteran and accomplished actor Shabana Azmi and Baba Azmi and Tanvi Azmi is her uncle and aunt.
","वह दिग्गज एक्ट्रेस शबाना आजमी और बाबा आजमी की भतीजी हैं।
"
"The aunt had no answer.
","भाभीने कुछ उत्तर नहीं दिया।
"
"His father and aunt, too, had contracted the infection.
","पिता के कारण ही उनकी मां और भाई को भी संक्रमण हो गया था।
"
"Boney Kapoor and Sanjay Kapoor are her father Anil Kapoor’s bothers, and Sridevi is her aunt.
","अनिल कपूर अगर बोनी और संजय कपूर के भाई है तो वह श्रीदेवी के देवर हैं।
"
"""My entry into politics can't be stopped,"" Deepa Jayakumar had said just weeks after her aunt Jayalalithaa's death
","जयललिता की मृत्यु के हफ्तों बाद अपने घर पर जमा हुए समर्थकों से दीपा जयकुमार ने कहा, 'राजनीति में मेरी एंट्री को रोका नहीं जा सकता।
"
"The aunt had no answer.
","ऊँट ने कोई उत्तर नहीं दिया।
"
"Mithlesh Verma's nephew Shiv Pratap, also a civil engineering student, said he saw his aunt lying in a pool of blood on the floor while his cousin Neha was lying on the bed with multiple stab injuries.
","मिथलेश वर्मा के रिश्तेदार शिव प्रताप ने कहा कि उसने अपनी आंटी को जमीन पर खून से लथपथ पाया वहीं नेहा बेड पर थी जिसके शरीर पर चाकुओं के निशान थे।
"
"I myself lived in a joint family with my grandparents, parents, uncle, aunt and my cousin.
","मैं, मेरे पिता, बहन, भांजी, भांजा व बहनोई की बहन साथ में थी।
"
"The aunt had no answer.
","इसका बंटी ने कोई जवाब नहीं दिया.
"
"The aunt had no answer.
","दूली ने कुछ जवाब नहीं दिया।
"
"Bollywood actor Shakti Kapoor is her father and Padmini Kolhapure her aunt.
","बॉलीवुड एक्टर शक्ति कपूर उनके पिता हैं और एक्ट्रेस व सिंगर शिवांगी कपूर उनकी मां हैं.
"
"A sister, a daughter, an aunt.
","नानी, बेटी और नातिन.
"
"A few days later he returned to his aunt.
","कुछ दिन बाद वह वापस मां के पास आ गई।
"
"At the time of incident, only her aunt was present at home.
","घटना के वक्त घर पर सिर्फ उनकी बहू ही मौजूद थीं।
"
"The girl lived with his uncle, aunt and grandparents.
","बच्ची मां-बाप व भाई-बहनों समेत झुग्गी में रहती थी।
"
"Ali(AS) had with him his mother Fatima binte Asad, His aunt, the wife of Hamza, and Fatima, the daughter of Muhammad(SA) and many other ladies.
","'अली फिर मदीना के पास फातिमाह बिन असद (उनकी मां), फातिमा बिन मुहम्मद (मुहम्मद की बेटी) और दो अन्य महिलाओं के साथ गईं।
"
