eng_Latn,mal_Mlym
"He was Charles Darwin's half cousin.
","ഇദ്ദേഹം ചാൾസ് ഡാർവിെൻറ അർധ സഹോദരനായിരുന്നു.
"
"He was Umar's cousin.
","ഉമറിന്റെ പിതാവിന്റെ അമ്മാവൻ ആയിരുന്നു അത്.
"
"He was a cousin of Charles Darwin.
","ഇദ്ദേഹം ചാൾസ് ഡാർവിെൻറ അർധ സഹോദരനായിരുന്നു.
"
"He was a cousin of Confederate States of America President Jefferson Davis.
","കോൺഫെഡറേറ്റ് സ്റ്റേറ്റ്സ് ഓഫ് അമേരിക്കയുടെ പ്രസിഡണ്ടായിരുന്നു, ജെഫേർസൺ ഡേവിസ്.
"
"He was also related by law to German political theorist and philosopher Hannah Arendt through her first marriage to Benjamin's cousin, Günther Anders.
","ജർമ്മൻ പൊളിറ്റിക്കൽ സൈദ്ധാന്തികനും തത്ത്വചിന്തകനുമായ ഹന്ന അറൻഡെറ്റിനും അദ്ദേഹത്തിന്റെ ആദ്യവിവാഹമായ ബെൻജമിന്റെ കസിൻ ഗുണ്ടെർ ആണ്ടേറസിനുമായി നിയമം വഴി അദ്ദേഹം ബന്ധപ്പെട്ടിരുന്നു.
"
"He was also related by law to German political theorist and philosopher Hannah Arendt through her first marriage to Benjamin's cousin, Günther Anders. (en)
","ജർമ്മൻ പൊളിറ്റിക്കൽ സൈദ്ധാന്തികനും തത്ത്വചിന്തകനുമായ ഹന്ന അറൻഡെറ്റിനും അദ്ദേഹത്തിന്റെ ആദ്യവിവാഹമായ ബെൻജമിന്റെ കസിൻ ഗുണ്ടെർ ആണ്ടേറസിനുമായി നിയമം വഴി അദ്ദേഹം ബന്ധപ്പെട്ടിരുന്നു.
"
"He was also related to German political theorist and philosopher Hannah Arendt through her first marriage to Benjamin's cousin Günther Anders.
","ജർമ്മൻ പൊളിറ്റിക്കൽ സൈദ്ധാന്തികനും തത്ത്വചിന്തകനുമായ ഹന്ന അറൻഡെറ്റിനും അദ്ദേഹത്തിന്റെ ആദ്യവിവാഹമായ ബെൻജമിന്റെ കസിൻ ഗുണ്ടെർ ആണ്ടേറസിനുമായി നിയമം വഴി അദ്ദേഹം ബന്ധപ്പെട്ടിരുന്നു.
"
"He was one of Muhammad's cousin
","അയാൾ മുഹമ്മദിന്റെ കാലിലൊന്ന്
"
"He wrote it for his cousins.
","ഇത് അദ്ദേഹം തന്റെ സഹോദരങ്ങൾക്കായി എഴുതിയതായി രേഖപ്പെടുത്തിയിരിക്കുന്നു.
"
"He's not richer than his cousin.
","അവന്റെ അമ്മാവനോളം ധനികൻ അല്ല താൻ.
"
"Her cousin gave it to her.
","അവളുടെ ഒരു കസിൻ ആണ് അവൾക്കു അത് കൊടുത്തിരുന്നത്.
"
"Her cousin's an asshole.
","അവളുടെ കെട്ടിയോൻ ഒരു തെണ്ടിയാണല്ലോ.
"
"Her death came two days after she sent messages to her cousin telling him that her husband had brutally beaten her many times over a car that was given as part of her dowry.
","സ്ത്രീധനത്തിന്റെ ഭാഗമായി നൽകിയ കാറിന്റെ പേരിൽ ഭർത്താവ് തന്നെ പലതവണ മർദ്ദിച്ചതായി അറിയിച്ചുകൊണ്ട് കസിൻ സന്ദേശമയച്ചതിന് രണ്ട് ദിവസത്തിന് ശേഷമാണ് അവളുടെ മരണം സംഭവിച്ചത്.
"
"Her father was a first cousin of Salvador Allende, President of Chile from 1970 to 1973.
","1970 മുതൽ 1973 വരെ ചിലി പ്രസിഡന്റ് സാൽവഡോർ അലൻഡെയുടെ ആദ്യ കസിൻ ആയിരുന്നു അവരുടെ പിതാവ്.
"
"Her father was first cousin to Salvador Allende, President of Chile from 1970 to 1973.
","1970 മുതൽ 1973 വരെ ചിലി പ്രസിഡന്റ് സാൽവഡോർ അലൻഡെയുടെ ആദ്യ കസിൻ ആയിരുന്നു അവരുടെ പിതാവ്.
"
"Her father was the first cousin of Salvador Allende President of Chile from 1970 to 1973.
","1970 മുതൽ 1973 വരെ ചിലി പ്രസിഡന്റ് സാൽവഡോർ അലൻഡെയുടെ ആദ്യ കസിൻ ആയിരുന്നു അവരുടെ പിതാവ്.
"
"Her father was the first cousin of Salvador Allende, President of Chile between 1970 and 1973.
","1970 മുതൽ 1973 വരെ ചിലി പ്രസിഡന്റ് സാൽവഡോർ അലൻഡെയുടെ ആദ്യ കസിൻ ആയിരുന്നു അവരുടെ പിതാവ്.
"
"Her father's first cousin was Salvador Allende, Chile's president between 1970 and 1973.
","1970 മുതൽ 1973 വരെ ചിലി പ്രസിഡന്റ് സാൽവഡോർ അലൻഡെയുടെ ആദ്യ കസിൻ ആയിരുന്നു അവരുടെ പിതാവ്.
"
"Her grandfather was a first cousin of Salvador Allende, President of Chile from 1970 to 1973.
","1970 മുതൽ 1973 വരെ ചിലി പ്രസിഡന്റ് സാൽവഡോർ അലൻഡെയുടെ ആദ്യ കസിൻ ആയിരുന്നു അവരുടെ പിതാവ്.
"
"His 12-year-old cousin was also with him.
","ഒപ്പം 12 വയസ്സുകാരനായ മകനും അയാളുടെ കൂടെ ഉണ്ടായിരുന്നു.
"
"His aunt and two female cousins were killed in the blast.
","അവരുടെ അമ്മാമനും രണ്ടു മച്ചൂനിച്ചികളും ബോംബാക്രമണത്തിൽ കൊല്ലപ്പെട്ടിരുന്നു.
"
"His cousin Abhay Deol is also an actor.
","അദ്ദേഹത്തിന്റെ അനന്തരവൻ അഭയ് ഡിയോളും ഒരു നടനാണ്.
"
"His cousin Aditya Srivastava was also injured in the attack.
","ആക്രമണത്തിൽ അദ്ദേഹത്തിന്റെ സഹോദരൻ ആദിത്യ ശ്രീവാസ്തവയ്ക്കും പരിക്കേറ്റിരുന്നു.
"
"His cousin Diego de Alvarado established the village of San Salvador in April 1525.
","പെട്രോ ഡി അൽവരാദൊ സഹോദരൻ ദീഗോ ഡി അൽവരാദോ 1525-ൽ കുസ്കത്ലാനു സമീപത്തായി സാൻ സാൽവഡൊർ പട്ടണം സ്ഥാപിച്ചു.
"
"His cousin Rami Makhlouf is the richest man in Syria.
","ബശ്ശാറിന്റെ അമ്മാവന്റെ മകൻ റാമി മഖ്ലൂഫ് സിറിയയിലെ ഏറ്റവും വലിയ സമ്പന്നനാണ്.
"
"His cousin is studying in Germany.
",". അവന്റെ ചേട്ടനും ജർമ്മനിയിൽ തന്നെ പഠിക്കുന്നു.
"
"His cousin is the same age.
","അമ്മാവന്റെ മോളാണ് തന്റെ അതേ പ്രായം.
"
"His cousins were football players.
","സഹോദരന്മാർ ഫുട്ബോൾ താരങ്ങളായിരുന്നു.
"
"His first cousin.
","തന്റെ ഫസ്റ്റ് കസിൻ.
"
"His older brother and cousin were soldiers.
","ഇദ്ദേഹത്തിന്റെ മൂത്ത സഹോദരനും സഹോദരീ ഭർത്താവും സൈനികരാണ്.
"
"His younger brother Rodrigo (best known as Digao) and cousin Eduardo Delani are also professional footballers.
","അദ്ദേഹത്തിന്റെ ഇളയ സഹോദരൻ റോഡ്രിഗോ (ഡിഗാവോ എന്ന് അറിയപ്പെടുന്നു), കസിൻ എഡാർഡോ ഡെലാനി എന്നിവരും പ്രൊഫഷണൽ ഫുട്ബോൾ താരങ്ങളാണ്.
"
"His younger brother Rodrigo (best known as Digão) and cousin Eduardo Delani are also professional footballers.
","അദ്ദേഹത്തിന്റെ ഇളയ സഹോദരൻ റോഡ്രിഗോ (ഡിഗാവോ എന്ന് അറിയപ്പെടുന്നു), കസിൻ എഡാർഡോ ഡെലാനി എന്നിവരും പ്രൊഫഷണൽ ഫുട്ബോൾ താരങ്ങളാണ്.
"
"His younger brother Rodrigo (known as Digão) and cousin Eduardo Delani are also professional footballers.
","അദ്ദേഹത്തിന്റെ ഇളയ സഹോദരൻ റോഡ്രിഗോ (ഡിഗാവോ എന്ന് അറിയപ്പെടുന്നു), കസിൻ എഡാർഡോ ഡെലാനി എന്നിവരും പ്രൊഫഷണൽ ഫുട്ബോൾ താരങ്ങളാണ്.
"
"His younger brother, Digão, and cousin, Eduardo Delani, were also professional footballers.
","അദ്ദേഹത്തിന്റെ ഇളയ സഹോദരൻ റോഡ്രിഗോ (ഡിഗാവോ എന്ന് അറിയപ്പെടുന്നു), കസിൻ എഡാർഡോ ഡെലാനി എന്നിവരും പ്രൊഫഷണൽ ഫുട്ബോൾ താരങ്ങളാണ്.
"
"Home theatre-in-a-box systems have a tendency to cut corners on speaker construction and quality, when compared to their separate unit cousins.
","ഹോം തീയേറ്റർ-ഇൻ-ബോക്സ് സിസ്റ്റങ്ങൾക്ക് സ്പീക്കർ നിർമ്മാണത്തിലും നിലവാരത്തിലും അവരുടെ പ്രത്യേക യൂണിറ്റ് കസിൻസുമായി താരതമ്യം ചെയ്യുമ്പോൾ കോർണറുകളെ കുറയ്ക്കാനുള്ള പ്രവണതയുണ്ട്.
"
"However, Khan's cousin, Khair Mohammad, said the cleric was a member of Tehrik-e-Taliban Pakistan.
","അതേസമയം, കൊല്ലപ്പെട്ട പണ്ഡിതൻ പാകിസ്ഥാനി താലിബാനായ തെഹ്രിക്-ഇ-താലിബാൻ അംഗമായിരുന്നുവെന്ന് ഖാന്റെ കസിൻ സഹോദരൻ ഖൈർ മൊഹമ്മദ് പറഞ്ഞു.
"
"Humayun Abdulali - (May 19, 1914 in Kobe, Japan June 3, 2001 in Mumbai) was an Indian ornithologist, and a cousin of Salim Ali.
","ഹുമയൂൺ അബ്ദുലലി (May 19, 1914 Kobe, Japan - June 3, 2001 Mumbai [1]) ഇന്ത്യക്കാരനായ പക്ഷിശാസ്ത്രജ്ഞനും ജീവശാസ്ത്രജ്ഞനും ആയിരുന്നു.
"
"Hütz arrived in the U.S. state of Vermont in 1992 as a political refugee through a resettlement program with his mother, father and cousin Yosef.
","പുനരധിവാസ പരിപാടിയിലൂടെ ഹട്ട്സ് തന്റെ അമ്മ, അച്ഛൻ, കസിൻ യോസെഫ് എന്നിവരോടൊപ്പം ഒരു രാഷ്ട്രീയ അഭയാർത്ഥിയായി 1992 ൽ യുഎസ് സംസ്ഥാനമായ വെർമോണ്ടിലെത്തി.
"
"I also grew up hearing such comparisons, and as a child I was often compared to my skinny cousins.
","അത്തരം താരതമ്യങ്ങൾ കേട്ടാണ് ഞാനും വളർന്നത്, മെലിഞ്ഞിരിക്കുന്ന എന്റെ കസിൻസുമായി എന്നെ താരതമ്യം ചെയ്യാറുണ്ടായിരുന്നു കുട്ടിക്കാലത്ത്.
"
"I am so glad to have this picture of my cousin.
","എന്റെ കുസൃതിക്കുടുക്കേ ആ ഫോട്ടോ കാണുമ്പോളൊരു സന്തോഷംണ്ട് എനിക്ക്.
"
"I am staying in my third cousin's house.
","വെക്കേഷന് ഞാൻ എന്റെ മൂന്നാമത്തെ മാമന്റെ വീട്ടിലാണ് ഇപ്രാവശ്യം നിൽക്കുന്നത്.
"
"I don't go to many movies with my cousin.
","എന്റെ അമ്മാമയുമായി അധികം സിനിമകൾ ഒന്നും കാണാൻ പോയിട്ടില്ല.
"
"I had been suggested this blog by my cousin.
","എന്റെ കസിൻ ആണ് ഞാൻ ഈ ബ്ലോഗ് ശുപാർശ ചെയ്തത്.
"
"I had many cousins.
","എനിക്ക് കുറെ മാമന്മാർ ഉണ്ടായിരുന്നു.
"
"I hate my cousin.
","എന്റെ അൻപതിനേ ഞാൻ വെറുക്കുന്നു.
"
"I have a cousin that's only 2 years older than me.
","ഒരു ഏട്ടൻ ഉണ്ട് എന്നെക്കാൾ രണ്ടു വയസ്സു മാത്രം മൂപ്പുള്ളവൻ.
"
"I haven't spoken with my cousin much.
","ആദ്യമൊന്നും ചേച്ചിയോട് ഞാൻ അധികമൊന്നും സംസാരക്കാറില്ലയിരുന്നു.
"
"I liked the description of the cousin's.
","ചേട്ടന്റെ വിവരനശൈലി എനിക്ക് നന്നായി ഇഷ്ടപ്പെട്ടു.
"
"I looked at my cousin.
","ഞാൻ എന്റെ കസിൻസിനെ നോക്കി.
"
"I love all three of my cousins.
","എനിക്കെന്റെ സഹോദരിമാർ മൂന്നുപേരുടെയും സ്നേഹം വേണം.
"
"I love the cousin pictures.
","പ്രിയക്കുട്ടിയുടെ ചിത്രങ്ങൾ ഇഷ്ടായി.
"
"I met her on my cousin's wedding day...
","ചെറിയമ്മാവന്റെ മോളുടെ കല്യാണത്തിന്റെ തലേന്നാണ് ഞാനവളെ കണ്ടത്. . .
"
"I never expected my cousin to do this.
","സ്വന്തം ചേട്ടന്റെ ഭാര്യയെ ഇങ്ങനെ ചെയ്യാൻ കിട്ടുമെന്ന് ഞാൻ ഒരിക്കലും പ്രതീക്ഷിച്ചത് അല്ലായിരുന്നു.
"
"I once heard my cousin talking about his wife.
","ഒരിക്കൽ അവൾ എന്റെ ഭാര്യയോട് അതെപ്പറ്റി പറയുന്നത് ഞാൻ ഒളിച്ചു നിന്ന് കേട്ടിരുന്നു.
"
"I ordered a cake for my cousin's birthday.
","ഞാൻ എന്റെ മകന്റെ ജന്മദിനം ഒരു കേക്ക് ഓർഡർ.
"
"I saw some of my cousins there too.
","അവിടേയും എന്റെ ചില നാട്ടുകാരെ കണ്ടു.
"
"I think one of my cousins.
","എന്റെ സഹോദരങ്ങളിൽ ഒരാളാണെന്ന് തോന്നും.
"
"I was born into a family with many cousins.
","ഒരുപാടു സഹോദരങ്ങളുള്ള കുടുംബത്തിലാണ് ഞാൻ ജനിച്ചത്.
"
"I went with my cousin and her daughter to see the film.
","താങ്കളുടെ സിനിമ കാണാൻ കല്ല്യാണപ്രായമായ എന്റെ മകളെയും കൊണ്ടാണു ഞാൻ പോയത്.
"
"I'm going to my cousins' house!:)
","ഞാൻ എന്റെ മകളുടെ കൂട്ടുകാരിയുടെ വീട്ടിൽ പോയിട്ട് വരാം. .:)
"
"I'm home for my cousin's wedding!
","ഞാൻ എന്റെ മകളുടെ കല്ല്യാണത്തിന്റെ പർച്ചെയ്സിംഗിന് വന്നതഡൊ !
"
"I'm reminded of a story my cousin once told me.
","ഒരിക്കൽ എന്റെ കസിൻ പറഞ്ഞ കഥ ഓര്മ്മ വരുന്നു.
"
"I'm the oldest of the cousins, so I help them with Their home...
","ഞാൻ വീട്ടിലെ മൂത്തസന്താനമായതിനാൽ ഈവകജോലികളിൽ അവരെ സഹായിക്കുക എന്നത് എന്റെ
"
"I've been staying at my cousin Kevin's house.
","ഞാൻ കെവിൻ ചേട്ടന്റെ വീട്ടിൽ തന്നെ നിൽക്കും.
"
"I.e. my cousin.
","അതായത്, എന്റെ മരുമകൻ.
"
"If you do not like to write but are keen about a celebrity, a special hobby subject, or even a long lost cousin, then Twitter is a way to connect to that person or topic.
","നിങ്ങൾ എഴുതാൻ ഇഷ്ടപ്പെടുന്നില്ലെങ്കിലും ഒരു സെലിബ്രിറ്റി, ഒരു പ്രത്യേക ഹോബി വിഷയം, അല്ലെങ്കിൽ ദീർഘകാല നഷ്ടപ്പെട്ട ഒരു കസിൻ പോലും അറിയാൻ താൽപ്പര്യപ്പെടുന്നെങ്കിൽ, ആ വ്യക്തിയോടോ വിഷയമോ ബന്ധിപ്പിക്കുന്നതിനുള്ള ഒരു മാർഗമാണ് ട്വിറ്റർ.
"
"If you don't like to write but are curious about a celebrity, a particular hobby topic, or even a long-lost cousin, then Twitter is one way to connect with that person or topic.
","നിങ്ങൾ എഴുതാൻ ഇഷ്ടപ്പെടുന്നില്ലെങ്കിലും ഒരു സെലിബ്രിറ്റി, ഒരു പ്രത്യേക ഹോബി വിഷയം, അല്ലെങ്കിൽ ദീർഘകാല നഷ്ടപ്പെട്ട ഒരു കസിൻ പോലും അറിയാൻ താൽപ്പര്യപ്പെടുന്നെങ്കിൽ, ആ വ്യക്തിയോടോ വിഷയമോ ബന്ധിപ്പിക്കുന്നതിനുള്ള ഒരു മാർഗമാണ് ട്വിറ്റർ.
"
"If you don't like to write, but are curious about a celebrity, a particular hobby topic, or even a long-lost cousin, then Twitter is one way to connect with that person or topic.
","നിങ്ങൾ എഴുതാൻ ഇഷ്ടപ്പെടുന്നില്ലെങ്കിലും ഒരു സെലിബ്രിറ്റി, ഒരു പ്രത്യേക ഹോബി വിഷയം, അല്ലെങ്കിൽ ദീർഘകാല നഷ്ടപ്പെട്ട ഒരു കസിൻ പോലും അറിയാൻ താൽപ്പര്യപ്പെടുന്നെങ്കിൽ, ആ വ്യക്തിയോടോ വിഷയമോ ബന്ധിപ്പിക്കുന്നതിനുള്ള ഒരു മാർഗമാണ് ട്വിറ്റർ.
"
"Imagine you wanted to talk to your cousin Joe about going to Florida in the summer.
","വേനൽക്കാലത്ത് ഫ്ലോറിഡയിലേക്ക് പോകുന്നതിനെക്കുറിച്ച് നിങ്ങളുടെ കസിൻ ജോയോട് സംസാരിക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുവെന്ന് സങ്കൽപ്പിക്കുക.
"
"In , Jackson and her brothers gave an interview for Oprah Winfrey alongside their grandmother Katherine and their cousins about life after her father's death.
","2010 ൽ ജാക്സൺ അവളുടെ സഹോദരങ്ങൾക്കും മുത്തശ്ശി കാതറിൻ ജാക്സൺ ഒപ്പം തങ്ങളുടെ പിതാവിന്റെ മരണത്തെ തുടർന്നുള്ള തങ്ങളുടെ ജീവതത്തെ കുറിച്ച് ഓപ്ര വിൻഫ്രി യ്ക്ക് ഒരു അഭിമുഖം നൽകുകയുണ്ടായി.
"
"In 1677 he married his cousin Mary, daughter of the future James II.
","1677 തന്റെ മാതൃസഹോദരൻ ജെയിംസിന്റെ (ഡ്യൂക്ക് ഒഫ് യോർക്ക്) മകളായിരുന്ന മേരി IIനെ വിവാഹം ചെയ്തു
"
"In 1840, she married her German cousin Albert.
","1840ൽ ജർമ്മൻകാരനും മാതൃസഹോദരീപുത്രനുമായ ആൽബർട്ടിനെ വിക്ടോറിയ വിവാഹം കഴിച്ചു.
"
"In 1884, she exhibited a portrait of Paris slum children entitled The Meeting and a pastel portrait of her cousin, for which she received an honorable mention.
","1884-ൽ, 'ദ മീറ്റിംഗ്' എന്ന പേരിൽ പാരീസിലെ ചേരിനിവാസികളായ കുട്ടികളുടെ ഛായാചിത്രവും ബഹമാന്യമായ പരാമർശനം ലഭിച്ച അവളുടെ കസിന്റെ പെൻസിൽ ഛായാചിത്രവും പ്രദർശിപ്പിച്ചിരുന്നു.
"
"In 2005, Ali Wazeer was in prison when his father, brothers, cousins, and an uncle were killed in a single ambush.
","അലി വസിർ ജയിലിലായിരിക്കെ 2005ലാണ് ഭീകരാക്രമണത്തിൽ അച്ഛനും രണ്ട് സഹോദരന്മാരും ഒരമ്മാവനും കൊല്ലപ്പെട്ടത്.
"
"In 2005, Ali Wazir was in prison when his father, brothers, cousins, and an uncle were killed in a single ambush.
","അലി വസിർ ജയിലിലായിരിക്കെ 2005ലാണ് ഭീകരാക്രമണത്തിൽ അച്ഛനും രണ്ട് സഹോദരന്മാരും ഒരമ്മാവനും കൊല്ലപ്പെട്ടത്.
"
"In 2010, Jackson and her brothers gave an interview for Oprah Winfrey alongside their grandmother Katherine and their cousins about life after her father's death.
","2010 ൽ ജാക്സൺ അവളുടെ സഹോദരങ്ങൾക്കും മുത്തശ്ശി കാതറിൻ ജാക്സൺ ഒപ്പം തങ്ങളുടെ പിതാവിന്റെ മരണത്തെ തുടർന്നുള്ള തങ്ങളുടെ ജീവതത്തെ കുറിച്ച് ഓപ്ര വിൻഫ്രി യ്ക്ക് ഒരു അഭിമുഖം നൽകുകയുണ്ടായി.
"
"In August 2016, in Mewat, Haryana, a woman and her 14-year-old minor cousin were allegedly gangraped after being accused of eating beef.
","2016 ഓഗസ്റ്റിൽ ഹരിയാനയിലെ മേവത്തിൽ, ബീഫ് കഴിച്ചുവെന്ന് ആരോപിച്ച് ഒരു സ്ത്രീയെയും അവരുടെ 14 വയസുകാരിയായ അർദ്ധസഹോദരിയെയും കൂട്ടബലാൽസംഗം ചെയ്തു.
"
"In May 1852 she married her cousin, Frank Wilson Oliphant, at Birkenhead, and settled at Harrington Square, in London.
","1852 മെയ് മാസത്തിൽ, അവർ കസിൻ ഫ്രാങ്ക് വിൽസൺ ഒലിഫാന്റിനെ ബിർകെൻഹെഡിൽ വച്ച് വിവാഹം കഴിക്കുകയും ലണ്ടനിലെ കാംഡെനിലുള്ള ഹാരിംഗ്ടൺ സ്ക്വയറിൽ താമസമാക്കുകയും ചെയ്തു.
"
"In May 1852, she married her cousin, Frank Wilson Oliphant, at Birkenhead, and settled at Harrington Square in London.
","1852 മെയ് മാസത്തിൽ, അവർ കസിൻ ഫ്രാങ്ക് വിൽസൺ ഒലിഫാന്റിനെ ബിർകെൻഹെഡിൽ വച്ച് വിവാഹം കഴിക്കുകയും ലണ്ടനിലെ കാംഡെനിലുള്ള ഹാരിംഗ്ടൺ സ്ക്വയറിൽ താമസമാക്കുകയും ചെയ്തു.
"
"In November 1677 William had married his cousin Mary, daughter of James, duke of York (later King James II of England).
","1677 തന്റെ മാതൃസഹോദരൻ ജെയിംസിന്റെ (ഡ്യൂക്ക് ഒഫ് യോർക്ക്) മകളായിരുന്ന മേരി IIനെ വിവാഹം ചെയ്തു
"
"In November of 1769, Boswell married his cousin, Margaret Montgomerie.
","1769 നവംബറിൽ ബോസ്വെൽ തന്നേക്കാൾ മൂപ്പുണ്ടായിരുന്ന കസിൻ, മാർഗരറ്റ് മോണ്ട്ഗോമറിയെ വിവാഹം കഴിച്ചു.
"
"In accordance with the Punjab and Haryana High Courts, Marriage between first cousins is illegal.
","സഹോദരങ്ങളുടെ മക്കൾ തമ്മിൽ വിവാഹിതരാകുന്നത് നിയമവിരുദ്ധമെന്ന് പഞ്ചാബ്-ഹരിയാന ഹൈക്കോടതി.
"
"In addition to the 9 surviving children, Edith's two grandmothers, several aunts, and some cousins also lived with the Bollings.
","9 കുട്ടികളോടൊപ്പം എഡിത്തിൻറെ രണ്ട് മത്തശ്ശിമാർ, നിരവധി അമ്മായിമാർ, ഏതിനും കസിൻസ് എന്നിവരും ബോള്ളിങ് കുടുംബത്തോടൊപ്പം ഇവിടെ ജീവിച്ചു വന്നിരുന്നു.
"
"In addition, little is known about Lamar's uncles, aunts, nephews and nieces while his cousins have not been identified in notable events of his early life till date.
","അതുപോലെ, സ ma മയുടെ അമ്മാവൻമാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെക്കുറിച്ച് കൂടുതൽ അറിവില്ല, അതേസമയം അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ ശ്രദ്ധേയമായ സംഭവങ്ങളിൽ അദ്ദേഹത്തിന്റെ കസിൻസിനെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"In addition, little is known about Lamar's uncles, aunts, nephews and nieces while his cousins have not been identified in notable events of his early life to date.
","അതുപോലെ, സ ma മയുടെ അമ്മാവൻമാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെക്കുറിച്ച് കൂടുതൽ അറിവില്ല, അതേസമയം അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ ശ്രദ്ധേയമായ സംഭവങ്ങളിൽ അദ്ദേഹത്തിന്റെ കസിൻസിനെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"In addition, not much is documented about Nick Pope's uncles, aunts, cousins, nephews and nieces.
","കൂടാതെ, നിക്ക് പോപ്പിന്റെ അമ്മാവൻമാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെക്കുറിച്ച് കൂടുതൽ രേഖപ്പെടുത്തിയിട്ടില്ല.
"
"In addition, not much is known about Martinez's uncles, aunts, cousins, nephews and nieces.
","കൂടാതെ, മാർട്ടിനെസിന്റെ അമ്മാവന്മാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെക്കുറിച്ച് കൂടുതൽ അറിവില്ല.
"
"In addition, the winger's uncles, aunts and cousins are not known while he is yet to reveal his nieces and nephews.
","കൂടാതെ, വിംഗറിന്റെ അമ്മാവന്മാരെയും അമ്മായിമാരെയും കസിൻമാരെയും അറിയില്ല, അതേസമയം അദ്ദേഹം തന്റെ മരുമക്കളെയും മരുമക്കളെയും വെളിപ്പെടുത്തിയിട്ടില്ല.
"
"In the 1830s Elizabeth was introduced to literary society through her cousin, John Kenyon.
","1840 കളിൽ എലിസബത്ത് അവളുടെ കസിൻ ജോൺ കെനിയൻ വഴി സാഹിത്യ സമൂഹത്തിലേക്ക് പരിചയപ്പെടുത്തപ്പെട്ടു.
"
"In the 1840s Elizabeth was introduced to literary society through her cousin, John Kenyon.
","1840 കളിൽ എലിസബത്ത് അവളുടെ കസിൻ ജോൺ കെനിയൻ വഴി സാഹിത്യ സമൂഹത്തിലേക്ക് പരിചയപ്പെടുത്തപ്പെട്ടു.
"
"In the morning, Ajit Pawar met Sadanand Sule, husband of his cousin and Sharad Pawar's daughter Supriya Sule, at a hotel in South Mumbai, sources said.
","ഇന്നലെ രാവിലെ ശരദ് പവാറിന്റെ മകൾ സുപ്രിയ സുലെ, ഭർത്താവ് സദാനന്ദ് സുലെ എന്നിവരുമായി സൌത്ത് മുംബൈയിലെ ഹോട്ടലിൽ അജിത് പവാർ കൂടിക്കാഴ്ച നടത്തിയിരുന്നു.
"
"In the morning, Ajit Pawar met with Sadanand Sule, husband of his cousin and Sharad Pawar's daughter Supriya Sule, at a hotel in south Mumbai, sources said.
","ഇന്നലെ രാവിലെ ശരദ് പവാറിന്റെ മകൾ സുപ്രിയ സുലെ, ഭർത്താവ് സദാനന്ദ് സുലെ എന്നിവരുമായി സൌത്ത് മുംബൈയിലെ ഹോട്ടലിൽ അജിത് പവാർ കൂടിക്കാഴ്ച നടത്തിയിരുന്നു.
"
"Instead, their cousin, Peter Philips, stood in between them.
","മാത്രമല്ല അവരുടെ കസിൻ പീറ്റർ ഫിലിപ്സ് ഇവർക്കിടയിൽ നിലയുറപ്പിച്ചിരുന്നു.
"
"It can therefore be a spouse, a brother, an aunt, a cousin, etc.
","അതിനാൽ അത് ഒരു പങ്കാളി, ഒരു സഹോദരൻ, ഒരു അമ്മായി, ഒരു കസിൻ മുതലായവ ആകാം.
"
"It means that's my cousin.
","ഇതിനു് എന്റെ പെരിയവൻ എന്നു് അർത്ഥവുമാകുന്നു.
"
"It was for my first cousin.
","ഒന്നാമത്തെ അനിയനു വേണ്ടിയാണ് അതൊക്കെ ചയ്തത്.
"
"It was my cousin's car.
","എന്റെ കസിൻ ബ്രദറിന്റെ കാറ്ഡായിരുന്നു അത്.
"
"It was my first cousin.
",". അതായിരുന്നു എന്റെ ആദ്യ കസിൻ .
"
"It's her cousin!
","അവളുടെ മാമിയാണല്ലോ!
"
"Jack Grealish (left) as a kid, with his cousin Sean Mills and Paul Merson (center).
","കുട്ടിയായി ജാക്ക് ഗ്രീലിഷ് (ഇടത്ത്), കസിൻ സീൻ മിൽസ്, പോൾ മെർസൺ (മധ്യഭാഗം)
"
"Jack Grealish (left) as a kid, with his cousin Sean Mills and Paul Merson (centre).
","കുട്ടിയായി ജാക്ക് ഗ്രീലിഷ് (ഇടത്ത്), കസിൻ സീൻ മിൽസ്, പോൾ മെർസൺ (മധ്യഭാഗം)
"
"James was the son of Zebedee and Salome, brother of Saint John the Apostle, and may have been Jesus' cousin.
","ജെയിംസ് - സെബെദിയുടെ ശലോമയും മകൻ, യോഹന്നാന്റെ സഹോദരനായ, അതാകട്ടെ, ഒരു സുവിശേഷകൻ ആയിരുന്നു.
"
