eng_Latn,kan_Knda
"His Italian great-grandparents, Giovanni De Niro and Angelina Mercurio, immigrated from Ferrazzano , in the province of Campobasso, Molise, and his paternal grandmother, Helen O' Reilly, was the granddaughter of Edward O'Reilly, an immigrant from Ireland.
","ಅವನ ಇಟಾಲಿಯನ್ ಮುತ್ತಾತಂದಿರು, ಗಿಯೋವನ್ನಿ ನಿರೋ ಮತ್ತು ಅಂಜಲಿನಾ ಮೆರ್ಕುರಿಯೊ, ಮೊಲಿಸೆಯ ಕಾಂಪೊಬಸ್ಸೊ ಪ್ರಾಂತ್ಯದ ಫೆರಜ್ಜನೊವಿನಿಂದ ವಲಸೆ ಬಂದವರು,[೨] ಮತ್ತು ಮುತ್ತಜ್ಜಿ, ಹೆಲೆನ್ ಒ'ರೈಲಿ, ಎಡ್ವರ್ಡ್ ಒ'ರೈಲಿಯ ಮೊಮ್ಮಗಳು, ಐರ್ಲೆಂಡ್ನಿಂದ ವಲಸೆ ಬಂದವರು.
"
"His Italian great-grandparents, Giovanni De Niro and Angelina Mercurio, immigrated from Ferrazzano, in the province of Campobasso, Molise, and his paternal grandmother, Helen O' Reilly, was the granddaughter of Edward O'Reilly, an immigrant from Ireland.
","ಅವನ ಇಟಾಲಿಯನ್ ಮುತ್ತಾತಂದಿರು, ಗಿಯೋವನ್ನಿ ನಿರೋ ಮತ್ತು ಅಂಜಲಿನಾ ಮೆರ್ಕುರಿಯೊ, ಮೊಲಿಸೆಯ ಕಾಂಪೊಬಸ್ಸೊ ಪ್ರಾಂತ್ಯದ ಫೆರಜ್ಜನೊವಿನಿಂದ ವಲಸೆ ಬಂದವರು,[೨] ಮತ್ತು ಮುತ್ತಜ್ಜಿ, ಹೆಲೆನ್ ಒ'ರೈಲಿ, ಎಡ್ವರ್ಡ್ ಒ'ರೈಲಿಯ ಮೊಮ್ಮಗಳು, ಐರ್ಲೆಂಡ್ನಿಂದ ವಲಸೆ ಬಂದವರು.
"
"His daughter & her grandmother are in the house.
","ಅವಳ ಮಗಳು,ಮೊಮ್ಮಗಳು ನಮ್ಮ ಮನೆಯಲ್ಲಿಯೇ ಇದ್ದಾರೆ.
"
"His grandmother and father were both prime ministers of India.
","ಅವರ ತಂದೆ ಮತ್ತು ಅವರ ಇಬ್ಬರು ಪುತ್ರರು ಭಾರತೀಯ ಪ್ರಧಾನ ಮಂತ್ರಿಗಳಾಗಿದ್ದರು.
"
"His grandmother and six of his brothers were killed.
","ಅವರ ತಾಯಿ ಮತ್ತು 6 ಜನ ಸಹೋದರರನ್ನು ಅಂದೇ ಕೊಲ್ಲಲಾಯಿತು.
"
"His grandmother became an alcoholic right after his mother died in childbirth.
","ಚಿಕ್ಕವಯಸ್ಸಿನಲ್ಲೇ ತಂದೆ ತೀರಿಕೊಂಡ ಬಳಿಕ ತಾಯಿ ಮದ್ಯವ್ಯಸನಿ.
"
"His grandmother had died in 1905.
","1905ರಲ್ಲಿ ಅನಾ ತಾಯಿ ಮರಣ ಹೊಂದಿದ್ದರು.
"
"His grandmother had recently died.
","ಇತ್ತೀಚೆಗಷ್ಟೆ ಇವರ ಅಜ್ಜ ಮೃತಪಟ್ಟಿದ್ದರು.
"
"His grandmother is 74 years old.
","ಆತ 74 ವರ್ಷದ ಅಜ್ಜ.
"
"His grandmother lived here.
","ಅವರ ತಾಯಿ ಇಲ್ಲಿನ ಬೊಮ್ಮನಕಟ್ಟೆ ವಾಸಿ.
"
"His grandmother was a doctor.
","ಅವಳ ಅಜ್ಜ ಒಂದು ವೈದ್ಯನಾಗಿದ್ದ.
"
"His grandmother was also a teacher.
","ಇವರ ಅಜ್ಜ ಕೂಡ ಶಾಲಾ ಶಿಕ್ಷಕರಾಗಿದ್ದರು.
"
"His grandmother was present at the birth.
","ಆಕೆಯ ತಂದೆ ಜನನದಲ್ಲಿ ಉಪಸ್ಥಿತರಿದ್ದರು.
"
"His grandmother worked at a pharmacy.
","ತಾಯಿ ಫಾರ್ಮೆಸಿಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರು.
"
"His mother died a few hours after childbirth, and it appears he did not seek affection from his grandmother, father, or older brother, which later influenced his writing.
","ಹೆರಿಗೆಯ ಕೆಲವೇ ಗಂಟೆಗಳ ನಂತರ ಅವರ ತಾಯಿ ನಿಧನರಾದರು, ಮತ್ತು ಅವನ ಅಜ್ಜ, ತಂದೆ ಅಥವಾ ಹಿರಿಯ ಸೋದರರಿಂದ ಅವನು ಅಪೇಕ್ಷಿಸುವುದಿಲ್ಲವೆಂದು ಕಾಣುತ್ತದೆ, ಅದು ನಂತರ ಅವನ ಬರವಣಿಗೆಗೆ ಪ್ರಭಾವ ಬೀರಿತು.
"
"His paternal grandmother, Catherine of Austria, was regent for Sebastian from 1557 to 1562.
","ಅವರ ತಂದೆಯ ಅಜ್ಜ, ಕ್ಯಾಥರೀನ್ ಆಫ್ ಆಸ್ಟ್ರಿಯಾ 1557 ರಿಂದ 1562 ರವರೆಗೆ ಸೆಬಾಸ್ಟಿಯನ್ಗೆ ರಾಜಪ್ರತಿನಿಧಿಯಾಗಿತ್ತು.
"
"However, my grandmother is still alive.
","ಆದಾಗ್ಯೂ, ನನ್ನ ಅಜ್ಜ ಬದುಕುಳಿದಿದ್ದಾಳೆ.
"
"I also remember a story my grandmother told me.
","ನನಗಿನ್ನೂ ನೆನಪಿದೆ ನನ್ನ ಅಜ್ಜ ಹೇಳಿದ ಕಥೆ.
"
"I am a grandmother and great grandmother!
","ಅಂದ್ರೆ ನಾನು ಅಜ್ಜ ಹಾಗೂ ಮೊಮ್ಮಗ !
"
"I am a grandmother now as well.
","ಈಗ ನಾನೂ ಅಮ್ಮನಾಗಿದ್ದೇನೆ.
"
"I am a grandmother!
","ನಾನು ಒಂದು ರೀತಿ ಅಜ್ಜನ ಅಜ್ಜ!
"
"I am a mother and a grandmother!
","ಅಂದ್ರೆ ನಾನು ಅಜ್ಜ ಹಾಗೂ ಮೊಮ್ಮಗ !
"
"I am a mother and grandmother!
","ಅಂದ್ರೆ ನಾನು ಅಜ್ಜ ಹಾಗೂ ಮೊಮ್ಮಗ !
"
"I am now a grandmother too.
","ಈಗ ನಾನೂ ಅಮ್ಮನಾಗಿದ್ದೇನೆ.
"
"I am so very sorry to hear of your grandmother passing away.
","ನಿಮ್ಮ ಅಜ್ಜ ತಂದೆಯ ಹಾದುಹೋಗುವ ಬಗ್ಗೆ ಕೇಳಲು ನಾನು ತುಂಬಾ ದುಃಖಿತನಾಗಿದ್ದೆ.
"
"I am the students grandmother.
","ನಾನೇ ವಿದ್ಯಾರ್ಥಿಮುಖಂಡ ಅಮ್ಮ.
"
"I am worried about my grandmother's health.
","ಅಮ್ಮನ ಆರೋಗ್ಯದ ಬಗ್ಗೆ ನನಗೆ ಆತಂಕವಾಗುತ್ತಿದೆ.
"
"I am worrying my grandmother's health.
","ಅಮ್ಮನ ಆರೋಗ್ಯದ ಬಗ್ಗೆ ನನಗೆ ಆತಂಕವಾಗುತ್ತಿದೆ.
"
"I can't wait to give it my grandmother for her birthday.
","ನನ್ನ ಅಜ್ಜ-ಮಗಳಿಗೆ ಅವಳ ಜನ್ಮದಿನದಂದು ಅದನ್ನು ನೀಡಲು ನಾನು ಕಾಯಲು ಸಾಧ್ಯವಿಲ್ಲ. ಧನ್ಯವಾದ.
"
"I dedicate this to my loving grandmothers.
","ಇದನ್ನು ನನ್ನ ಪ್ರೀತಿಯ ಇಬ್ಬರು ತಾಯಂದಿರಿಗೆ ಅರ್ಪಿಸುತ್ತೇನೆ.
"
"I didn't have a grandmother.
","ನನಗೆ ಅಜ್ಜ ಇರಲಿಲ್ಲ.
"
"I didn't know that grandmother.
","ನಾನು ಮಮ್ಮಾ ಅಂದದ್ದೂನಿಂಗೆ ಗೊತ್ತಾಗಿರಲಿಲ್ಲ.
"
"I didn't see my grandmother.
","ನಾನು ಅಜ್ಜನನ್ನು ನೋಡಿಲ್ಲ.
"
"I don't have a grandmother.
","ನನಗೆ ಅಜ್ಜ ಇರಲಿಲ್ಲ.
"
"I don't know my grandmother's name.
","ಅಜ್ಜನ ಹೆಸರು ಮೊಮ್ಮಗನಿಗೆ ಗೊತ್ತಿಲ್ಲ.
"
"I don't remember the food my grandmother made.
","ಅಮ್ಮನ ಕೈಯಿಂದ ತಯಾರಿಸಿದ ಊಟ ನನಗೆ ನೆನಪಿಲ್ಲ.
"
"I go to my grandmother's house every year.
","ಅಜ್ಜನ ಮನೆಗೆ ಪ್ರತೀ ವರ್ಷದಂತೆ ಹೋಗಿದ್ದೆ.
"
"I have had discussions about this with my mother and my grandmother.
","ಆ ಬಗ್ಗೆ ನನ್ನ ತಾಯಿ ಹಾಗೂ ಚಿಕ್ಕಮ್ಮನೊಂದಿಗೆ ಚರ್ಚಿಸಿದೆ.
"
"I haven't been to my grandmother's lately.
","ಇತ್ತೀಚಿನ ದಿನಗಳಲ್ಲಿ ನಾನಂತೂ ಅಜ್ಜನ ಮನೆಗೆ ಹೋಗಿಲ್ಲ.
"
"I learned to cook from hanging out in the kitchen with my mother and my grandmother.
","ನಿತ್ಯ ಮನೆಯಲ್ಲಿ ತಾಯಿ, ಅಕ್ಕನ ಜೊತೆ ಕೂಡಿ ಅಡುಗೆ ಮಾಡುವುದನ್ನು ಕಲಿತಿದ್ದೆ.
"
"I learned to cook in the kitchen with my grandmother and mother.
","ನಿತ್ಯ ಮನೆಯಲ್ಲಿ ತಾಯಿ, ಅಕ್ಕನ ಜೊತೆ ಕೂಡಿ ಅಡುಗೆ ಮಾಡುವುದನ್ನು ಕಲಿತಿದ್ದೆ.
"
"I love your grandmother's in particular.
","ಅದರಲ್ಲೂ ನನಗೆ ಅಜ್ಜನಲ್ಲಿ ವಿಶೇಷ ಪ್ರೀತಿ.
"
"I miss my grandmother a lot lately.
","ಇತ್ತೀಚೆಗೆ ನನಗೆ ಅಮ್ಮನ ನೆನಪು ಬಹಳ ಕಾಡುತ್ತಿದೆ.
"
"I remember both my grandmothers.
","ನನಗೆ ನನ್ನ ಅಮ್ಮ,ಅತ್ತೆ ಇಬ್ಬರು ನೆನಪಾದರು.
"
"I remember both of my grandmothers.
","ನನಗೆ ನನ್ನ ಅಮ್ಮ,ಅತ್ತೆ ಇಬ್ಬರು ನೆನಪಾದರು.
"
"I remember my grandmother telling about it.
","ಆಗ ಅಜ್ಜ ಅದರ ಬಗ್ಗೆ ಹೇಳುತ್ತಿದ್ದುದು ನೆನಪಾಯಿತು.
"
"I started to learn the art of cooking at home with my mother and my grandmother.
","ನಿತ್ಯ ಮನೆಯಲ್ಲಿ ತಾಯಿ, ಅಕ್ಕನ ಜೊತೆ ಕೂಡಿ ಅಡುಗೆ ಮಾಡುವುದನ್ನು ಕಲಿತಿದ್ದೆ.
"
"I take care of my grandmother.
","ಅಜ್ಜನನ್ನು ನಾನು ನೋಡಿಕೊಳ್ಳುತ್ತೇನೆ.
"
"I talked about it to my mother and grandmother.
","ಆ ಬಗ್ಗೆ ನನ್ನ ತಾಯಿ ಹಾಗೂ ಚಿಕ್ಕಮ್ಮನೊಂದಿಗೆ ಚರ್ಚಿಸಿದೆ.
"
"I was a grandmother at 37 years old.
","""""""ನಾನು 37 ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ತಾಯಿಯಾದೆ.""
"
"I was sitting next to the grandmother.
","ನಾನು ಅಜ್ಜನಿಗೆ ತಾಗಿಕೊಂಡೇ ಕುಳಿತಿದ್ದೆ.
"
"I withdrew from school and took care of my grandmother.
","ಶಾಲೆ ತಪ್ಪಿಸಿಕೊಂಡು ನನ್ನ ದೊಡ್ಡಮ್ಮನ ಬಳಿ ಬೈಯಿಸಿಕೊಂಡಿದ್ದೆ.
"
"I wrote my grandmother a poem for mother's day.
","ತಾಯಿಯ ದಿನದಂದು ನಾನು ಒಂದು ಕವಿತೆ ಬರೆದಿದ್ದಾರೆ.
"
"I'm a grandmother!
","ನಾನು ಒಂದು ರೀತಿ ಅಜ್ಜನ ಅಜ್ಜ!
"
"I'm a mother & grandmother!
","ಅಂದ್ರೆ ನಾನು ಅಜ್ಜ ಹಾಗೂ ಮೊಮ್ಮಗ !
"
"I'm a mother and grandmother!
","ಅಂದ್ರೆ ನಾನು ಅಜ್ಜ ಹಾಗೂ ಮೊಮ್ಮಗ !
"
"I'm now a grandmother too.
","ಈಗ ನಾನೂ ಅಮ್ಮನಾಗಿದ್ದೇನೆ.
"
"In addition to the fact that now everyone has a tiny miracle, every member of the family also received a new status: the wife became a mother, the husband became a father, the sisters became aunts, the brothers - uncles, the popes - grandparents, moms - grandmothers.
","ಎಲ್ಲಾ ನಂತರ, ಆ ಹೊರತುಪಡಿಸಿ ಈಗ ನಾವು ಎಲ್ಲಾ ಸಣ್ಣ ಪವಾಡ ಹೊಂದಿವೆ, ಮತ್ತು ಕುಟುಂಬದ ಸದಸ್ಯರು ಹೊಸ ಸ್ಥಾನಮಾನ ಗಳಿಸಿವೆಃ ಒಂದು ಮಹಿಳೆ ತಾಯಿ, ಗಂಡ ಆಯಿತು - ಚಿಕ್ಕಪ್ಪ, ತಂದೆ - - ಪಿತಾಮಹರು, ತಾಯಂದಿರು - Grandmothers ಅಪ್ಪ, ಸಹೋದರಿಯರು ಚಿಕ್ಕಮ್ಮಂದಿರೊಂದಿಗೆ, ಸಹೋದರರು ಆಗಲು.
"
"It is always a pleasure to see your grandmother.
","ಯಾವಾಗಲೂ ನನ್ನಜ್ಜನನ್ನು ನೋಡುವುದೇ ಒಂದು ಖುಷಿ.
"
"It is always great to see my grandmother.
","ಯಾವಾಗಲೂ ನನ್ನಜ್ಜನನ್ನು ನೋಡುವುದೇ ಒಂದು ಖುಷಿ.
"
"John's grandmother died after a long illness.
","ತಂದೆಯ ಜಾನ್ ಒಂದು ಸುದೀರ್ಘವಾದ ಕಾಯಿಲೆಯ ನಂತರ ನಿಧನರಾದರು.
"
"John's grandmother passed away after a long illness.
","ತಂದೆಯ ಜಾನ್ ಒಂದು ಸುದೀರ್ಘವಾದ ಕಾಯಿಲೆಯ ನಂತರ ನಿಧನರಾದರು.
"
"Many parents are interested in this, and even more - grandmothers.
","ಅನೇಕ ಹೆತ್ತವರು ಇದನ್ನು ಆಸಕ್ತರಾಗಿರುತ್ತಾರೆ, ಮತ್ತು ಇನ್ನಷ್ಟು - ಅಮ್ಮಂದಿರು.
"
"Mark twain said, india is the cradle of the human race, the birthplace of human speech, the mother of history, the grandmother of legend, and the great grand mother of tradition our most valuable and most instructive materials in the history of man are treasured up in india only few countries.
","""ಮಾರ್ಕ್ ಟ್ವೈನ್, ಅಮೇರಿಕನ್ ಲೇಖಕಃ """"ಭಾರತ ಮಾನವ ಜನಾಂಗದ ತೊಟ್ಟಿಲು, ಮಾನವ ಭಾಷೆಯ ಜನ್ಮಸ್ಥಳ, ಇತಿಹಾಸದ ತಾಯಿ, ದಂತಕಥೆಯ ಅಜ್ಜ, ಮತ್ತು ಸಂಪ್ರದಾಯದ ಮುತ್ತಜ್ಜಿಯವರು ಇತಿಹಾಸದಲ್ಲಿ ನಮ್ಮ ಅತ್ಯಂತ ಬೆಲೆಬಾಳುವ ಮತ್ತು ಹೆಚ್ಚು ಬೋಧಪ್ರದ ವಸ್ತುಗಳು ಮನುಷ್ಯನ ಮಾತ್ರ ಭಾರತದಲ್ಲಿ ಅಮೂಲ್ಯವಾಗಿದೆ.""
"
"Maybe it's my grandmother.
","ಬಹುಶಃ ಇದು ಮೊಮ್ಮಗಳು ನನ್ನ ಅಜ್ಜ ಇಲ್ಲಿದೆ.
"
"Modern women are different from their great grandmothers.
","ಆಧುನಿಕ ಮಹಿಳೆಯರು ತನ್ನ ಪೂರ್ವಜರು ಗಣನೀಯವಾಗಿ ಭಿನ್ನವಾಗಿರುತ್ತವೆ.
"
"Most of my childhood was spent at my maternal grandmother's house.
","ನನ್ನ ಬಾಲ್ಯದ ಬಹುತೇಕ ದಿನಗಳೆಲ್ಲ ಕಳೆದದ್ದು ಅಜ್ಜನ ಮನೆಯಲ್ಲಿ.
"
"Mother and grandmothers
","ಅಜ್ಜ ಮತ್ತು ಮೊಮ್ಮಗಳು
"
"Murillo seldom used his father's surname, and instead took his surname from his maternal grandmother, Elvira Murillo.
","ಮುರಿಲ್ಲೋ ತನ್ನ ತಂದೆಯ ಉಪನಾಮವನ್ನು ಅಪರೂಪವಾಗಿ ಬಳಸಿದರು,ಮತ್ತು ಅವನ ತಾಯಿಯ ಅಜ್ಜ, ಎಲ್ವಿರಾ ಮುರಿಲ್ಲೊನಿಂದ ಅವನ ಉಪನಾಮವನ್ನು ತೆಗೆದುಕೊಂಡರು.
"
"My children are her grandmother.
","ಅವಳ ಮಕ್ಕಳು ಮೊಮ್ಮಕ್ಕಳೇ ನನಗೆಲ್ಲಾ.
"
"My daughter is his grandmother.
","ಅವಳ ಮಗಳು ಅಂದರೆ ನನಗೆ ಮೊಮ್ಮಗಳು.
"
"My grandfather's sister married my grandmother's brother.
","ನನ್ನ ತಾಯಿಯ ಅಕ್ಕ ಅಂದರೆ ನನ್ನ ದೊಡ್ಡಮ್ಮ ನನ್ನ ಅಕ್ಕನನ್ನು ಸೋದರ ಮಾವನ ಮಗನಿಗೆ ಕೊಟ್ಟು ಮದುವೆ ಮಾಡಿದರು.
"
"My grandmother also died recently.
","ಇತ್ತೀಚೆಗಷ್ಟೇ ನನ್ನ ಅಜ್ಜ ಸಹ ತೀರಿಕೊಂಡರು.
"
"My grandmother and grandfather were married for nearly 50 years.
","ಅಜ್ಜ ಮತ್ತು ಅಮ್ಮಮ್ಮನದು ಸುಮಾರು ಐವತ್ತೇಳು ವರ್ಷಗಳ ಸುದೀರ್ಘ ದಾಂಪತ್ಯ .
"
"My grandmother and grandfather's sisters and brothers died before I was born.
","ತನ್ನ ಮಲ ಅಣ್ಣ ಮತ್ತು ಸಹೋದರಿಯನ್ನು ನನ್ನ ತಂದೆ ನಾನು ಹುಟ್ಟುವುದಕ್ಕೆ ಮೊದಲೇ ಕೊಲೆ ಮಾಡಿದ್ದರು.
"
"My grandmother and mother were in this category.
","ನನ್ನ ತಾಯಿ, ದೊಡ್ಡಮ್ಮ ಇದೇ ವೃತ್ತಿಯಲ್ಲಿದ್ದರು.
"
"My grandmother couldn't read or write.
","ನನ್ನಜ್ಜಿಗೆ ಬರೆಯಲು ಓದಲು ಬರುತ್ತಿರಲಿಲ್ಲ.
"
"My grandmother couldn't read.
","ನನ್ನಜ್ಜಿಗೆ ಬರೆಯಲು ಓದಲು ಬರುತ್ತಿರಲಿಲ್ಲ.
"
"My grandmother died 26 years ago today.
","ಅಮ್ಮ ನನ್ನ ಬಿಟ್ಟುಹೋಗಿ ಇಂದಿಗೆ 26ವರ್ಷ!
"
"My grandmother died a few weeks ago.
","ಅಜ್ಜ ಕೆಲವಾರಗಳ ಹಿಂದೆ ನಿಧನರಾದರು.
"
"My grandmother died in the late 90's.
","ನನ್ನ ತಾಯಿ 80 ರ ದಶಕದ ಅಂತ್ಯದಲ್ಲಿದ್ದಳು.
"
"My grandmother died on May 9.
","ಮೇ 9ರಂದು ಅಮ್ಮ ಅಸುನೀಗಿದರು.
"
"My grandmother died recently as well.
","ಇತ್ತೀಚೆಗಷ್ಟೇ ನನ್ನ ಅಜ್ಜ ಸಹ ತೀರಿಕೊಂಡರು.
"
"My grandmother encouraged my sister and I to play outside.
","ಮಾಮ್ ನನ್ನ ಅಕ್ಕ ಮತ್ತು ನನ್ನನ್ನು ಹೊರಗೆ ಆಡಲು ಪ್ರೋತ್ಸಾಹಿಸುತ್ತಿದ್ದರು.
"
"My grandmother followed him.
","ಅಮ್ಮ ಅವನ್ನನ್ನು ಹಿಂಬಾಲಿಸಿದರು.
"
"My grandmother got married to him 8 years ago.
","ಆಕೆಯ ತಂದೆ 8 ತಿಂಗಳ ಹಿಂದೆ ಆಕೆಯನ್ನು ಮದುವೆ ಮಾಡಿಕೊಟ್ಟಿದ್ದಾರೆ.
"
"My grandmother had 15 children.
","ನಮ್ಮ ಅಜ್ಜಂದಿರಿಗೆ 15 ಮಕ್ಕಳಿದ್ದರು.
"
"My grandmother had a plan.
","ಅಮ್ಮನೇ ಒಂದು ಪ್ಲಾನ್ ಮಾಡಿದ್ದಾರೆ.
"
"My grandmother had an amazing memory.
","ಅಮ್ಮನಿಗೆ ತೀವ್ರ ಮೊನಚಾದ ಜ್ಞಾಪಕ ಶಕ್ತಿ ಇತ್ತು.
"
"My grandmother had both.
","ಅಜ್ಜನಿಗೆ ಇವೆರಡೂ ಇದ್ದುವು.
"
"My grandmother had only two children; my mother and her elder brother.
","ನಮ್ಮ ಅಜ್ಜನಿಗೆ ಇದ್ದಿದ್ದು ಇಬ್ಬರು ಹೆಣ್ಣು ಮಕ್ಕಳು ಮಾತ್ರ ನನ್ನ ಅಮ್ಮ ಚಿಕ್ಕವರು ನನ್ನ ದೊಡ್ಡಮ್ಮ ಶ್ರೀ ಮತಿ ಗೌರಮ್ಮ ದೊಡ್ಡಮಗಳು
"
"My grandmother had these both as well.
","ಅಜ್ಜನಿಗೆ ಇವೆರಡೂ ಇದ್ದುವು.
"
"My grandmother has gone now.
","ಅಜ್ಜ ಈಗ ಹೊರಟರು.
"
"My grandmother is 101 years old.
","ಈ ಅಜ್ಜನಿಗೆ 101 ವರ್ಷ ವಯಸ್ಸು.
"
"My grandmother is 74 years old .
","ಆತ 74 ವರ್ಷದ ಅಜ್ಜ.
"
"My grandmother is 74 years old.
","ಆತ 74 ವರ್ಷದ ಅಜ್ಜ.
"
"My grandmother is 83 years old and is in good health.
","ಇದೀಗ ನನ್ನ ಅಮ್ಮನಿಗೆ ಸುಮಾರು 83 ವರ್ಷವಾಗಿದ್ದು, ಆರೋಗ್ಯವಾಗಿದ್ದಾರೆ.
"
"My grandmother is a VERY religious person.
","ನನ್ನಜ್ಜಿ ಬಹಳ ಧಾರ್ಮಿಕ ವ್ಯಕ್ತಿ.
"
"My grandmother is an 80 year old lady.
","ನನ್ನ ಅಮ್ಮ 80ರ ಹರಯದ ಹುಡುಗಿ.
"
"My grandmother is an example.
","ನನ್ನಜ್ಜಿಯೇ ಅದಕ್ಕೊಂದು ಉದಾಹರಣೆ.
"
"My grandmother is as old as the hills.
","ನನ್ನ ಚಿಕ್ಕಮ್ಮ ಬೆಟ್ಟಗಳಷ್ಟು ಹಳೆಯದು.
"
"My grandmother is currently living in her large home alone.
","ಈಗ ನನ್ನ ಪತ್ನಿ ಒಬ್ಬಂಟಿಯಾಗಿ ನಮ್ಮ ಹಿರಿಯರ ದೊಡ್ಡ ಮನೆಯಲ್ಲಿ ಇದ್ದಾಳೆ.
"
"My grandmother is my mother, she's everything to me.
","ಅವಳಿಗೆ ತಾಯಿ, ಅಕ್ಕ ಎಲ್ಲವೂ ನಾನೇ.
"
"My grandmother is named Victoria.
","ಈ ಮಹಾ ತಾಯಿಯ ಹೆಸರು ವಿಕ್ಟೋರಿಯಾ.
"
"My grandmother isn't alive now.
","ಈಗ ಅಜ್ಜ ಬದುಕಿಲ್ಲ.
"
"My grandmother lived for 96 years.
","ತಾನ್ಯಾಃ ನಮ್ಮ ತಾತ 96 ವರ್ಷ ಬದುಕಿದ್ದರು.
"
"My grandmother lived through both wars.
","ನನ್ನ ಅಜ್ಜ ಎರಡೂ ವಿಶ್ವ ಯುದ್ಧಗಳ ಮೂಲಕ ವಾಸಿಸುತ್ತಿದ್ದರು.
"
"My grandmother looked at her.
","ಮೊಮ್ಮಗ ಅವಳತ್ತಲೇ ನೋಡುತ್ತಿದ್ದ.
"
"My grandmother lost her father.
","ನನ್ನ ಮೊಮ್ಮಗಳು ತಂದೆಯನ್ನು ಕಳೆದುಕೊಂಡಿದ್ದಾಳೆ.
"
"My grandmother lost her husband a long time ago.
","ನನ್ನ ಪತಿ ಬಹಳ ಹಿಂದೆಯೇ ತನ್ನ ಅಜ್ಜನನ್ನು ಕಳೆದುಕೊಂಡನು.
"
"My grandmother loved to tell this story.
","ನನ್ನ ಅಮ್ಮನಿಗೆ ಈ ಸ್ಟೋರಿ ಹೇಳಿದಾಗ ಬಹಳ ಇಷ್ಟಪಟ್ಟರು.
"
"My grandmother only finished primary school.
","ನಮ್ಮ ಅಜ್ಜ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಮಾತ್ರ ಮುಗಿಸಿದ್ದರು.
"
"My grandmother owned two houses.
","ಆದರೂ ನನ್ನ ಅಜ್ಜ ಎರಡು ಮನೆಗಳನ್ನು ತನ್ನದಾಗಿಸಿಕೊ೦ಡ.
"
"My grandmother passed away in the late 80's.
","ನನ್ನ ತಾಯಿ 80 ರ ದಶಕದ ಅಂತ್ಯದಲ್ಲಿದ್ದಳು.
"
"My grandmother passed away when I was in the eighth grade.
","ನಮ್ಮ ಅಜ್ಜ ನಾನು ಎಂಟನೇ ತರಗತಿಯಲ್ಲಿದ್ದಾಗ ತೀರಿಹೋದರು.
"
"My grandmother passed away, when I was 11 years old.
","ಅಜ್ಜ ನಾನು 11 ವರ್ಷದವಳಿರಬೇಕಾದರೆ ತೀರಿಕೊಂಡರು.
"
"My grandmother recently celebrated her 80th birthday.
","ಹಿರಿಯ ನಟಿಯ ತಾಯಿ ಇತ್ತೀಚೆಗಷ್ಟೇ ತಮ್ಮ 80ನೇ ವರ್ಷದ ಹುಟ್ಟುಹಬ್ಬವನ್ನು ಆಚರಿಸಿಕೊಂಡಿದ್ದರು.
"
"My grandmother recently passed away as well.
","ಇತ್ತೀಚೆಗಷ್ಟೇ ನನ್ನ ಅಜ್ಜ ಸಹ ತೀರಿಕೊಂಡರು.
"
"My grandmother saw something else.
","ಅಮ್ಮ ನೋಡಿದರೆ ಬೇರೆ ಏನೊ ಹೇಳಿದರು.
"
"My grandmother still tells the story.
","ಅಮ್ಮ ಈಗಲೂ ಕಥೆ ಹೇಳುತ್ತಾರೆ.
"
"My grandmother told me a story.
","ನನ್ನಜ್ಜಿ ನನಗೊಂದು ಕಥೆ ಹೇಳಿದ್ದಳು.
"
"My grandmother took care of us during that time.
","ಅಂತಹ ಸಮಯದಲ್ಲಿ ಅಮ್ಮನೇ ನಮ್ಮನ್ನು ಪಾಲನೆ ಮಾಡಿದಳು.
"
"My grandmother used to sing it when I was a kid.
","ನನ್ನ ಅಜ್ಜ ನಾನು ಚಿಕ್ಕವಳಿದ್ದಾಗ ಇದನ್ನು ಹಾಡಿ ನನ್ನನ್ನು ನಗಿಸುತ್ತಿದ್ದರು.
"
"My grandmother used to sing that song to me when I was a child.
","ನನ್ನ ಅಜ್ಜ ನಾನು ಚಿಕ್ಕವಳಿದ್ದಾಗ ಇದನ್ನು ಹಾಡಿ ನನ್ನನ್ನು ನಗಿಸುತ್ತಿದ್ದರು.
"
"My grandmother was 101 years of age.
","ಈ ಅಜ್ಜನಿಗೆ 101 ವರ್ಷ ವಯಸ್ಸು.
"
"My grandmother was a history teacher.
","ನನ್ನ ಅಜ್ಜ ಇತಿಹಾಸದ ಶಿಕ್ಷಕರಾಗಿದ್ದರು.
"
"My grandmother was a school teacher before she married.
","ನನ್ನ ತಾಯಿ ವಿವಾಹಕ್ಕೂ ಮೊದಲು ಶಾಲಾ ಶಿಕ್ಷಕಿಯಾಗಿದ್ದವರು.
"
"My grandmother was also ill.
","ಅಮ್ಮ ಕೂಡ ಖಾಯಿಲೆ ಬಿದ್ದರು.
"
"My grandmother was an important part of my life.
","ನನ್ನ ಅಮ್ಮ ನನ್ನ ಜೀವನ ಮುಖ್ಯ ಭಾಗವಾಗಿದ್ದರು.
"
"My grandmother was born October 22.
","ಅಕ್ಟೋಬರ್ 22ಕ್ಕೆ ಮೊಮ್ಮಗ ಹುಟ್ಟಿದ.
"
