eng_Latn,kan_Knda
"Hamlet vows to avenge his father's death by killing his uncle Claudius.
","ಪ್ರೇತ ಕ್ಲೌಡಿಯಸ್ನನ್ನು ಕೊಲ್ಲುವ ಮೂಲಕ ತನ್ನ ತಂದೆಯ ಮರಣಕ್ಕೆ ಪ್ರತೀಕಾರ ನೀಡಲು ಹ್ಯಾಮ್ಲೆಟ್ನನ್ನು ಪ್ರೋತ್ಸಾಹಿಸುತ್ತಾನೆ.
"
"Harriet beecher stowe is remembered as the author of uncle tom's cabin, a book which helped build anti-slavery sentiment in america and abroad.
","ಹ್ಯಾರಿಯೆಟ್ ಬೀಚರ್ ಸ್ಟೊವ್ಅನ್ನು ಅಂಕಲ್ ಟಾಮ್ಸ್ ಕ್ಯಾಬಿನ್ನ ಲೇಖಕ ಎಂದು ಸ್ಮರಿಸಲಾಗುತ್ತದೆ, ಇದು ಅಮೇರಿಕಾದಲ್ಲಿ ಮತ್ತು ವಿದೇಶಗಳಲ್ಲಿ ಗುಲಾಮಗಿರಿ ವಿರೋಧಿ ಭಾವನೆ ನಿರ್ಮಿಸಲು ನೆರವಾಯಿತು.
"
"Harriet beecher stowe's uncle tom's cabin expresses her moral outrage at the institution of slavery and its destructive effects on both whites and blacks she portrays the evils of slavery.
","ಹ್ಯಾರಿಯೆಟ್ ಬೀಚರ್ ಸ್ಟೊವ್ ಅವರ ಅಂಕಲ್ ಟಾಮ್ಸ್ ಕ್ಯಾಬಿನ್ ಗುಲಾಮಗಿರಿ ಮತ್ತು ಬಿಳಿಯರು ಮತ್ತು ಕರಿಯರ ಮೇಲೆ ಅದರ ವಿನಾಶಕಾರಿ ಪರಿಣಾಮಗಳ ಸಂಸ್ಥೆಯಲ್ಲಿ ತನ್ನ ನೈತಿಕ ಆಕ್ರೋಶವನ್ನು ವ್ಯಕ್ತಪಡಿಸುತ್ತದೆ.
"
"He is also related to Urdu poet and literary critic Shamsur Rahman Faruqi who is his uncle.
","ಇವರು ಖ್ಯಾತ ಉರ್ದು ಕವಿ, ವಿಮರ್ಶಕ ಶಮ್ಸೂರ್ ರಹ್ಮಾನ್ ಫಾರೂಕಿ ಅವರ ಸಂಬಂಧಿ ಕೂಡ ಹೌದು.
"
"He was an uncle of Prince Philip, husband of Queen Elizabeth II.
","ಅವರು ಎಲಿಜಬೆತ್ II ರ ಪತಿ ಪ್ರಿನ್ಸ್ ಫಿಲಿಪ್ನ ಪೂರ್ವಜರಾಗಿದ್ದರು.
"
"He was the second player from the Hindu community to represent Pakistan team after his maternal uncle Anil Dalpat.
","ಅನಿಲ್ ದಲ್ಪತ್ ಬಳಿಕ ಪಾಕಿಸ್ತಾನ ತಂಡವನ್ನು ಪ್ರತಿನಿಧಿಸಿದ ಎರಡನೇ ಹಿಂದೂ ಇವರಾಗಿದ್ದಾರೆ.
"
"He's not my uncle by blood.
","ಹಾಗಂತ ಅವನೇನು ನನ್ನ ರಕ್ತ ಸಂಬಂಧಿಯೂ ಅಲ್ಲ.
"
"Her maternal uncles were the famous sculptor Sankha Chaudhury and Sachin Chaudhury , the founder and editor of the Economic and Political Weekly of India.
","ಹೆಸರಾಂತ ಶಿಲ್ಪಕಲೆಗಾರ ಸಂಖಾ ಚೌಧರಿ ಹಾಗು ಇನ್ನೊಬ್ಬರು ಸಚಿನ್ ಚೌಧರಿ, ಎಕಾನಾಮಿಕ್ ಅಂಡ್ ಪೊಲಿಟಿಕಲ್ ವೀಕ್ಲಿ ಆಫ್ ಇಂಡಿಯಾದ ಸಂಸ್ಥಾಪಕ ಸಂಪಾದಕರಾಗಿದ್ದರು.
"
"Her uncle died shortly after.
","ಇದಾದ ಕೆಲ ಹೊತ್ತಲ್ಲೇ ಮೊಮ್ಮಗ ಸಾವನ್ನಪ್ಪಿದ್ದಾನೆ.
"
"Her uncle had a camera.
","ಅಪ್ಪನ ಹತ್ತಿನ ಒಂದು ಕ್ಯಾಮೆರಾ ಇತ್ತು.
"
"His father and two uncles had served in the Indian Army.
","ಅವರ ತಂದೆ ಹಾಗೂ ಅಜ್ಜ, ಇಬ್ಬರು ಭಾರತೀಯ ವಾಯುದಳದಲ್ಲಿ ಸೇವೆ ಸಲ್ಲಿಸಿದವರು.
"
"His father, uncle and grandfather also were in the fire department.
","ಅವರ ತಂದೆ, ತಾತ, ಮುತ್ತಾತ ಕೂಡ ಸೇನೆಯಲ್ಲಿದ್ದವರೇ.
"
"His uncle Nasir Hussain was also a popular director in Bollywood.
","ಅವರ ಅಜ್ಜ ನಾಸಿರ್ ಹುಸೇನ್ ಒಂದು ಆಗಿತ್ತು ಪ್ರಸಿದ್ಧ ನಿರ್ದೇಶಕ.
"
"His uncle Nasir Hussain was the director.
","ಅವರ ಅಜ್ಜ ನಾಸಿರ್ ಹುಸೇನ್ ಒಂದು ಆಗಿತ್ತು ಪ್ರಸಿದ್ಧ ನಿರ್ದೇಶಕ.
"
"His uncle introduced him to the guitar and he started writing his own songs at the age of 14.
","ಅವನ ತಂದೆ ಗಿಟಾರ್ ನುಡಿಸಲು ಅವನಿಗೆ ಕಲಿಸಿದ ಮತ್ತು 14 ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ತಮ್ಮ ಮೊದಲ ಹಾಡನ್ನು ಬರೆದರು.
"
"His uncle taught him how to play guitar, and he penned his first songs at the age of 15.
","ಅವನ ತಂದೆ ಗಿಟಾರ್ ನುಡಿಸಲು ಅವನಿಗೆ ಕಲಿಸಿದ ಮತ್ತು 14 ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ತಮ್ಮ ಮೊದಲ ಹಾಡನ್ನು ಬರೆದರು.
"
"His uncle was Harilal J. Kania, the first Chief Justice of India.
","ಇವರ ತಂದೆ ಹೀರಾಲಾಲ್ ಜೆ. ಕಾನಿಯಾ ಭಾರತ ದ ಮುಖ್ಯ ನ್ಯಾಯಾಧೀಶರು.
"
"His uncle was a professor at the University of Genève.
","ಈತನ ತಂದೆ ಜಿನೇವಾ ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ಪ್ರಾಧ್ಯಾಪಕನಾಗಿದ್ದನು.
"
"His uncle was actor and singer Frank Stallone.
","ಇವರು ಒಬ್ಬ ನಟ ಹಾಗು ಸ೦ಗೀತಗಾರ ಫ್ರಾ೦ಕ್ ಸ್ಟಲ್ಲೋನ್ನ ಸಹೋದರ.
"
"His uncle, introduced him to the writings of Robert Burns, and historical Scottish heroes such as Robert the Bruce, William Wallace and Rob Roy.
","ಲಾಡರ್ ಕಾರ್ನೆಗೀಯವರಿಗೆ ರಾಬರ್ಟ್ ಬರ್ನ್ಸ್ ಅವರ ಬರಹಗಳು ಮತ್ತು ಐತಿಹಾಸಿಕ ಸ್ಕಾಟಿಶ್ ನಾಯಕರುಗಳಾದ ರಾಬರ್ಟ್ ದಿ ಬ್ರೂಸ್ , ವಿಲಿಯಂ ವ್ಯಾಲೇಸ್ ಮತ್ತು ರಾಬ್ ರೋಯ್ ಇನ್ನಿತರರ ಬರಹಗಳನ್ನು ಪರಿಚಯಿಸಿದರು.
"
"His uncle, too, was arrested.
","ಜೊತೆಗೆ ಈತನ ಆಂಟಿ ಚಿಕ್ಕಮ್ಮನನ್ನೂ ಬಂಧಿಸಿದರು.
"
"His uncles were doctors.
","ಅವರ ಪೋಷಕರು ವೈದ್ಯರು ಇದ್ದರು.
"
"However, her uncle Edward VIII abdicated the throne to marry American divorcee Wallis Simpson and her father became King George VI in 1936.
","ಎಲಿಜಬೆತ್ ಅವರ ಹಿರಿಯ ಸಹೋದರ ಎಡ್ವರ್ಡ್ VIII 1936 ರಲ್ಲಿ ಅಮೆರಿಕಾದ ವಿಚ್ಛೇದಿತ ವಾಲಿಸ್ ಸಿಂಪ್ಸನ್ ಅವರನ್ನು ಮದುವೆಯಾಗಲು ಅಧಿಕಾರ ತ್ಯಜಿಸಿದಾಗ, ಅಪ್ಪ ಜಾರ್ಜ್ VI ಅವರ ಅಧಿಕಾರ ಎಲಿಜಬೆತ್ ಗೆ ಬಂದು ರಾಣಿಯಾಗಿದ್ದರು.
"
"I was only staying with my uncle for 6 months.
","6 ತಿಂಗಳು ಮಾತ್ರ ನನ್ನ ಪತಿಯ ಜೊತೆಗಿದ್ದೆ.
"
"I'm not an uncle to anyone.
","ನಾನು ಯಾರಿಗೂ ಆನ್ಸರೇಬಲ್ ಅಲ್ಲ.
"
"If you believe what you have just read, then you must feel compelled to send it to every concerned parent or guardian, grandparents, uncles, aunts, whatever and whomever.
","ನೀವು ಈಗಲೇ ಓದಿದ್ದೀರಿ ಎಂದು ನೀವು ಭಾವಿಸಿದರೆ, ಸಂಬಂಧಪಟ್ಟ ಪೋಷಕರು ಅಥವಾ ಪೋಷಕರು, ತಾತ, ಅಮ್ಮಂದಿರು, ಚಿಕ್ಕಮ್ಮರು, ಏನೇ ಮತ್ತು ಯಾರನ್ನಾದರೂ ಕಳುಹಿಸಲು ನೀವು ಬಲವಂತವಾಗಿ ಅನುಭವಿಸಬೇಕು.
"
"If you believe what you have just read, then you must feel compelled to send to every concerned parent or guardian, grandparents, uncles, aunts, whatever and whomever.
","ನೀವು ಈಗಲೇ ಓದಿದ್ದೀರಿ ಎಂದು ನೀವು ಭಾವಿಸಿದರೆ, ಸಂಬಂಧಪಟ್ಟ ಪೋಷಕರು ಅಥವಾ ಪೋಷಕರು, ತಾತ, ಅಮ್ಮಂದಿರು, ಚಿಕ್ಕಮ್ಮರು, ಏನೇ ಮತ್ತು ಯಾರನ್ನಾದರೂ ಕಳುಹಿಸಲು ನೀವು ಬಲವಂತವಾಗಿ ಅನುಭವಿಸಬೇಕು.
"
"If you will remember, earlier in 2018, Punjab National Bank, India's second-largest state-run bank, said that two jewellery companies owned by Modi and his uncle Mehul Choksi had defrauded it of about $2.2 billion by raising credit from overseas branches of other Indian banks.
","ದೇಶದ ಎರಡನೇ ಅತಿದೊಡ್ಡ ಸರ್ಕಾರಿ ಸ್ವಾಮ್ಯದ ಬ್ಯಾಂಕ್ ಆಗಿರುವ ಪಂಜಾಬ್ ನ್ಯಾಷನಲ್ ಬ್ಯಾಂಕ್, 2018ರ ಆರಂಭದಲ್ಲಿ ಹೇಳಿಕೆ ನೀಡಿ, ಮೋದಿ ಹಾಗೂ ಮೆಹುಲ್ ಚೋಕ್ಸಿ ನೇತೃತ್ವದ ಎರಡು ಆಭರಣ ಸಂಸ್ಥೆಗಳು, ನಕಲಿ ಗ್ಯಾರೆಂಟಿಗಳನ್ನು ಬಳಸಿ 220 ಕೋಟಿ ಡಾಲರ್ ಸಾಲ ಪಡೆದು ವಂಚಿಸಿದ್ದಾರೆ ಎಂದು ಹೇಳಿತ್ತು.
"
"If your health insurance is tax deductible, taking a tax write-off for health insurance premiums can have a big impact on how much you owe uncle sam however, the rules about when health.
","ನಿಮ್ಮ ಆರೋಗ್ಯ ವಿಮೆಯು ತೆರಿಗೆ ಕಡಿತಗೊಳಿಸಿದ್ದರೆ, ಆರೋಗ್ಯ ವಿಮಾ ಕಂತುಗಳಿಗೆ ತೆರಿಗೆ ರವಾನೆ ತೆಗೆದುಕೊಳ್ಳುವಲ್ಲಿ ನೀವು ಅಂಕಲ್ ಸ್ಯಾಮ್ಗೆ ಎಷ್ಟು ಸಾಲ ನೀಡುತ್ತೀರಿ ಎಂಬುದರ ಮೇಲೆ ದೊಡ್ಡ ಪರಿಣಾಮವನ್ನು ಬೀರಬಹುದು.
"
"In 1936, her father rose to George VI after her uncle King Edward VIII abdicated the throne.
","1936 ರಲ್ಲಿ, ಜಾರ್ಜ್ VI ಅನಿರೀಕ್ಷಿತವಾಗಿ ತಮ್ಮ ಸಹೋದರ ಎಡ್ವರ್ಡ್ VIII ನ ನಡೆಯಿತು ಮತ್ತು ಅರಸಿಯಾದಳು.
"
"In 2002, Andre DiMera (posing as Tony) claimed that his uncle had died from injuries sustained from a car crash in Monte Carlo.
","2002 ರಲ್ಲಿ, ಆಂಡ್ರೆ ಡಿಮೆರಾ ತನ್ನ ಸೋದರಸಂಬಂಧಿ ಟೋನಿ ಎಂದು ಹೇಳುತ್ತಾ, ಮಾಂಟೆ ಕಾರ್ಲೊದಲ್ಲಿನ ಕಾರ್ ಅಪಘಾತದಿಂದಾಗಿ ಗಾಯಗೊಂಡಿದ್ದರಿಂದ ಸ್ಟೆಫಾನೊ ಸಾವನ್ನಪ್ಪಿದನೆಂದು ಸೇಲಂಗೆ ಹಿಂತಿರುಗಿದನು.
"
"In April 2018, a four-month-old baby was raped by the uncle in Rajwada area of Indore.
","""2018 ಏಪ್ರಿಲ್""""ನಲ್ಲಿ ಮಧ್ಯಪ್ರದೇಶದ ಇಂದೋರ್ನ ರಾಜವಾಡದಲ್ಲಿ ನಾಲ್ಕು ತಿಂಗಳ ಮಗುವನ್ನು ಯುವಕನೊಬ್ಬ ಅಪಹರಿಸಿ ಕಟ್ಟಡವೊಂದರಲ್ಲಿ ಅತ್ಯಾಚಾರ ಎಸಗಿ ಕೊಂದು ಹಾಕಿದ್ದ.""
"
"In a recent interview, Sridevi's uncle, Venugopal Reddy revealed a few unknown things about her life.
","ಇತ್ತೀಚಿಗೆ ವೇಣುಗೋಪಾಲ್ ರೆಡ್ಡಿ ಎನ್ನುವ ವ್ಯಕ್ತಿ ಶ್ರೀದೇವಿಯ ತಾನು ಶ್ರೀದೇವಿ ಅಂಕಲ್ ಎಂದು ಹೇಳಿ ಆಕೆಯ ವೈಯಕ್ತಿಕ ಬದುಕಿನ ಕೆಲವು ಶಾಕಿಂಗ್ ವಿಷಯಗಳನ್ನು ತಿಳಿಸಿದ್ದರು ಈ ಮೂಲಕ ಗಮನ ಸೆಳೆದು ಸುದ್ದಿಯಲ್ಲಿದ್ದರು.
"
"Indhudhar (24), his father Venkatanarayanan (51) both from Mysore and his uncle R V Venkatesh (51) were on a tour to Kerala along with others.
","ಇಂಧುಧರ್ (24), ಅವರ ತಂದೆ ವೆಂಕಟನಾರಾಯಣ್ (51) ಹಾಗೂ ಅವರ ಸಂಬಂಧಿ ಆರ್. ವಿ. ವೆಂಕಟೇಶ್ (51) ಅವರು ಮೃತ ದುರ್ದೈವಿಗಳು.
"
"Initially raised as a Protestant by his parents, he was sent to a Jesuit school in Olmütz by his uncle after their death.
","ಆರಂಭದಲ್ಲಿ ಆತನ ಹೆತ್ತವರು ಪ್ರೋಟೆಸ್ಟೆಂಟ್ ಆಗಿ ಬೆಳೆದ ಅವರು ತಮ್ಮ ಮರಣದ ನಂತರ ಓಲ್ಮೌಟ್ಜಿನಲ್ಲಿನ ಜೆಸ್ಯೂಟ್ ಶಾಲೆಗೆ ಕಳುಹಿಸಲ್ಪಟ್ಟರು.
"
"It could be mom's, dad's, aunt's, uncle's, cousin's, neighbor's or friend's.
","ಅದು ಅಮ್ಮನ ಅಪ್ಪುಗೆಯಾಗಿರಬಹುದು, ತಂದೆಯ ಆಲಿಂಗನವಾಗಿರಬಹುದು, ಗೆಳೆಯ, ಗೆಳತಿ, ಸಂಗಾತಿಯ ಬೆಸುಗೆಯಾಗಿರಬಹುದು.
"
"It was at that time that my uncle got married.
","ಆ ವೇಳೆಗೆ ನನ್ನ ಅಕ್ಕನಿಗೆ ಮದುವೆ ಆಯಿತು.
"
"John Fanning, uncle of Shawn in Hull, Massachusetts, is responsible for all operations of the company during the period that had its office in Nantasket Beach.
","ಮೆಸಾಚುಸೆಟ್ಸ್ನ ಹಲ್ನಲ್ಲಿರುವ ಶಾನ್ನ ಅಂಕಲ್ ಜಾನ್ ಫಾನ್ನಿಂಗ್ ನಾಂಟಾಸ್ಕೆಟ್ ಬೀಚ್ನಲ್ಲಿರುವ ತಮ್ಮ ಕಚೇರಿಯ ಅವಧಿಯಲ್ಲಿ ಕಂಪನಿಯ ಎಲ್ಲಾ ಕಾರ್ಯಚಟುವಟಿಕೆಗಳನ್ನು ನೋಡಿಕೊಳ್ಳುತ್ತಿದ್ದರು.
"
"Justinian's childless uncle became the Roman Emperor Justin I in A.D. 518.
","ಜಸ್ಟಿನಿಯನ್ ಅವರ ಪುಟ್ಟ ಮಗಳು AD 518 ರಲ್ಲಿ ರೋಮನ್ ಚಕ್ರವರ್ತಿ ಜಸ್ಟಿನ್ I ಆಗಿ ಮಾರ್ಪಟ್ಟರು.
"
"Kaneria, only the second Hindu to play for Pakistan after his maternal uncle Anil Dalpat, took 261 wickets in 61 Tests at an average of 34.79.
","ಅನಿಲ್ ದಳಪತ್ ಅವರ ಬಳಿಕ ಪಾಕಿಸ್ತಾನ ತಂಡವನ್ನು ಪ್ರತಿನಿಧಿಸಿದ ಎರಡನೇ ಹಿಂದೂ ಆಟಗಾರ ಎಂಬ ಕೀರ್ತಿ ಪಡೆದಿರುವ ದಾನಿಶ್ ಕನೇರಿಯಾ, ಪಾಕ್ ಪರ 61 ಟೆಸ್ಟ್ ಪಂದ್ಯಗಳನ್ನು ಆಡಿದ್ದು 34.79ರ ಸರಾಸರಿಯಲ್ಲಿ 261 ವಿಕೆಟ್ಗಳನ್ನು ಉರುಳಿಸಿದ್ದಾರೆ.
"
"Kaneria, only the second Hindu to play for Pakistan after his maternal uncle Anil Dalpat, took 261 wickets in 61 tests with an average of 34.79.
","ಅನಿಲ್ ದಳಪತ್ ಅವರ ಬಳಿಕ ಪಾಕಿಸ್ತಾನ ತಂಡವನ್ನು ಪ್ರತಿನಿಧಿಸಿದ ಎರಡನೇ ಹಿಂದೂ ಆಟಗಾರ ಎಂಬ ಕೀರ್ತಿ ಪಡೆದಿರುವ ದಾನಿಶ್ ಕನೇರಿಯಾ, ಪಾಕ್ ಪರ 61 ಟೆಸ್ಟ್ ಪಂದ್ಯಗಳನ್ನು ಆಡಿದ್ದು 34.79ರ ಸರಾಸರಿಯಲ್ಲಿ 261 ವಿಕೆಟ್ಗಳನ್ನು ಉರುಳಿಸಿದ್ದಾರೆ.
"
"Lal Bihari's father had died when he was very young and his uncle had bribed the government officials to register him as dead to get the ownership of Bihari's ancestral land.
","ಲಾಲ್ ಬಿಹಾರಿ ಚಿಕ್ಕವನಿರುವಾಗಲೇ ಆತನ ತಂದೆ ಸಾವನ್ನಪ್ಪಿದ್ದು, ಆಸ್ತಿ ಹೊಡೆದುಕೊಳ್ಳುವ ಸಲುವಾಗಿ ಆತನ ಸಂಬಂಧಿಕನೊಬ್ಬ ಸರ್ಕಾರಿ ನೌಕರನೊಬ್ಬನಿಗೆ ಲಂಚದ ಹಣ ನೀಡಿ ಸರ್ಕಾರಿ ದಾಖಲೆಗಳಲ್ಲಿ ಲಾಲ್ ಬಿಹಾರಿಯನ್ನು ಸಾಯಿಸಿರುತ್ತಾನೆ.
"
"Lauder College (named after his uncle who encouraged him to get an education) in the Halbeath area of Dunfermline was renamed Carnegie College in 2007.
","ಡನ್ಫರ್ಮ್ಲಿನ್ನಿನ ಹಾಲ್ಬೆತ್ ಪ್ರದೇಶದಲ್ಲಿದ್ದ (ತಮ್ಮ ಶಿಕ್ಷಣಕ್ಕೆ ಪ್ರೋತ್ಸಾಹ ನೀಡಿದ ಅಂಕಲ್ ಲಾಡೆರ್ನ ನೆನಪಿಗೆ ಇಡಲಾಗಿದ್ದ) ಲಾಡೆರ್ ಕಾಲೇಜ್ ಅನ್ನು 2007ರಲ್ಲಿ ಕಾರ್ನೆಗೀ ಕಾಲೇಜ್ ಎಂದು ಮರುನಾಮಕರಣ ಮಾಡಲಾಗಿದೆ.
"
"Lauder College (named after his uncle who encouraged him to get an education) in the Halbeth area of Dunfermline was renamed Carnegie College in 2007 in his honor.
","ಡನ್ಫರ್ಮ್ಲಿನ್ನಿನ ಹಾಲ್ಬೆತ್ ಪ್ರದೇಶದಲ್ಲಿದ್ದ (ತಮ್ಮ ಶಿಕ್ಷಣಕ್ಕೆ ಪ್ರೋತ್ಸಾಹ ನೀಡಿದ ಅಂಕಲ್ ಲಾಡೆರ್ನ ನೆನಪಿಗೆ ಇಡಲಾಗಿದ್ದ) ಲಾಡೆರ್ ಕಾಲೇಜ್ ಅನ್ನು 2007ರಲ್ಲಿ ಕಾರ್ನೆಗೀ ಕಾಲೇಜ್ ಎಂದು ಮರುನಾಮಕರಣ ಮಾಡಲಾಗಿದೆ.
"
"Lauder College (named after his uncle who encouraged him to get an education) in the Halbeth area of Dunfermline was renamed Carnegie College in 2007.
","ಡನ್ಫರ್ಮ್ಲಿನ್ನಿನ ಹಾಲ್ಬೆತ್ ಪ್ರದೇಶದಲ್ಲಿದ್ದ (ತಮ್ಮ ಶಿಕ್ಷಣಕ್ಕೆ ಪ್ರೋತ್ಸಾಹ ನೀಡಿದ ಅಂಕಲ್ ಲಾಡೆರ್ನ ನೆನಪಿಗೆ ಇಡಲಾಗಿದ್ದ) ಲಾಡೆರ್ ಕಾಲೇಜ್ ಅನ್ನು 2007ರಲ್ಲಿ ಕಾರ್ನೆಗೀ ಕಾಲೇಜ್ ಎಂದು ಮರುನಾಮಕರಣ ಮಾಡಲಾಗಿದೆ.
"
"Let me go, uncle.
","ಬಿಡು ಅಜ್ಜಾ ನನ್ನ.
"
"Like his uncle Mr Modi fled India in 2018 and is currently in the United Kingdom.
","ಚೋಕ್ಸಿ ಅವರಂತೆಯೇ ಮೋದಿ ಕೂಡ 2018 ರಲ್ಲಿ ಭಾರತದಿಂದ ಪಲಾಯನ ಮಾಡಿ, ಪ್ರಸ್ತುತ ಬ್ರಿಟನ್ ದೇಶದಲ್ಲಿದ್ದಾರೆ.
"
"Marriages between ascendants and descendants and marriages between collaterals within the fourth degree (i.e., siblings, aunt and nephew, uncle and niece, first cousins) are prohibited.
","ಪೂರ್ವಿಕರು ಹಾಗು ವಂಶಜರ ನಡುವೆ ವಿವಾಹಗಳನ್ನು ಹಾಗು ನಾಲ್ಕನೇ ತಲೆಮಾರುಗಳೊಳಗಿನ ದಾಯಾದಿಗಳ ನಡುವಿನ ವಿವಾಹಗಳನ್ನು (ಅದೆಂದರೆ, ಒಡಹುಟ್ಟಿದವರು, ತಂದೆ ಅಥವಾ ತಾಯಿಯ ಸೋದರಿ (ಆಂಟ್) ಹಾಗು ಸೋದರಳಿಯ ನಡುವಿನ ವಿವಾಹ, ತಂದೆ ಅಥವಾ ತಾಯಿಯ ಸೋದರ (ಅಂಕಲ್) ಹಾಗು ಅವರ ಸೋದರಸೊಸೆಯ ನಡುವಿನ ವಿವಾಹ, ಸೋದರ ಸಂಬಂಧಿಗಳ ನಡುವೆ ವಿವಾಹ) ನಿಷೇಧಿಸಲಾಗಿದೆ.
"
"Marriages between ascendants and descendants and marriages between collaterals within the fourth degree (i.e., siblings, aunt and nephew, uncle and niece, first cousins) are prohibited.[11]
","ಪೂರ್ವಿಕರು ಹಾಗು ವಂಶಜರ ನಡುವೆ ವಿವಾಹಗಳನ್ನು ಹಾಗು ನಾಲ್ಕನೇ ತಲೆಮಾರುಗಳೊಳಗಿನ ದಾಯಾದಿಗಳ ನಡುವಿನ ವಿವಾಹಗಳನ್ನು (ಅದೆಂದರೆ, ಒಡಹುಟ್ಟಿದವರು, ತಂದೆ ಅಥವಾ ತಾಯಿಯ ಸೋದರಿ (ಆಂಟ್) ಹಾಗು ಸೋದರಳಿಯ ನಡುವಿನ ವಿವಾಹ, ತಂದೆ ಅಥವಾ ತಾಯಿಯ ಸೋದರ (ಅಂಕಲ್) ಹಾಗು ಅವರ ಸೋದರಸೊಸೆಯ ನಡುವಿನ ವಿವಾಹ, ಸೋದರ ಸಂಬಂಧಿಗಳ ನಡುವೆ ವಿವಾಹ) ನಿಷೇಧಿಸಲಾಗಿದೆ.
"
"May 01, 1146 - Conrad III (first German king of the Hohenstaufen dynasty and uncle of Frederick I Barbarossa, an early leader of the Third Crusade) personally leads German forces into the Second Crusade, but his army would be almost completely destroyed during their crossing of the plains of Anatolia.
","ಮೇ 01, 1146 ಕಾನ್ರಾಡ್ III (ಹೋಹೆನ್ಸ್ಟಾಫುನ್ ರಾಜವಂಶದ ಮೊದಲ ಜರ್ಮನ್ ರಾಜ ಮತ್ತು ಮೂರನೆಯ ಕ್ರುಸೇಡ್ನ ಮುಂಚಿನ ನಾಯಕನಾದ ಫ್ರೆಡೆರಿಕ್ ಐ ಬಾರ್ಬರೋಸಾ ಅವರ ಮಾತೃ) ಜರ್ಮನ್ ಸೈನ್ಯವನ್ನು ಎರಡನೆಯ ಕ್ರುಸೇಡ್ ಆಗಿ ವೈಯಕ್ತಿಕವಾಗಿ ದಾರಿ ಮಾಡುತ್ತಾನೆ, ಆದರೆ ಅವರ ಸೈನ್ಯವು ಸಂಪೂರ್ಣವಾಗಿ ದಾಟಿಹೋದಾಗ ಅನಟೋಲಿಯಾ ಬಯಲು.
"
"Modi and his uncle, Mehul Choksi, are the main accused in Punjab National Bank (PNB) scam.
","ಪಿಎನ್ಬಿ ಬ್ಯಾಂಕ್ ಗೆ ವಂಚನೆ ಎಸಗಿದ ಪ್ರಕರಣದಲ್ಲಿ ಮೋದಿ ಮತ್ತು ಅವರ ಸಂಬಂಧಿ ಮೆಹುಲ್ ಚೋಕ್ಸಿ ಮುಖ್ಯ ಆರೋಪಿಗಳಾಗಿದ್ದಾರೆ.
"
"Modi, like his uncle, fled India in 2018 and is now in the United Kingdom.
","ಚೋಕ್ಸಿ ಅವರಂತೆಯೇ ಮೋದಿ ಕೂಡ 2018 ರಲ್ಲಿ ಭಾರತದಿಂದ ಪಲಾಯನ ಮಾಡಿ, ಪ್ರಸ್ತುತ ಬ್ರಿಟನ್ ದೇಶದಲ್ಲಿದ್ದಾರೆ.
"
"My brother, father & uncle were all cremated.
","ನನ್ನ ತಾತ, ಮುತ್ತಾತ, ಅಂಕಲ್ಗಳೆಲ್ಲರೂ ಕ್ಷೌರಿಕರಾಗಿದ್ರು.
"
"My cousin uncle lived for 50 years.
","ಅಜ್ಜಿ ಅಜ್ಜ 50 ವರ್ಷಗಳ ಕಾಲ ಅನ್ಯೋನ್ಯತೆಯಿಂದ ಬಾಳಿದವರು.
"
"My first recollection of my uncle was when I was quite young.
","ಅಪ್ಪನ ಹೆಣ ಒಯ್ತಾ ಇದ್ದಿದ್ದು ನನ್ನ ಚಿಕ್ಕ ವಯಸ್ಸಿನ ಮೊಟ್ಟ ಮೊದಲ ನೆನಪು.
"
"My grandmother, my uncles, my cousins, everyone saw it.
","ನನ್ನಮ್ಮ, ನನ್ನವಳು, ನನ್ನಪುಟ್ಟಿ ಎಲ್ಲರೂ ಕಾಣಿಸಿದರು.
"
"My one uncle is an actor.
","ನನ್ನ ಅಂಕಲ್ ಒಬ್ಬ ನಟ.
"
"My uncle also had two sons at home.
","ಅಜ್ಜಿ ಇಬ್ಬರು ಗಂಡು ಮಕ್ಕಳು ಸಹ ಅದೇ ಮನೆಯಲ್ಲಿದ್ದರು.
"
"My uncle and grandfather live there.
","ಅಲ್ಲಿ ನನ್ನ ಅಜ್ಜ ಮತ್ತು ಅಜ್ಜಿ ವಾಸಿಸುತ್ತಾರೆ.
"
"My uncle died that afternoon at 2:30.
","ಅಂದು ರಾತ್ರಿ 2.30ರ ಹೊತ್ತಿಗೆ ತಂದೆ ನಿಧನರಾದರು.
"
"My uncle gave me this engine some 20 years ago.
","20 ವರ್ಷದ ಹಿಂದೆ ಈ ಸ್ಕೂಟರ್ ಅನ್ನು ನನ್ನ ತಂದೆ ನನಗೆ ನೀಡಿದ್ದರು.
"
"My uncle is an actor.
","ನನ್ನ ಅಂಕಲ್ ಒಬ್ಬ ನಟ.
"
"My uncle was a cab driver in New York.
","ತಂದೆ ನ್ಯೂಯಾರ್ಕ್ ನಲ್ಲಿ ಕ್ಯಾಬ್ ಡ್ರೈವರ್ ಆಗಿದ್ದವರು.
"
"My uncle was an actor.
","ನನ್ನ ಅಂಕಲ್ ಒಬ್ಬ ನಟ.
"
