eng_Latn,guj_Gujr
"In 1995, when Gonzales died in Las Vegas, Agassi paid for his former brother-in-law's funeral.
","1995માં, જ્યારે ગોન્ઝાલેઝ લાસ વેગાસમાં મૃત્યુ પામ્યો ત્યારે અગાસીએ અંતિમ વિધીના નાણાં ચૂકવ્યા.
"
"In the video you can see the groom standing up after completing the wedding ceremony, but then suddenly some of the in-laws approached his brother-in-law and instead of stealing shoes from him, the in-laws took a bet to pull the shoes off their feet.
","વીડિયોમાં તમે જોઈ શકો છો કે લગ્ન સમારોહ પૂરો કર્યા પછી વરરાજા ઊભો છે, પરંતુ પછી અચાનક કેટલીક સાળીઓ તેમના જીજા પાસે પહોંચી જાય છે અને તેની પાસેથી પગરખાં ચોરવાને બદલે તેમના પગમાંથી જ જૂતા ખેંચી લેવા માટે સાળીઓમાં હોડ લાગી હતી.
"
"In this movie, Salman is launching his brother-in-law Aayush Sharma.
","આ ફિલ્મ દ્વારા સલમાન પોતાની બહેન અર્પિતાના પતિ આયુષ શર્માને લોન્ચ કરી રહ્યો છે.
"
"Indian police also think that a fake company set up by Kundra and his brother-in-law was registered in the UK to avoid India's tough cyber-laws.
","ભારતીય પોલીસ એ પણ વિચારે છે કે ભારતના કડક સાયબર-કાયદાઓથી બચવા માટે કુંદ્રા અને તેના સાળા દ્વારા સ્થાપવામાં આવેલી નકલી કંપની યુકેમાં નોંધાયેલી હતી.
"
"Indian police believe that a fake company set up byRaj Kundra and his brother-in-law was registered in the UK to avoid India's tough cyber-laws.
","ભારતીય પોલીસ એ પણ વિચારે છે કે ભારતના કડક સાયબર-કાયદાઓથી બચવા માટે કુંદ્રા અને તેના સાળા દ્વારા સ્થાપવામાં આવેલી નકલી કંપની યુકેમાં નોંધાયેલી હતી.
"
"Instead, two additional girls began to show some afflictions: Ann Putnam Jr., connected to Mary Sibley through her husband's brother-in-law, and Elizabeth Hubbard.
","તેના બદલે, બે વધારાના છોકરીઓએ કેટલીક તકલીફો બતાવવાનું શરૂ કર્યુંઃ એન પુટનેમ જુનિયર, મેરી સિબલી સાથે તેમના પતિના ભાભી અને એલિઝાબેથ હૂબાર્ડ દ્વારા જોડાયેલા.
"
"It is translated by English refugees and published by John Calvin 's brother-in-law, William Whittingham.
","તે ઇંગલિશ શરણાર્થીઓ દ્વારા અનુવાદિત છે અને જ્હોન કેલ્વિનના ભાભી, વિલિયમ વ્હીટિંગહામ દ્વારા પ્રકાશિત.
"
"It is translated by English refugees and published by John Calvin's brother-in-law, William Whittingham.
","તે ઇંગલિશ શરણાર્થીઓ દ્વારા અનુવાદિત છે અને જ્હોન કેલ્વિનના ભાભી, વિલિયમ વ્હીટિંગહામ દ્વારા પ્રકાશિત.
"
"It would not be wrong to say that this brother-in-law couple is the most famous in Bollywood.
","આ કહેવું ખોટું નહી થાય કે આ ભાઈ-બહેન ની જોડી બોલીવુડ માં સૌથી વધારે ક્યુટ છે.
"
"Joseph Lange - Vienna actor and painter; Mozart's brother-in-law
","જોસેફ લેંગ - વિયેના અભિનેતા અને ચિત્રકાર; મોઝાર્ટનું ભાભું
"
"Larry Zbyszko: not related to Stanislaus Zbyszko, married to Kathleen Gagne, son-in-law of Verne and brother-in-law of Greg Gagne
","લેરી ઝબિસ્ઝોઃ સ્ટેનિસ્લોસ ઝબિસ્ઝ્કો સાથે સંબંધિત નથી, કેથલીન ગેગ્ને સાથે લગ્ન કર્યા છે, વર્નેના જમાઈ અને ગ્રેગ ગગનના ભાભી
"
"Meanwhile, a special PMLA court on Tuesday took cognisance of the ED chargesheet and issued non-bailable warrants against Modi, his brother, father, sister and brother-in-law, among others.
","આ વચ્ચે એક સ્પેશિયલ પીએમએલએ કોર્ટે મંગળવારે ઈડીની ચાર્જસીટ પરથી ધડો લઈને નીરવ મોદી, તેના ભાઈ, પિતા, બહેન અને જીજા સહિત અન્યની વિરુદ્ધ વોરન્ટ જારી કર્યું છે.
"
"Meanwhile, he also came to know that six members of the family - parents, wife, brother, sister-in-law and brother-in-law of the deceased had come in contact with him.
","તે દરમિયાન તેને એ પણ ખબર પડી હતી કે મૃતકના પરિવારના છ સભ્યો - માતા-પિતા, પત્ની, ભાઈ, ભાભી અને ભાભી તેના સંપર્કમાં આવ્યા છે.
"
"Moving on to his extended family, we know of Jan Gunnar Eide who poses as Haaland's brother-in-law (married to Gabrielle).
","તેમના વિસ્તૃત પરિવારમાં આગળ વધતાં, આપણે જાન ગન્નર arઇડને જાણીએ છીએ જેણે હાલાન્ડના ભાભી (ગેબ્રીએલી સાથે લગ્ન) તરીકેની રજૂઆત કરી હતી.
"
"My brother-in-law is here !
","મારો મહેબૂબ અહીં!
"
"My brother-in-law is here!
","મારો મહેબૂબ અહીં!
"
"My dear brother-in-law, as long as you keep taking my side when I argue with your sister, you will keep receiving cool gifts on your birthday.
","મારા વહાલા ભાઈ ઈન કાયદો છે, જ્યાં સુધી તમે મારી બાજુ લઈ જ્યારે હું તમારી બહેન સાથે દલીલ હોય રાખવા માટે, તમે તમારા જન્મદિવસ પર ઠંડી ભેટ પ્રાપ્ત રાખશે.
"
"My dear brother-in-law, as long as you keep taking my side when I have an argument with your sister, you will keep receiving cool gifts on your birthday.
","મારા વહાલા ભાઈ ઈન કાયદો છે, જ્યાં સુધી તમે મારી બાજુ લઈ જ્યારે હું તમારી બહેન સાથે દલીલ હોય રાખવા માટે, તમે તમારા જન્મદિવસ પર ઠંડી ભેટ પ્રાપ્ત રાખશે.
"
"My dear brother-in-law, till you keep taking my side when I am having an argument with your sister, you will keep receiving cool gifts on your birthday.
","મારા વહાલા ભાઈ ઈન કાયદો છે, જ્યાં સુધી તમે મારી બાજુ લઈ જ્યારે હું તમારી બહેન સાથે દલીલ હોય રાખવા માટે, તમે તમારા જન્મદિવસ પર ઠંડી ભેટ પ્રાપ્ત રાખશે.
"
"My mom, dad, sister and brother-in-law arrive tomorrow.
","આવતી કાલથી મારી મમ્મી, પપ્પા, મારા સાસુ અને સાળા અહિં આવશે.
"
"My parents health is good, my brothers are well-settled, I have a great brother-in-law and my own career is doing fine.
","મારા માતા-પિતાનું સ્વાસ્થ્ય સારુ છે, મારા ભાઈઓ વેલ સેટલ્ડ છે, મારા બહેનને સારો પતિ મળ્યો છે અને મારી પોતાની કારકીર્દિ પણ સારી છે.
"
"My parents' health is good, my brothers are well-settled, I have a great brother-in-law and my own career is doing fine.
","મારા માતા-પિતાનું સ્વાસ્થ્ય સારુ છે, મારા ભાઈઓ વેલ સેટલ્ડ છે, મારા બહેનને સારો પતિ મળ્યો છે અને મારી પોતાની કારકીર્દિ પણ સારી છે.
"
"On August 26, another group of protesters pillaged and virtually destroyed the stately Boston home of Lieutenant Governor Thomas Hutchinson - Oliver's brother-in-law.
","26 મી ઑગસ્ટે, વિરોધીઓના એક જૂથએ લૂઈટેનન્ટ ગવર્નર થોમસ હચિસનની ઓલિવરના ભાભીના ઘરની શાનદાર બોસ્ટન ઘરને લૂંટી લીધું હતું.
"
"On November 23, 2019, two suspects were arrested, including Hira's brother-in-law Ehsan.
","23 નવેમ્બર, 2019 ના રોજ, હિરાના ભાભી એહસાન સહિત બે શંકાસ્પદ લોકોની ધરપકડ કરવામાં આવી હતી.
"
"One day she asked for maintenance money, he began beating her and his brother and brother-in-law joined in.
","એક દિવસ તેણે મેન્ટેનન્સના પૈસા માંગ્યા ત્યારે તેણે તેને માર મારવાનું શરૂ કરી દીધું અને તેના ભાઈ અને ભાભી તેમાં જોડાયા.
"
"One of them was his wife and the other one was his brother-in-law.
","એક તેની પત્ની હતી તો બીજી તેની ગર્લફ્રેન્ડ.
"
"Or, deal with a brother-in-law who insists he is RIGHT all the time, dismissing any of your ideas or beliefs?
","અથવા, કોઈ ભાઈ કે બહેન સાથે વાત કરો જે કહે છે કે તે હંમેશા તમારા વિચારો અથવા માન્યતાઓને બરતરફ કરે છે?
"
"Police suspected that Aditya Alva may have been hiding in his brother-in-law's house.
","પોલીસને આશંકા હતી કે આદિત્ય અલ્વા તેની જીજાનાઘરે સંતાઈ શકે છે.
"
"Powhatan sent an uncle of pocahontas and two of her brothers to the april 1614 wedding a brother-in-law and some young women,.
","પોવાહાતનએ પોકાહોન્ટાસ અને તેના બે ભાઈઓના એક કાકા એપ્રિલ 1614 ના લગ્નમાં મોકલ્યા.
"
"Presently in England, Fabinho currently lives with his sister and brother-in-law who take care of his football affairs.
","હાલ ઈંગ્લેન્ડમાં, ફબિનોહ હાલમાં તેની બહેન અને ભાભી સાથે રહે છે, જેઓ તેમના ફૂટબોલ બાબતોની સંભાળ લે છે.
"
"Prison officials explained that Sarabjit had visited the jail to see her brother-in-law, however, they did not know that she was carrying drugs.
","જેલ અધિકારીઓએ સમજાવ્યું હતું કે સરબજીત તેની ભાભીને જોવા જેલની મુલાકાતે આવ્યો હતો, જો કે, તેઓ જાણતા ન હતા કે તે ડ્રગ્સ લઈ રહી છે.
"
"Produced by Sharma's brother-in-law Salman Khan, the film has acclaimed over 10 crores at the Indian box office.
","શર્માના ભાભિયા દ્વારા બનાવવામાં આવેલ સલમાન ખાન, આ ફિલ્મે ભારતીય બ officeક્સ officeફિસ પર 10 કરોડથી વધુ વખાણ કર્યા છે.
"
"Reportedly, Raj Kundra had sold the app in question to a UK-based company Kenrin Pvt Ltd which was owned by his brother-in-law Pradeep Bakshi.
","આરોપ અનુસાર રાજ કુંદ્રાએ એપ એક યુનાઈટેડ કિંગ્ડમની કંપની કેનરીન પ્રાઇવેટ લિમિટેડને વેચી દીધી હતી જે તેમના સાળા પ્રદીપ બક્ષીની માલિકીની છે.
"
"Rishi Kapoor's widow Neetu Kapoor paid tribute to her brother-in-law by sharing an image of him to her Instagram account on Tuesday, February 9, 2021.
","Iષિ કપૂરની વિધવા નીતુ કપૂર મંગળવાર, 9 ફેબ્રુઆરી, 2021 ના રોજ તેના ઈંસ્ટાગ્રામ એકાઉન્ટ પર તેની ભાભીની એક છબી શેર કરીને તેના ભાભીને શ્રદ્ધાંજલિ આપી.
"
"Robert Hoffmeyer immediately asked his brother-in-law to get in the car and as they both got inside the car to be safe, they began to record the scene.
","રોબર્ટ હોફ્મયરે તરત જ તેના બહેનોઈને કારમાં બેસવાનું કહ્યું અને તેઓ બન્ને સલામત રહેવા માટે કારની અંદર ગયા, તેઓએ તે દ્રશ્ય રેકોર્ડ કરવાનું શરૂ કર્યું.
"
"Salman's brother-in-law Ayush married his sister Arpita in 2014.
","વર્ષ ર૦૧૪માં સલમાનની બહેન અર્પિતાએ તેમના પુત્ર આયુષ સાથે લગ્ન કર્યા હતા.
"
"Sarabjit tried to smuggle the drugs into prison in order to give to her brother-in-law.
","સરબજીતે તેની સાળી-વહુને આપવા માટે ડ્રગ્સને જેલમાં લઈ જવાનો પ્રયાસ કર્યો હતો.
"
"Scott began working with an Australian golf instructor, Brad Malone, who later also became Scott's brother-in-law.
","સ્કોટ ઑસ્ટ્રેલિયન ગોલ્ફ પ્રશિક્ષક, બ્રેડ માલોન સાથે કામ કરવાનું શરૂ કર્યું, જે બાદમાં સ્કોટના ભાભી બન્યું.
"
"Seeking a new post, Beauregard received aid from his brother-in-law, Senator John Slidell, in obtaining an assignment as the superintendent of West Point on January 23, 1861.
","નવી પોસ્ટની શોધમાં, બેઉરેગર્ડે 23 જાન્યુઆરી, 1861 ના રોજ વેસ્ટ પોઇન્ટના અધીક્ષક તરીકેની સોંપણી મેળવવા માટે તેમના સાળા, સેનેટર જ્હોન સ્લાઇડેલ પાસેથી સહાય મેળવ્યા.
"
"She claimed her husband and brother-in-law were suspended from the Delhi Police on December 28, 2018, for a criminal case involving a colony dispute dating back to 2012 that had been mutually resolved.
","મહિલાના પતિ અને પતિના ભાઈને 28 ડિસેમ્બર 2018એ વર્ષ 2012માં થયેલ એક કોલોનીના ઝઘડા માટે દાખલ કરવામાં આવેલ કેસ ચાલતો હોવાથી સસ્પેન્ડ કરવામાં આવ્યા હતા.
"
"She eventually went to the wonderful word of god and prayed about it and prayed and finally she got her answer and I now 2 nieces and a great god fearing brother-in-law !!
","છેવટે ઈશ્વરના અદ્ભુત શબ્દ ગયા અને તે વિશે પ્રાર્થના અને પ્રાર્થના અને છેલ્લે તે હવે તેના જવાબ અને હું મળી 2 nieces અને એક મહાન દેવ ભાઇ ઈન કાયદો ભય!
"
"She had tried to stop her brother-in-law and asked him to leave.
","તેણીએ તેની ભાભીને રોકવાનો પ્રયત્ન કર્યો હતો અને તેને ત્યાંથી જવા કહ્યું હતું.
"
"She lobbied authorities including Members of Parliament -- a brother-in-law was elected to Parliament in 1818 and became a supporter of her reforms.
","તેણીએ સંસદના સભ્યો સહિત સત્તાવાળાઓનું લોબિંગ કર્યું હતું - 1818 માં ભાભેલા સંસદ સંસદ માટે ચૂંટાયા હતા અને તેમના સુધારાના ટેકેદાર બન્યા હતા.
"
"Shilpa Shetty mentioned that it was London-based wished accused and Raj Kundra's brother-in-law Pradeep Bakshi who was related to the app and its working.
","શિલ્પા શેટ્ટીએ આગળ કહ્યુ કે આ લંડન સ્થિત આરોપી અને રાજ કુંદ્રાના બહેનોઇ પ્રદીપ બખ્શી હતા જે એપ અને તેના કામકાજ સાથે જોડાયેલા હતા.
"
"Shilpa Shetty said that it was London-based wanted accused and Raj Kundra's brother-in-law Pradeep Bakshi who was involved with the app and its functioning.
","શિલ્પા શેટ્ટીએ આગળ કહ્યુ કે આ લંડન સ્થિત આરોપી અને રાજ કુંદ્રાના બહેનોઇ પ્રદીપ બખ્શી હતા જે એપ અને તેના કામકાજ સાથે જોડાયેલા હતા.
"
"Shilpa Shetty said that was London-based and Raj Kundra's brother-in-law Pradeep Bakshi was involved with HotShots app and its functioning.
","શિલ્પા શેટ્ટીએ આગળ કહ્યુ કે આ લંડન સ્થિત આરોપી અને રાજ કુંદ્રાના બહેનોઇ પ્રદીપ બખ્શી હતા જે એપ અને તેના કામકાજ સાથે જોડાયેલા હતા.
"
"Shilpa Shetty says that Pradeep Bakshi, the London-based wanted accused and Raj Kundra's brother-in-law, who was involved with the app and its functioning is the master mind in the issue.
","શિલ્પા શેટ્ટીએ આગળ કહ્યુ કે આ લંડન સ્થિત આરોપી અને રાજ કુંદ્રાના બહેનોઇ પ્રદીપ બખ્શી હતા જે એપ અને તેના કામકાજ સાથે જોડાયેલા હતા.
"
"Sid Davis is Essie's brother, and therefore Nat's brother-in-law and uncle to the Miller children.
","સિદ ડેવિસ એસેના ભાઇ છે, અને તેથી નેટના ભાભી અને મિલર બાળકોને કાકા.
"
"Sid davis is essie's brother, and therefore nat's brother-in-law and uncle to the miller children.
","સિદ ડેવિસ એસેના ભાઇ છે, અને તેથી નેટના ભાભી અને મિલર બાળકોને કાકા.
"
"Sonakshi Sinha is currently single but her affair with Salman Khan's younger brother and actor Sohail Khan's brother-in-law Bunty Sachdeva was much talked about.
","અત્યારે સોનાક્ષી સિન્હા સિંગલ છે પરંતુ તમને સલમાન ખાનના નાના ભાઈ અને એક્ટર સોહેલ ખાનનાં સાળા બાંટી સાચીદેવા સાથે અફેરમાં હતી એવા સમાચાર હતાં.
"
"Sridevi had no history of heart disease, reveals brother-in-law Sanjay Kapoor
","શ્રીદેવી ને કોઈ પણ પ્રકારની હૃદયની બીમારી ના હતીઃ સંજય કપૂર
"
"Suffering from tuberculosis, he began yoga as a teenager in an effort to improve his health and studied with his brother-in-law Krishnamacharya in Mysore, India.
","તેમણે કિશોર વયે તંદુરસ્તી બાદ તંદુરસ્તીમાં સુધારો કરવા માટે યોગની શરૂઆત કરી હતી, મૈસુરમાં તેમના ભાભું, કૃષ્ણમાચાર્ય સાથે અભ્યાસ કરતા.
"
"Sushant's brother-in-law wrote in another message, 'Please keep my wife away from her problems.
","સુશાંતના જીજાએ એક અન્ય મેસેજમાં લખ્યું છે કે, કૃપા કરીને મારી પત્નીને પોતાની સમસ્યાઓથી દૂર રાખો.
"
"Taken to the Richmond home of his brother-in-law, Dr. Charles Brewer, Stuart received a visit from President Jefferson Davis before slipping into a delirium and dying the next day.
","તેમના ભાઈ સાળીઃ, ચાર્લ્સ બ્રેવરના રિચમંડ ગૃહને લઈને, સ્ટુઅર્ટને ચિત્તભ્રમણામાં ફસાયા અને બીજા દિવસે મૃત્યુ પામ્યા તે પહેલા પ્રમુખ જેફરસન ડેવિસની મુલાકાત લીધી.
"
"That is, it turns out that brother-in-law are family members whose wives are sisters.
","એટલે કે, તે તારણ છે કે જે સાસરિયાઓ - આ કુટુંબના સભ્યો, જેની પત્નીઓ બહેનો છે.
"
"That means, for example, that if your friend (or brother-in-law) makes a late payment, a negative notation will appear on your credit report and your credit rating will go down.
","તેનો અર્થ, ઉદાહરણ તરીકે, જો તમારા મિત્ર (અથવા ભાભીને) અંતમાં ચુકવણી કરે છે, તો તમારા ક્રેડિટ રિપોર્ટ પર નકારાત્મક સંકેત દેખાશે અને તમારી ક્રેડિટ રેટિંગ નીચે જશે.
"
"That means, for example, that if your friend (or brother-in-law) makes a late payment, a negative notation will appear on your credit report and your credit.
","તેનો અર્થ, ઉદાહરણ તરીકે, જો તમારા મિત્ર (અથવા ભાભીને) અંતમાં ચુકવણી કરે છે, તો તમારા ક્રેડિટ રિપોર્ટ પર નકારાત્મક સંકેત દેખાશે અને તમારી ક્રેડિટ રેટિંગ નીચે જશે.
"
"The Supreme Court of India has ruled that under the Domestic Violence Act, even the brother-in-law might be ordered to pay the maintenance to a woman.
","સુપ્રીમ કોર્ટે એક ચુકાદો આપતાં કહ્યું છે કે ઘરેલું હિંસા કાયદા હેઠળ સંયુક્ત પરિવારમાં દીયરને પણ વિધવા મહિલાને ભરણ-પોષણ ચૂકવવાનો આદેશ આપી શકાય છે.
"
"The bride also introduced PM to her brother-in-law Joe Jonas (second left) and his actress fiancé Sophie Turner (left), who plan to get married in the summer of 2019.
","કન્યાએ તેમના ભાઇ જૉ જોનાસ (બીજા ડાબે) અને તેમની અભિનેત્રી ફિયાન્સ સોફી ટર્નર (ડાબે), જેણે 2019 ની ઉનાળામાં લગ્ન કરવાની યોજના ઘડી હતી, તેમને પીએમ પણ રજૂ કર્યું.
"
"The brother of the attacker's wife (the brother-in-law of the attacker in a relationship) was admitted to the hospital in an injured condition.
","હુમલાખોરની પત્નીના ભાઈ (સંબંધમાં હુમલાખોરના સાળા) ને ઈજાગ્રસ્ત હાલતમાં હોસ્પિટલમાં દાખલ કરવામાં આવ્યા હતા.
"
"The brother-in-law again!
","ફરી અવતરી પરી !
"
"The company got its start after the Second World War, when Carl Buchan and his brother-in-law James Lowe opened a small general hardware store in North Carolina, to serve the needs of returning veterans ready to build their homes and families.
","કંપનીએ બીજા વિશ્વયુદ્ધ પછી તેની શરૂઆત મેળવી, જ્યારે કાર્લ બુકન અને તેમના ભાભીને જેમ્સ લોવેએ ઉત્તર કેરોલિનામાં એક નાનું સામાન્ય હાર્ડવેર સ્ટોર ખોલ્યું, તેમના ઘરો અને કુટુંબોના નિર્માણ માટે તૈયાર થયેલા વેટરન્સ પરત કરવાની જરૂરિયાતો પૂરી પાડવા માટે.
"
"The company was founded by Herbert Marcus, his sister, Carrie Marcus Neiman, and his brother-in-law, Al Neiman.
","કંપનીની સ્થાપના હર્બર્ટ માર્કસ, તેની બહેન, કેરી માર્કસ નીમેન, અને તેમના સાળા, અલ નીમેન દ્વારા કરવામાં આવી હતી.
"
"The enterprise were given its begin after the Second World War, while Carl Buchan and his brother-in-law James Lowe opened a small fashionable hardware save in North Carolina, to serve the desires of returning veterans ready to construct their homes and households.
","કંપનીએ બીજા વિશ્વયુદ્ધ પછી તેની શરૂઆત મેળવી, જ્યારે કાર્લ બુકન અને તેમના ભાભીને જેમ્સ લોવેએ ઉત્તર કેરોલિનામાં એક નાનું સામાન્ય હાર્ડવેર સ્ટોર ખોલ્યું, તેમના ઘરો અને કુટુંબોના નિર્માણ માટે તૈયાર થયેલા વેટરન્સ પરત કરવાની જરૂરિયાતો પૂરી પાડવા માટે.
"
"The original reports in India stated that she has died due to a cardiac arrest as quoted by her brother-in-law Sanjay Kapoor.
","ભારતમાં અસલ અહેવાલોમાં જણાવાયું છે કે તેણીનું મૃત્યુ હૃદયની ધરપકડને કારણે થયું છે જેવું તેના ભાભી સંજય કપૂરે ટાંક્યું છે.
"
"The song was then finished after the death of his brother-in-law in early 2004.
","આ ગીત પછી 2004 ની શરૂઆતમાં તેમના ભાઇ સાસુના મૃત્યુ પછી સમાપ્ત થયા.
"
"The theme of incest runs occurs throughout the play and Hamlet and the ghost often allude to it in conversations about Gertrude and Claudius, the former brother-in-law and sister-in-law who are now married.
","કૌટુંબિક વ્યભિચારનો વિષય સમગ્ર રમત અને હેમ્લેટમાં જોવા મળે છે અને ઘોસ્ટ ઘણી વાર ગર્ટ્રુડ અને ક્લૌડિયસની વાતચીતમાં તેની સાથે વાતચીત કરે છે, જે હવે પછીના ભાઇ સાસુ અને ભાભી છે.
"
"Then Cecily's marriages were arranged -- and unarranged -- by the next two kings, Richard III (her uncle) and Henry VII (her brother-in-law).
","ત્યારબાદ સિક્લીલીના લગ્નની ગોઠવણી કરવામાં આવી હતી - અને અનિશ્ચિત - આગામી બે રાજાઓ દ્વારા, રિચાર્ડ III (તેના કાકા) અને હેનરી VII (તેમના ભાઇ ઈન કાયદો).
"
"Then, in March 1923, Anna's sister and brother-in-law, William and Rita Smith, were killed when their home was bombed.
","પછી, માર્ચ 1 9 23 માં, અન્નાની બહેન અને ભાભી, વિલિયમ અને રીટા સ્મિથની હત્યા કરવામાં આવી હતી જ્યારે તેમના ઘર પર બોમ્બમારો થયો હતો.
"
"Therefore, Pascal wrote to his brother-in-law, Florin Perier, living near the mountain called the Puy de Dome, requesting that the latter perform a crucial experiment.
","તેથી પાસ્કલે Puy de Dome નામના પર્વત નજીક રહેતા પોતાના સાળા ફ્લોરીન પીયરને અગત્યનો પ્રયોગ કરવા માટે પૂછવા લખ્યું.
"
"Therefore, Pascal wrote to his brother-in-law, Florin Perier, who lived near a mountain called the Puy de Dome, asking him to perform a crucial experiment.
","તેથી પાસ્કલે Puy de Dome નામના પર્વત નજીક રહેતા પોતાના સાળા ફ્લોરીન પીયરને અગત્યનો પ્રયોગ કરવા માટે પૂછવા લખ્યું.
"
"Therefore, Pascal wrote to his brother-in-law, Florin Perier, who lived near a mountain called the Puy de Dôme, asking him to perform a crucial experiment.
","તેથી પાસ્કલે Puy de Dome નામના પર્વત નજીક રહેતા પોતાના સાળા ફ્લોરીન પીયરને અગત્યનો પ્રયોગ કરવા માટે પૂછવા લખ્યું.
"
"This bitch fucks her husband's brother every time she goes to work and while pregnant she has let her brother-in-law cum inside every time.
","આ ઝૂંપડો તેના પતિના ભાઈને દર વખતે નોકરી પર જાય છે અને ગર્ભવતી છે ત્યારે તેણે તેની ભાભીને દરેક વખતે અંદર રહેવા દીધી છે.
"
"This familiar presence came forward and my feelings changed to sheer joy when I discovered my 30-year-old brother-in-law, the one who had died seven months earlier from cancer.
","આ પરિચિત હાજરી આગળ આવી અને મારી લાગણીઓને ખૂબ આનંદમાં બદલાઈ ગઈ, જ્યારે મેં મારા 30 વર્ષીય ભાભીની શોધ કરી, જે સાત મહિના પહેલા કેન્સરથી મૃત્યુ પામ્યો હતો.
"
"This new army was commanded by a close ally of Frederick's (his brother-in-law) and kept French forces busy in the west and away from both Prussia and the French colonies.
","આ નવો સૈન્ય ફ્રેડરિકના (તેમના ભાઇ સાથી) નજીકના સાથી દ્વારા આદેશ આપ્યો હતો અને પશ્ચિમ અને ફ્રાન્સના બંને પ્રશિયા અને ફ્રેન્ચ વસાહતોથી ફ્રાન્સના દળો વ્યસ્ત રહ્યા હતા.
"
"This practice of a brother-in-law marrying the widow of his brother is known as levirate marriage.
","તેમના મોટા ભાઈઓની વિધવા સાથે લગ્ન કરતા નાના ભાઈઓની આ પ્રથાને લીવરેટ લગ્ન તરીકે ઓળખવામાં આવે છે.
"
"This story was inspired by what Sparks and his brother-in-law experienced as Sparks' sister was undergoing treatment for cancer.
","આ વાર્તા સ્પાર્કસ અને તેના ભાભીને જે સ્પાર્કસની બહેન કેન્સર માટે સારવાર લઈ રહી છે તેનાથી પ્રેરણા મળી હતી.
"
"What is your brother-in-law's name, then can I call him?
","તમારા ભાભીનું નામ શું છે, પછી હું તેને બોલાવી શકું?
"
"What to give brother-in-law on defender of the Fatherland Day?
","પિતૃભૂમિ દિવસના ડિફેન્ડર પર મારા જમાઈને શું આપવું?
"
"What's this smoke, brother-in-law?
","આ તે શા ધૂળના ધખારા, રે ભાઈ?
"
"When Carl Buchan bought his brother-in-law out, he refocused the company to sell only building materials and appliances.
","જ્યારે કાર્લ બકને પોતાના ભાઇ-બહેનને બહાર કાઢ્યા, ત્યારે તેમણે કંપનીને માત્ર મકાન સામગ્રી અને ઉપકરણો વેચવાની પુનર્જીવિત કરી.
"
"When Carl Buchan offered his brother-in-law out, he refocused the company to sell simplest building materials and appliances.
","જ્યારે કાર્લ બકને પોતાના ભાઇ-બહેનને બહાર કાઢ્યા, ત્યારે તેમણે કંપનીને માત્ર મકાન સામગ્રી અને ઉપકરણો વેચવાની પુનર્જીવિત કરી.
"
"When Gulati left with his brother-in-law to Delhi, that is when he bought a horse-drawn carriage with the money his father gave him.
","ગુલાટી જ્યારે તેના ભાભી સાથે દિલ્હી પોહચ્યાં ત્યારે તેણે તેના પિતા દ્વારા આપવામાં આવેલા પૈસાથી ઘોડાગાડી ખરીદી.
"
"When Henry of Navarre, whose wedding had been marred by the St. Bartholomew's Day Massacre, succeeded his brother-in-law as King Henry IV in 1593, he converted to Catholicism.
","જ્યારે નેવેરેના હેનરી, જેમનું લગ્ન સેન્ટ બર્થોલેમ્યુ ડે હત્યાકાંડ દ્વારા મુલતવી રાખવામાં આવ્યું હતું, 15 9 3 માં રાજા હેનરી ચોથા તરીકે તેમના ભાભીને સફળ થયા હતા, ત્યારે તેમણે કૅથલિક ધર્મમાં રૂપાંતર કર્યું.
"
"When is brother-in-law arriving?
","ભાઇ કયારે આવશે ?
"
"With a medical diploma and a Rock Am Ring Samstag for fame and fortune, Park set off for London, and through his brother-in-law, William Dickson, a Covent Garden seedsman, he got his opportunity.
","તબીબી ડિપ્લોમા અને ખ્યાતિ અને નસીબની ઇચ્છા સાથે, પાર્ક લંડન માટે ઉતરે છે, અને તેમના ભાભી, વિલિયમ ડિક્સન, કોવેન્ટ ગાર્ડન બિયારણમેન દ્વારા, તેમને તક મળે છે.
"
"With a medical diploma and a desire for fame and fortune, Park set off for London, and through his brother-in-law, William Dickson, a Covent Garden seedsman, he got Author: Alistair Boddy-Evans.
","તબીબી ડિપ્લોમા અને ખ્યાતિ અને નસીબની ઇચ્છા સાથે, પાર્ક લંડન માટે ઉતરે છે, અને તેમના ભાભી, વિલિયમ ડિક્સન, કોવેન્ટ ગાર્ડન બિયારણમેન દ્વારા, તેમને તક મળે છે.
"
"With a medical diploma and a desire for fame and fortune, Park set off for London, and through his brother-in-law, William Dickson, a Covent Garden seedsman, he got his opportunity.
","તબીબી ડિપ્લોમા અને ખ્યાતિ અને નસીબની ઇચ્છા સાથે, પાર્ક લંડન માટે ઉતરે છે, અને તેમના ભાભી, વિલિયમ ડિક્સન, કોવેન્ટ ગાર્ડન બિયારણમેન દ્વારા, તેમને તક મળે છે.
"
"Within a month of her husband's death, Gertrude has married her brother-in-law.
","તેમના પતિના મૃત્યુના એક મહિનાની અંદર, ગર્ટ્રુડેએ તેમના સાસુ સાથે લગ્ન કર્યા છે.
"
"Would your brother-in-law know?
","ભાઈને ખબર પડશે તો?
"
"You can't just take your brother-in-law because he minored in tax issues back in college.
","તમે ફક્ત તમારા સાળીદારને જ લઈ શકતા નથી, કારણ કે તેમણે કૉલેજમાં પાછા ફરતા કરવેરાના મુદ્દાઓને દૂર કર્યા હતા.
"
